source,target,,,,
CCT7,TCP1,,,,
CCT7,TRIM28,,,,
CCT7,TUBA1B,,,,
CCT7,TUBA1C,,,,
CCT7,TUBA4A,,,,
CCT7,TUBB2A,,,,
CCT7,TUBB4A,,,,
CCT7,TUBB4B,,,,
CCT7,TUBB6,,,,
CCT7,UBC,,,,
COX6A1,COA6,,,,
COX6A1,COX4I1,,,,
COX6A1,COX5A,,,,
COX6A1,COX5B,,,,
COX6A1,COX6A1,,,,
COX6A1,COX6B1,,,,
COX6A1,COX6C,,,,
COX6A1,COX7A2L,,,,
COX6A1,COX7C,,,,
COX6A1,COX8A,,,,
COX6A1,CYC1,,,,
COX6A1,CYCS,,,,
COX6A1,MT-CO1,,,,
COX6A1,MT-CO2,,,,
COX6A1,MT-CO3,,,,
COX6A1,MT-CYB,,,,
COX6A1,NDUFA13,,,,
COX6A1,NDUFA4,,,,
COX6A1,NDUFA5,,,,
COX6A1,NDUFA6,,,,
COX6A1,NDUFA7,,,,
COX6A1,NDUFA8,,,,
COX6A1,NDUFAB1,,,,
COX6A1,NDUFB10,,,,
COX6A1,NDUFB11,,,,
COX6A1,NDUFB5,,,,
COX6A1,NDUFB7,,,,
COX6A1,NDUFB8,,,,
COX6A1,NDUFB9,,,,
COX6A1,NDUFS3,,,,
COX6A1,NDUFS6,,,,
COX6A1,NDUFV2,,,,
COX6A1,PMPCB,,,,
COX6A1,SDHC,,,,
COX6A1,SDHD,,,,
COX6A1,UQCR10,,,,
COX6A1,UQCRB,,,,
COX6A1,UQCRC1,,,,
COX6A1,UQCRC2,,,,
COX6A1,UQCRFS1P1,,,,
COX6A1,UQCRHL,,,,
COX6A1,UQCRQ,,,,
CPSF6,CLP1,,,,
CPSF6,CPSF1,,,,
CPSF6,CPSF2,,,,
CPSF6,CPSF3,,,,
CPSF6,CPSF6,,,,
CPSF6,CPSF7,,,,
CPSF6,CSTF2,,,,
CPSF6,HNRNPK,,,,
CPSF6,MAX,,,,
CPSF6,NUDT21,,,,
CPSF6,NUP107,,,,
CPSF6,NXF1,,,,
CPSF6,PCF11,,,,
CPSF6,TNPO3,,,,
DDX17,BYSL,,,,
DDX17,DCP2,,,,
DDX17,DDX17,,,,
DDX17,DDX5,,,,
DDX17,DDX56,,,,
DDX17,DGCR8,,,,
DDX17,DHX9,,,,
DDX17,EP300,,,,
DDX17,FBL,,,,
DDX17,GMPS,,,,
DDX17,GNL2,,,,
DDX17,GNL3,,,,
DDX17,GTPBP4,,,,
DDX17,HDAC1,,,,
DDX17,HNRNPA1,,,,
DDX17,HRH1,,,,
DDX17,ILF3,,,,
DDX17,MAGOH,,,,
DDX17,MIS12,,,,
DDX17,NAT10,,,,
DDX17,NCOA2,,,,
DDX17,NOP2,,,,
DDX17,NOP56,,,,
DDX17,NOP58,,,,
DDX17,PCNA,,,,
DDX17,PDCD11,,,,
DDX17,PWP1,,,,
DDX17,RPA2,,,,
DDX17,RPF2,,,,
DDX17,RRP12,,,,
DDX17,SF1,,,,
DDX17,SRA1,,,,
DDX17,SREK1,,,,
DDX17,SRSF1,,,,
DDX17,TFF1,,,,
DDX17,TP53,,,,
DDX17,U2AF2,,,,
DDX17,UBC,,,,
DDX17,ZWINT,,,,
DHX9,AGO2,,,,
DHX9,AKAP8L,,,,
DHX9,ALYREF,,,,
DHX9,CCAR1,,,,
DHX9,CCND1,,,,
DHX9,CD2BP2,,,,
DHX9,CDC40,,,,
DHX9,CHUK,,,,
DHX9,CLP1,,,,
DHX9,CPSF2,,,,
DHX9,CPSF3,,,,
DHX9,CPSF7,,,,
DHX9,CREBBP,,,,
DHX9,CSDE1,,,,
DHX9,CSTF1,,,,
DHX9,CSTF2,,,,
DHX9,CSTF3,,,,
DHX9,DDX17,,,,
DHX9,DDX20,,,,
DHX9,DDX21,,,,
DHX9,DDX23,,,,
DHX9,DDX5,,,,
DHX9,DHX38,,,,
DHX9,DHX9,,,,
DHX9,DICER1,,,,
DHX9,DNAJC8,,,,
DHX9,EFTUD2,,,,
DHX9,EGFR,,,,
DHX9,EMB,,,,
DHX9,FLI1,,,,
DHX9,FUS,,,,
DHX9,GTF2F1,,,,
DHX9,GTF2F2,,,,
DHX9,HEXIM1,,,,
DHX9,HNRNPA0,,,,
DHX9,HNRNPA1,,,,
DHX9,HNRNPA2B1,,,,
DHX9,HNRNPA3,,,,
DHX9,HNRNPC,,,,
DHX9,HNRNPD,,,,
DHX9,HNRNPF,,,,
DHX9,HNRNPH1,,,,
DHX9,HNRNPK,,,,
DHX9,HNRNPL,,,,
DHX9,HNRNPM,,,,
DHX9,HNRNPR,,,,
DHX9,HNRNPU,,,,
DHX9,HNRNPUL1,,,,
DHX9,IKBKB,,,,
DHX9,ILF2,,,,
DHX9,ILF3,,,,
DHX9,KHDRBS1,,,,
DHX9,MAGOH,,,,
DHX9,MYD88,,,,
DHX9,NCBP1,,,,
DHX9,NCBP2,,,,
DHX9,NFAT5,,,,
DHX9,NFKB1,,,,
DHX9,NFKB2,,,,
DHX9,NFKBIA,,,,
DHX9,NFKBIB,,,,
DHX9,NFX1,,,,
DHX9,NRAS,,,,
DHX9,NUDT21,,,,
DHX9,NXF1,,,,
DHX9,PABPN1,,,,
DHX9,PAPOLA,,,,
DHX9,PCBP1,,,,
DHX9,PCBP2,,,,
DHX9,PCF11,,,,
DHX9,PCNA,,,,
DHX9,PHF5A,,,,
DHX9,POLR2A,,,,
DHX9,POLR2B,,,,
DHX9,POLR2C,,,,
DHX9,POLR2E,,,,
DHX9,POLR2F,,,,
DHX9,POLR2G,,,,
DHX9,POLR2H,,,,
DHX9,POLR2I,,,,
DHX9,POLR2J,,,,
DHX9,POLR2K,,,,
DHX9,POLR2L,,,,
DHX9,PRKDC,,,,
DHX9,PRMT1,,,,
DHX9,PRPF4,,,,
DHX9,PRPF6,,,,
DHX9,PRPF8,,,,
DHX9,PTBP1,,,,
DHX9,RBM5,,,,
DHX9,RBMX,,,,
DHX9,RBP4,,,,
DHX9,RELA,,,,
DHX9,RNPS1,,,,
DHX9,SF3A1,,,,
DHX9,SF3A3,,,,
DHX9,SF3B1,,,,
DHX9,SF3B3,,,,
DHX9,SF3B5,,,,
DHX9,SNRNP200,,,,
DHX9,SNRNP40,,,,
DHX9,SNRNP70,,,,
DHX9,SNRPA,,,,
DHX9,SNRPA1,,,,
DHX9,SNRPB,,,,
DHX9,SNRPB2,,,,
DHX9,SNRPD1,,,,
DHX9,SNRPD2,,,,
DHX9,SNRPD3,,,,
DHX9,SNRPE,,,,
DHX9,SNRPF,,,,
DHX9,SNRPG,,,,
DHX9,SNU13,,,,
DHX9,SP100,,,,
DHX9,SRRM1,,,,
DHX9,SRSF1,,,,
DHX9,SRSF11,,,,
DHX9,SRSF2,,,,
DHX9,SRSF3,,,,
DHX9,SRSF4,,,,
DHX9,SRSF5,,,,
DHX9,SRSF6,,,,
DHX9,SRSF7,,,,
DHX9,SRSF9,,,,
DHX9,SSRP1,,,,
DHX9,STAT3,,,,
DHX9,STAU1,,,,
DHX9,SUGP1,,,,
DHX9,SYNCRIP,,,,
DHX9,TOP2A,,,,
DHX9,TXNL4A,,,,
DHX9,U2AF1L4,,,,
DHX9,U2AF2,,,,
DHX9,UBC,,,,
DHX9,UPF3B,,,,
DHX9,WRN,,,,
DHX9,XRCC5,,,,
DHX9,YBX1,,,,
DHX9,ZBP1,,,,
EIF1AX,DHX29,,,,
EIF1AX,EIF1,,,,
EIF1AX,EIF1AX,,,,
EIF1AX,EIF1B,,,,
EIF1AX,EIF2S1,,,,
EIF1AX,EIF2S2,,,,
EIF1AX,EIF2S3,,,,
EIF1AX,EIF3A,,,,
EIF1AX,EIF3B,,,,
EIF1AX,EIF3C,,,,
EIF1AX,EIF3CL,,,,
EIF1AX,EIF3D,,,,
EIF1AX,EIF3E,,,,
EIF1AX,EIF3F,,,,
EIF1AX,EIF3G,,,,
EIF1AX,EIF3H,,,,
EIF1AX,EIF3I,,,,
EIF1AX,EIF3J,,,,
EIF1AX,EIF3K,,,,
EIF1AX,EIF4A2,,,,
EIF1AX,EIF4B,,,,
EIF1AX,EIF4E,,,,
EIF1AX,EIF4G1,,,,
EIF1AX,EIF5,,,,
EIF1AX,EIF5B,,,,
EIF1AX,FAU,,,,
EIF1AX,MRPS11,,,,
EIF1AX,MRPS7,,,,
EIF1AX,RANP1,,,,
EIF1AX,RLIM,,,,
EIF1AX,RPL10A,,,,
EIF1AX,RPL11,,,,
EIF1AX,RPL12,,,,
EIF1AX,RPL13,,,,
EIF1AX,RPL13A,,,,
EIF1AX,RPL14,,,,
EIF1AX,RPL15,,,,
EIF1AX,RPL17,,,,
EIF1AX,RPL18,,,,
EIF1AX,RPL18A,,,,
EIF1AX,RPL19,,,,
EIF1AX,RPL21,,,,
EIF1AX,RPL22,,,,
EIF1AX,RPL23,,,,
EIF1AX,RPL23A,,,,
EIF1AX,RPL24,,,,
EIF1AX,RPL26,,,,
EIF1AX,RPL26L1,,,,
EIF1AX,RPL27,,,,
EIF1AX,RPL27A,,,,
EIF1AX,RPL28,,,,
EIF1AX,RPL29,,,,
EIF1AX,RPL3,,,,
EIF1AX,RPL30,,,,
