"","source","target"
"569","EIF1AX","EIF2S2"
"570","EIF1AX","EIF2S3"
"571","EIF1AX","EIF3A"
"572","EIF1AX","EIF3B"
"573","EIF1AX","EIF3C"
"574","EIF1AX","EIF3CL"
"575","EIF1AX","EIF3D"
"576","EIF1AX","EIF3E"
"577","EIF1AX","EIF3F"
"578","EIF1AX","EIF3G"
"579","EIF1AX","EIF3H"
"580","EIF1AX","EIF3I"
"581","EIF1AX","EIF3J"
"582","EIF1AX","EIF3K"
"583","EIF1AX","EIF4A2"
"584","EIF1AX","EIF4B"
"585","EIF1AX","EIF4E"
"586","EIF1AX","EIF4G1"
"587","EIF1AX","EIF5"
"588","EIF1AX","EIF5B"
"589","EIF1AX","FAU"
"590","EIF1AX","MRPS11"
"591","EIF1AX","MRPS7"
"592","EIF1AX","RANP1"
"593","EIF1AX","RLIM"
"594","EIF1AX","RPL10A"
"595","EIF1AX","RPL11"
"596","EIF1AX","RPL12"
"597","EIF1AX","RPL13"
"598","EIF1AX","RPL13A"
"599","EIF1AX","RPL14"
"600","EIF1AX","RPL15"
"601","EIF1AX","RPL17"
"602","EIF1AX","RPL18"
"603","EIF1AX","RPL18A"
"604","EIF1AX","RPL19"
"605","EIF1AX","RPL21"
"606","EIF1AX","RPL22"
"607","EIF1AX","RPL23"
"608","EIF1AX","RPL23A"
"609","EIF1AX","RPL24"
"610","EIF1AX","RPL26"
"611","EIF1AX","RPL26L1"
"612","EIF1AX","RPL27"
"613","EIF1AX","RPL27A"
"614","EIF1AX","RPL28"
"615","EIF1AX","RPL29"
"616","EIF1AX","RPL3"
"617","EIF1AX","RPL30"
"618","EIF1AX","RPL31"
"619","EIF1AX","RPL32"
"620","EIF1AX","RPL34"
"621","EIF1AX","RPL35"
"622","EIF1AX","RPL35A"
"623","EIF1AX","RPL36"
"624","EIF1AX","RPL37"
"625","EIF1AX","RPL37A"
"626","EIF1AX","RPL38"
"627","EIF1AX","RPL39"
"628","EIF1AX","RPL4"
"629","EIF1AX","RPL41"
"630","EIF1AX","RPL5"
"631","EIF1AX","RPL6"
"632","EIF1AX","RPL7"
"633","EIF1AX","RPL8"
"634","EIF1AX","RPL9P7"
"635","EIF1AX","RPLP0P6"
"636","EIF1AX","RPLP2"
"637","EIF1AX","RPS10-NUDT3"
"638","EIF1AX","RPS11"
"639","EIF1AX","RPS12"
"640","EIF1AX","RPS13"
"641","EIF1AX","RPS14"
"642","EIF1AX","RPS15"
"643","EIF1AX","RPS15A"
"644","EIF1AX","RPS16"
"645","EIF1AX","RPS18"
"646","EIF1AX","RPS19"
"647","EIF1AX","RPS2"
"648","EIF1AX","RPS20"
"649","EIF1AX","RPS21"
"650","EIF1AX","RPS23"
"651","EIF1AX","RPS24"
"652","EIF1AX","RPS26"
"653","EIF1AX","RPS27"
"654","EIF1AX","RPS28"
"655","EIF1AX","RPS29"
"656","EIF1AX","RPS3"
"657","EIF1AX","RPS3A"
"658","EIF1AX","RPS4X"
"659","EIF1AX","RPS4Y1"
"660","EIF1AX","RPS5"
"661","EIF1AX","RPS6"
"662","EIF1AX","RPS7"
"663","EIF1AX","RPS8"
"664","EIF1AX","RPSA"
"665","EIF1AX","RRP1"
"666","EIF1AX","SNORA67"
"667","EIF1AX","UBC"
"668","EIF3I","ABCE1"
"669","EIF3I","EIF1"
"670","EIF3I","EIF1AX"
"671","EIF3I","EIF1B"
"672","EIF3I","EIF2S1"
"673","EIF3I","EIF2S2"
"674","EIF3I","EIF2S3"
"675","EIF3I","EIF3A"
"676","EIF3I","EIF3B"
"677","EIF3I","EIF3C"
"678","EIF3I","EIF3CL"
"679","EIF3I","EIF3D"
"680","EIF3I","EIF3E"
"681","EIF3I","EIF3F"
"682","EIF3I","EIF3G"
"683","EIF3I","EIF3H"
"684","EIF3I","EIF3J"
"685","EIF3I","EIF3K"
"686","EIF3I","EIF3L"
"687","EIF3I","EIF3M"
"688","EIF3I","EIF4A2"
"689","EIF3I","EIF4B"
"690","EIF3I","EIF4E"
"691","EIF3I","EIF4G1"
"692","EIF3I","EIF5"
"693","EIF3I","EIF5B"
"694","EIF3I","FAU"
"695","EIF3I","GCH1"
"696","EIF3I","GTF2B"
"697","EIF3I","RACK1"
"698","EIF3I","RLIM"
"699","EIF3I","RPL10A"
"700","EIF3I","RPL11"
"701","EIF3I","RPL12"
"702","EIF3I","RPL13"
"703","EIF3I","RPL13A"
"704","EIF3I","RPL14"
"705","EIF3I","RPL15"
"706","EIF3I","RPL17"
"707","EIF3I","RPL18"
"708","EIF3I","RPL18A"
"709","EIF3I","RPL19"
"710","EIF3I","RPL21"
"711","EIF3I","RPL22"
"712","EIF3I","RPL23"
"713","EIF3I","RPL23A"
"714","EIF3I","RPL24"
"715","EIF3I","RPL26"
"716","EIF3I","RPL26L1"
"717","EIF3I","RPL27"
"718","EIF3I","RPL27A"
"719","EIF3I","RPL28"
"720","EIF3I","RPL29"
"721","EIF3I","RPL3"
"722","EIF3I","RPL30"
"723","EIF3I","RPL31"
"724","EIF3I","RPL32"
"725","EIF3I","RPL34"
"726","EIF3I","RPL35"
"727","EIF3I","RPL35A"
"728","EIF3I","RPL36"
"729","EIF3I","RPL37"
"730","EIF3I","RPL37A"
"731","EIF3I","RPL38"
"732","EIF3I","RPL39"
"733","EIF3I","RPL4"
"734","EIF3I","RPL41"
"735","EIF3I","RPL5"
"736","EIF3I","RPL6"
"737","EIF3I","RPL7"
"738","EIF3I","RPL8"
"739","EIF3I","RPL9P7"
"740","EIF3I","RPLP0P6"
"741","EIF3I","RPLP2"
"742","EIF3I","RPS10-NUDT3"
"743","EIF3I","RPS11"
"744","EIF3I","RPS12"
"745","EIF3I","RPS13"
"746","EIF3I","RPS14"
"747","EIF3I","RPS15"
"748","EIF3I","RPS15A"
"749","EIF3I","RPS16"
"750","EIF3I","RPS19"
"751","EIF3I","RPS2"
"752","EIF3I","RPS20"
"753","EIF3I","RPS21"
"754","EIF3I","RPS23"
"755","EIF3I","RPS24"
"756","EIF3I","RPS26"
"757","EIF3I","RPS27"
"758","EIF3I","RPS28"
"759","EIF3I","RPS29"
"760","EIF3I","RPS3"
"761","EIF3I","RPS3A"
"762","EIF3I","RPS4X"
"763","EIF3I","RPS4Y1"
"764","EIF3I","RPS5"
"765","EIF3I","RPS6"
"766","EIF3I","RPS7"
"767","EIF3I","RPS8"
"768","EIF3I","RPS9"
"769","EIF3I","RPSA"
"770","EIF3I","RRP1"
"771","EIF3I","SNORA67"
"772","EIF3I","TRMT6"
"773","EIF3I","UBC"
"774","EIF3I","USP3"
"775","EIF3M","COPS4"
"776","EIF3M","COPS5"
"777","EIF3M","EIF3A"
"778","EIF3M","EIF3B"
"779","EIF3M","EIF3C"
