"","logFC","logCPM","PValue","qval"
"NSMCE3",12.5029442492237,5.72327249981465,1.82086790998115e-12,9.91891690930163e-12
"NOMO2",-10.0459053321838,3.29722776566724,5.50064247301893e-08,7.0404144585082e-08
"TCEAL9",-7.45182888374989,3.85768993571731,3.75115340852055e-08,4.93165716711487e-08
"PRPF39",3.0716496830571,7.29960616968228,0.000688780356115646,0.000489410585576622
"UBALD2",-2.97888574266076,4.23623523450132,0.00151393863808415,0.00101753596163574
"CCDC137",-7.1090681736459,0.607499929242425,0.00222004920292263,0.0014558672057457
"RGPD2",-6.35083020439046,0.0214936434965942,0.0161544668017967,0.00899508317906837
"SMYD3",-7.02225833288192,0.536976421505397,0.00284365852958629,0.00182667465365575
"GPRIN3",7.92205443884399,5.24910299446513,4.09820681974555e-10,8.44090877475273e-10
"MRPL40",-10.2021666678325,3.44945076476544,2.92235391428136e-08,3.89597604159965e-08
"P4HB",-5.19004794921113,4.46919369266989,1.2682871009007e-06,1.30582050938481e-06
"PSMD13",-8.86536046559099,5.25019303572267,9.90412398010807e-11,2.55664757782833e-10
"BRWD1",-2.41812693463868,6.66549406719246,0.00611422621638685,0.00369161181676529
"YTHDF3",-3.19203453424677,4.84580720933249,0.000642245034046388,0.000458548374539924
"CXorf38",-7.02225833288192,0.536976421505397,0.00284365852958629,0.00182667465365575
"IKZF1",-8.01652422043656,4.41148581862231,3.56677723116691e-09,5.7785430840541e-09
"TRIM69",6.32895479711766,0.0173920024140362,0.0161544668017967,0.00899508317906837
"ATP6V0C",3.13847498251702,3.6480337857401,0.00111596998855606,0.000768733528248559
"RNPC3",2.29519002262492,3.77601720370148,0.0120864311557181,0.00690357934602884
"LRCH3",10.4575999402778,3.7030984739492,1.00587918920577e-08,1.46742310852219e-08
"NDUFA13",-2.22898897958922,8.83277943213697,0.0105118293225807,0.00607173835620339
"GSAP",12.7340137003076,5.95312713589212,6.76384411044938e-13,5.24338438951023e-12
"CCDC84",-10.1209375589002,3.37026643552601,4.06221760513539e-08,5.31493657405409e-08
"BTLA",-11.5154355627292,4.74163353664849,1.21240766490283e-10,3.02245288210131e-10
"ANKRD37",-6.35010609088074,4.23256592060689,9.29839249368529e-08,1.13637468306755e-07
"KPNA4",2.16445214646438,6.94416723884585,0.0131251835457957,0.0074424970337117
"BTN3A2",4.85904748464517,1.45549281945916,0.000600631071840188,0.000430750097470022
"GPATCH8",-11.681162074135,8.05514995938921,5.55255374181042e-16,7.80728650857846e-14
"SMIM29",8.82504266938417,2.13660399406148,6.37378237660813e-06,5.97937364581988e-06
"UBE2H",-7.72212317190847,4.12223724619246,1.2040996057203e-08,1.7280523889895e-08
"ZFP91",2.62945702697969,4.41459840085469,0.00396886424046296,0.0024824334879927
"LYRM7",5.96734160916076,6.61851849579667,1.50549317513822e-08,2.11922406749375e-08
"ZDHHC17",13.9004544184791,7.11567365435929,4.46636017100219e-15,2.00724790082795e-13
"CMC1",7.51047025946542,3.93777096064847,2.70840429190594e-08,3.63437275400988e-08
"HSPA14",-2.30520333762679,5.54988600054433,0.00923625917184144,0.00538402335435989
"PRR13P5",-3.55947839343549,2.55792050110087,0.000869391810968466,0.000609123866374545
"USP7",6.77400868472222,6.35519663866398,1.15573636491396e-09,2.09075130970615e-09
"MAGEH1",-7.92396031100226,1.30405899311464,0.000172910825148656,0.000134091066333971
"ZNF286A",-6.60717039100257,5.85175128214235,3.63097548658203e-09,5.87067253850269e-09
"RGPD1",-8.28196506186949,4.67309989505805,1.15977807564588e-09,2.09688279072599e-09
"B3GLCT",-11.1098019734288,4.34060425992666,6.74329199448165e-10,1.30844748915309e-09
"SEMA4D",2.27671629175347,7.15770397624113,0.00941707527671208,0.00548227763843406
"MCRS1",-11.0061719677115,4.23837433151057,1.03809007535282e-09,1.90920147544946e-09
"FANCM",9.95620540406934,3.21515819003789,7.92742064382229e-08,9.81973082833103e-08
"H1-2",-6.04326778430889,2.50427919784288,9.62597325125595e-06,8.79742727299977e-06
"CCDC157",10.7971340313445,4.03575546726653,2.50832391766469e-09,4.20708175232815e-09
"ARL4C",-7.07136294523941,3.48735772263753,1.75598638459624e-07,2.04280008904134e-07
"LAMTOR4",-4.67704052025999,5.89954994953242,2.54927923591725e-06,2.51811646916327e-06
"TUBB4B",-11.7730804332828,4.99696152981143,4.10060721805974e-11,1.23594475076252e-10
"GTF2F2",-11.4545745624078,4.68138324185252,1.56492592673669e-10,3.69991592032541e-10
"SELL",-2.29074916339577,6.15867322893577,0.00939908510653483,0.00547251336164436
"CERKL",3.51997861085548,4.06848473522269,0.000284601022382638,0.000212939780487276
"DUSP28",-8.59980279768841,1.91833201880707,1.5976499908737e-05,1.41462928667326e-05
"NBR1",-9.1012090264405,2.38876738605219,2.23810682965744e-06,2.2316353361576e-06
"PTAR1",3.26938284530038,4.74322416981741,0.000482555064439113,0.000350640314014735
"TMEM120B",2.04036345046709,6.79611860070028,0.0188878834664821,0.010365439120501
"RBM34",2.91285970940099,7.653929887005,0.00117933089237236,0.000808883586507825
"MTF1",-3.7397598676009,1.80185791676569,0.00173260596932036,0.00115506404590572
"NHLRC3",-12.4480866744572,5.66754598423018,2.3015783249461e-12,1.1935956779489e-11
"RPL14",-2.51116531040912,8.34552262580696,0.00438852093985976,0.0027224325676116
"MSL1",7.30770532877164,6.37775277385212,2.16263798204207e-10,4.86426322546409e-10
"FAM120AOS",11.329378843789,4.5599222274725,2.64574595155719e-10,5.79802267493135e-10
"ZNF292",-2.66588660726761,7.39368111671973,0.00272506433695313,0.00175732943384937
"ARID2",4.28409475661901,7.13897089463082,8.06318338929228e-06,7.45072052187249e-06
"JPT1",-12.3798940927825,5.59971180498539,3.07448307437634e-12,1.49552432697305e-11
"ZNF33A",-11.5814433859546,4.80700762136533,9.18891696078791e-11,2.39945572579969e-10
"PAX8-AS1",10.3120314874185,3.56098841815416,1.83822486490319e-08,2.53637255291804e-08
"C15orf61",-8.74240990039847,2.05105670859848,9.43112858111455e-06,8.63113446628552e-06
"BLOC1S2",-14.7228372541192,7.93643246141705,1.28103713739494e-16,3.94167662368346e-14
"PAX5",-4.95539802988268,5.80124647311362,9.70446265153693e-07,1.01367766598442e-06
"S100A4",-5.75579647162411,3.11467162831324,3.23834356203243e-06,3.15620616261521e-06
"MPHOSPH8",2.32990219289372,7.08520833179247,0.00792264845796966,0.00467734324592497
"RNF216P1",-9.44181303601844,5.82248070260577,8.48839935038779e-12,3.41802823823988e-11
"TUBB",-5.66861447520477,5.09836652380424,1.51169317737909e-07,1.77681191102714e-07
"IARS1",-4.39536154491728,3.87857391716599,2.44203478883733e-05,2.10544097736875e-05
"TRRAP",-2.75045405108481,5.69960964920587,0.00224400957426437,0.00147040024660281
"SRGAP2B",2.23148433847104,7.33239160376335,0.0106805719605709,0.00616177714344711
"EVL",-2.17519880524767,3.90439631242054,0.017486347337841,0.0096603528896818
"ZNF124",-12.8170607319024,6.0348499443423,4.71841711444514e-13,4.14874771827143e-12
"YRDC",10.4246463388643,3.67089880616506,1.15325202061809e-08,1.66182794330766e-08
"TRAPPC2",-12.1888455033042,5.40976280258239,6.98205626196701e-12,2.89536129051797e-11
"MYL6B",7.00028118155152,0.531070034806037,0.00284365852958629,0.00182667465365575
"TRAPPC4",-8.6715687211694,5.05821933821307,2.26794672567797e-10,5.07021237251911e-10
"ZFP62",12.2228895897031,5.44497220553519,6.03290248276212e-12,2.56125383744486e-11
"ZNF33B",6.58899508686307,0.209717413166573,0.00856415881868302,0.00501887638787347
"ZNF431",9.29504726625063,2.58004648656552,1.12950070560764e-06,1.17073699339896e-06
"ADA",-11.5312407062971,4.75728427276445,1.13458970516197e-10,2.86284833549618e-10
"ARID5A",2.60534098948497,4.42917604824747,0.00425389749084516,0.00264587175731248
"KPNA5",-7.38563796481653,5.95892478332066,3.40211762883062e-10,7.18194063875243e-10
"ANKRD36B",-3.34025671892877,2.12410212996198,0.00251379818595644,0.00163244523818016
"FAM3C",13.4678650408784,6.6841808959257,2.87942560015242e-14,6.16298940530203e-13
"SLC39A10",-3.6835595196935,3.36905314758859,0.000295189764473026,0.000220374613648436
"CASP4",13.336728907627,6.55344703910494,5.06236001457504e-14,8.38346990826406e-13
"AP2A1",6.17894433447324,-0.0893543272813991,0.0227751499172872,0.0123026961983824
"LAGE3",10.6119420492315,3.85412113139247,5.29303855190018e-09,8.21421507609409e-09
"WDR45",-10.6413770646909,3.87939433162924,4.69047487802151e-09,7.36804111854805e-09
"ACSL5",8.05219846369815,6.6423296484959,1.80735732773664e-11,6.23532995485471e-11
"SND1",-8.8721800168658,2.17261040097383,5.80060050820809e-06,5.47135312793862e-06
"GTF2E2",-3.05546684262559,5.18876051713796,0.000941156448740201,0.000656137610434869
"ZNF165",2.18468206923198,6.35882382993582,0.0127779731207999,0.00726309091130895
