"SUID","degree.layout","labelsize","name","NumChildren","NumDescendents","selected","shared name","stage1","stage2","stage3","stage4","type"
"398","7","30","HIF1A",,,"false","HIF1A","0.787439555524159","-0.776574480623542","-0.947985453077294","0.937120378176694","3"
"399","4","30","ENO1",,,"false","ENO1","-0.337946405672581","1.32236743605265","-1.06343473055264","0.0790137001725722","3"
"400","13","30","DHX9",,,"false","DHX9","-0.9400998086239","1.41446251864268","-0.275899198777775","-0.198463511241002","3"
"401","4",,"NDUFS7",,,"false","NDUFS7","0.487085219582562","0.541475268070742","-1.49931430023057","0.470753812577269",
"402","4",,"NDUFC1",,,"false","NDUFC1","0.542279108149809","0.976733696025016","-1.30641805230618","-0.212594751868648",
"403","4",,"NDUFA11",,,"false","NDUFA11","0.522779746747711","0.565247299358859","-1.49671898656974","0.408691940463174",
"404","4",,"MT-ND3",,,"false","MT-ND3","-0.66233191224309","-0.44440034187447","1.4891536651822","-0.382421411064646",
"405","2",,"VMP1",,,"false","VMP1","0.693228234240506","0.357766196470064","-1.48444020563751","0.433445774926935",
"406","2",,"UBXN7",,,"false","UBXN7","-1.16662534411809","-0.487085017599498","0.695793150000561","0.95791721171703",
"407","2",,"PRDX1",,,"false","PRDX1","-0.17562644480436","-0.889044239756948","1.43010865953792","-0.365437974976619",
"408","1",,"HK2",,,"false","HK2","0.616338191247238","0.622437166874096","-1.47537161972764","0.236596261606303",
"409","1",,"ERLEC1",,,"false","ERLEC1","0.371743023251543","0.0319490443874897","-1.38068078485318","0.976988717214146",
"410","1",,"CD2AP",,,"false","CD2AP","0.178526319541059","0.611940265335999","-1.46323112810769","0.672764543230634",
"411","2",,"TIFA",,,"false","TIFA","0.59534089720116","0.758046155834514","-1.43666292856043","0.0832758755247526",
"412","1",,"SOCS3",,,"false","SOCS3","0.356618678396211","0.546795826035644","-1.49232210878872","0.588907604356861",
"413","1",,"SLC39A6",,,"false","SLC39A6","-0.764928554862217","-0.673509549875461","1.39992350424289","0.0385146004947913",
"414","1",,"PRKCD",,,"false","PRKCD","-0.397813560003887","-0.980882470441569","1.37096835620239","0.00772767424307005",
"415","1",,"PIM1",,,"false","PIM1","0.689938342793092","0.655585846544686","-1.44379212291282","0.0982679335750399",
"416","2",,"PIAS2",,,"false","PIAS2","0.611493258295684","0.328232133181206","-1.48888128146518","0.549155889988294",
"417","2",,"PIAS1",,,"false","PIAS1","0.126520842802167","0.797602980512077","-1.4420668966971","0.517943073382854",
"418","1",,"LCK",,,"false","LCK","0.513621344554278","1.04265391662739","-1.24614915837449","-0.310126102807177",
"419","1",,"KAT5",,,"false","KAT5","-0.584405168746182","-1.10203476158786","0.738457940362712","0.94798198997133",
"420","1",,"IL10RA",,,"false","IL10RA","-0.550012841629297","-1.12752445612456","0.936515214561458","0.741022083192395",
"421","1",,"HES1",,,"false","HES1","0.522742458877818","0.818731086127232","-1.43121165516503","0.0897381101599753",
"422","1",,"HCK",,,"false","HCK","0.205944143536155","0.489539196474782","-1.46041634095417","0.764933000943232",
"423","1",,"EIF2AK2",,,"false","EIF2AK2","-0.884998898686682","-0.770981370499744","1.18241174066311","0.473568528523319",
"424","1",,"ECHS1",,,"false","ECHS1","0.434075981159392","0.851071050734973","-1.43675695268832","0.151609920793956",
"425","3",,"TPR",,,"false","TPR","-0.775478663454272","-0.854093491937157","1.22794733237979","0.401624823011648",
"426","2",,"DECR1",,,"false","DECR1","0.429826704220858","0.427627276230749","-1.49286284918977","0.635408868738162",
"427","3",,"CXCL8",,,"false","CXCL8","-0.484927484105401","-0.864217188107526","1.41884322552055","-0.0696985533076208",
"428","1",,"BCL6",,,"false","BCL6","0.853313695010821","0.87838690681071","-0.84465251003573","-0.887048091785802",
"429","1",,"SPEN",,,"false","SPEN","-0.522203942550255","-1.13307047527185","1.01932398636849","0.635950431453615",
"430","1",,"BCL3",,,"false","BCL3","0.716522653777519","0.520490330908687","-1.47014742017391","0.233134435487708",
"431","1",,"BATF",,,"false","BATF","0.538795053160626","0.345410978032774","-1.49078814330298","0.606582112109583",
"432","1",,"ADIPOR1",,,"false","ADIPOR1","-0.103647673503853","-0.790927547821292","1.43813531857993","-0.54356009725479",
