"SUID","adjustedPValue_DNBs","description_DNBs","N_DNBs","name","nn_DNBs","nodeFillColor_DNBs","nodeFontSize_DNBs","nodeSize_DNBs","nodeType_DNBs","pValue_DNBs","selected","shared name","X_DNBs","xx_DNBs"
"250","1.1439E-3","negative regulation of protein ubiquitination","14285","31397","78","2.9416018970667497","14","6.6332495807108","ellipse","3.7291E-5","false","31397","459","11"
"252","9.2009E-7","mRNA metabolic process","14285","16071","367","6.036171711307738","14","11.832159566199232","ellipse","8.7871E-9","false","16071","459","35"
"253","1.5407E-6","mRNA processing","14285","6397","307","5.81228225648002","14","11.135528725660043","ellipse","1.6982E-8","false","6397","459","31"
"255","2.7962E-7","organelle organization","14285","6996","1380","6.55343455021301","14","18.439088914585774","ellipse","2.4479E-9","false","6996","459","85"
"257","2.7052E-8","RNA metabolic process","14285","16070","964","7.567792854178583","14","16.73320053068151","ellipse","8.1908E-11","false","16070","459","70"
"258","2.6588E-7","RNA processing","14285","6396","566","6.575321882162076","14","13.711309200802088","ellipse","2.2218E-9","false","6396","459","47"
"261","6.5831E-1","phosphate metabolic process","14285","6796","947","0.18156764033364986","14","11.313708498984761","ellipse","4.0945E-1","false","6796","459","32"
"262","6.3973E-1","phosphorylation","14285","16310","784","0.1940017932999505","14","10.392304845413264","ellipse","3.8235E-1","false","16310","459","27"
"265","5.2130E-4","positive regulation of ubiquitin-protein ligase activity","14285","51443","70","3.2829107272343108","14","6.6332495807108","ellipse","1.3069E-5","false","51443","459","11"
"267","5.5244E-1","intracellular signal transduction","14285","35556","833","0.2577176219915803","14","10.954451150103322","ellipse","2.8336E-1","false","35556","459","30"
"269","3.7550E-4","positive regulation of biological process","14285","48518","2207","3.4253911322754993","14","20.591260281974","ellipse","8.0688E-6","false","48518","459","106"
"270","3.7082E-1","positive regulation of multicellular organismal process","14285","51240","278","0.4308358376870163","14","7.211102550927978","ellipse","1.1365E-1","false","51240","459","13"
"272","6.6843E-4","negative regulation of metabolic process","14285","9892","864","3.174946104199831","14","14.2828568570857","ellipse","1.8353E-5","false","9892","459","51"
"273","1.6601E-3","negative regulation of cellular metabolic process","14285","31324","786","2.779858998179074","14","13.564659966250536","ellipse","5.9455E-5","false","31324","459","46"
"276","1.4105E-3","protein localization","14285","8104","920","2.8506208494985232","14","14.422205101855956","ellipse","4.8271E-5","false","8104","459","52"
"277","3.4867E-4","establishment of protein localization","14285","45184","766","3.4575830846647366","14","13.856406460551018","ellipse","6.9374E-6","false","45184","459","48"
"279","2.9008E-3","regulation of cellular process","14285","50794","6220","2.537484720107522","14","30.919249667480614","ellipse","1.1601E-4","false","50794","459","239"
"280","2.8702E-2","regulation of cell death","14285","10941","867","1.5420913744237594","14","13.2664991614216","ellipse","1.7589E-3","false","10941","459","44"
"282","1.5407E-6","nuclear mRNA splicing, via spliceosome","14285","398","88","5.81228225648002","14","8.0","ellipse","1.7167E-8","false","398","459","16"
"285","7.7530E-3","cellular protein localization","14285","34613","433","2.110528054683038","14","10.583005244258363","ellipse","3.6405E-4","false","34613","459","28"
"286","2.0909E-2","protein localization in organelle","14285","33365","151","1.6796610964327177","14","7.211102550927978","ellipse","1.1732E-3","false","33365","459","13"
"288","6.2299E-3","regulation of cellular protein metabolic process","14285","32268","559","2.2055210293681853","14","11.661903789690601","ellipse","2.7765E-4","false","32268","459","34"
"290","2.4852E-2","regulation of programmed cell death","14285","43067","860","1.6046419882652128","14","13.2664991614216","ellipse","1.5032E-3","false","43067","459","44"
"292","6.2286E-2","somatic cell DNA recombination","14285","16444","22","1.2056097077601298","14","4.0","ellipse","4.8580E-3","false","16444","459","4"
"294","1.1001E-3","catabolic process","14285","9056","1004","2.9585688411248845","14","14.966629547095765","ellipse","3.5021E-5","false","9056","459","56"
"295","1.7736E-7","macromolecule catabolic process","14285","9057","501","6.751147154588152","14","13.2664991614216","ellipse","1.3410E-9","false","9057","459","44"
"298","8.0674E-4","negative regulation of macromolecule metabolic process","14285","10605","802","3.0932671506239773","14","13.856406460551018","ellipse","2.3114E-5","false","10605","459","48"
"301","4.5230E-3","hemopoiesis","14285","30097","233","2.3445771066457017","14","8.717797887081348","ellipse","1.9258E-4","false","30097","459","19"
"303","6.2286E-2","somatic diversification of immune receptors via germline recombination within a single locus","14285","2562","22","1.2056097077601298","14","4.0","ellipse","4.8580E-3","false","2562","459","4"
"305","4.0716E-1","regulation of catalytic activity","14285","50790","907","0.390235372081384","14","11.832159566199232","ellipse","1.4890E-1","false","50790","459","35"
"307","2.5113E-4","protein transport","14285","15031","755","3.600095335025419","14","13.856406460551018","ellipse","4.6969E-6","false","15031","459","48"
"309","3.2471E-1","signal transduction","14285","7165","1877","0.4884989004287947","14","16.852299546352718","ellipse","7.8433E-2","false","7165","459","71"
