"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000241553.12",557.177010452162,6.33515963693066,0.861638801143401,7.35245398480647,1.9460053781009e-13,1.31565741981605e-11
"ENSG00000185043.10",78.3368689994029,7.31319091933265,0.995610211719446,7.34543582744352,2.05089711294166e-13,1.36808510080628e-11
"ENSG00000101367.8",248.400459956656,8.83605659811118,1.20678923980095,7.32195507441597,2.44383976699574e-13,1.60875399398417e-11
"ENSG00000177879.15",389.362477276552,8.58346828890439,1.17270691471162,7.31936358626751,2.49149704430989e-13,1.618825936712e-11
"ENSG00000138279.15",255.398323070582,-8.52316885057138,1.16885719905503,-7.29188206862391,3.05654666143156e-13,1.96050037783873e-11
"ENSG00000197329.11",60.9766487313189,-6.92905895707249,0.953105790659607,-7.26997886800914,3.59543740233543e-13,2.27695864859293e-11
"ENSG00000131401.11",105.00537422422,12.1341893964353,1.67030285393563,7.26466423010909,3.73966022275257e-13,2.33869001180389e-11
"ENSG00000154803.12",124.405264615413,6.99766277398838,0.967029694948119,7.23624394426048,4.61281311144356e-13,2.75270539541247e-11
"ENSG00000280614.1",19424.2036900862,-3.39695646699266,0.469453503015112,-7.23598065660468,4.6217720010923e-13,2.75270539541247e-11
"ENSG00000280800.1",19424.2036900862,-3.39695646699266,0.469453503015112,-7.23598065660468,4.6217720010923e-13,2.75270539541247e-11
"ENSG00000281181.1",19424.2036900862,-3.39695646699266,0.469453503015112,-7.23598065660468,4.6217720010923e-13,2.75270539541247e-11
"ENSG00000078674.17",147.250414094258,-7.73288573583702,1.06925127669038,-7.23205658427865,4.7573388763216e-13,2.80011369391023e-11
"ENSG00000156261.12",394.551379025756,-8.67382717892869,1.20242899819344,-7.21358782261612,5.44965482465694e-13,3.1703050102045e-11
"ENSG00000179912.20",62.2352586301385,7.70338868358033,1.07004032990591,7.19915732919868,6.05858124729607e-13,3.4840324115198e-11
"ENSG00000102580.14",1402.95708963687,6.27755747833304,0.873438255018886,7.18717945116486,6.61434531790489e-13,3.76040563925888e-11
"ENSG00000215301.9",3715.53333253337,4.77629456194895,0.666232691830665,7.16910866205726,7.5487624512122e-13,4.22566338154514e-11
"ENSG00000271699.5",71.7459534127428,12.8714066031244,1.79563782072543,7.16815298417162,7.60163310691711e-13,4.22566338154514e-11
"ENSG00000127022.14",163.371667959823,6.96357872115472,0.974206439403324,7.14794979739585,8.80835113922593e-13,4.84265722522498e-11
"ENSG00000116741.7",1486.52384837355,6.57445192647854,0.921254251941695,7.13641420120646,9.57970547527181e-13,5.20948548834618e-11
"ENSG00000114902.13",139.088747785599,-6.71766767086496,0.943185851443935,-7.122315989559,1.06128393916263e-12,5.70925112648455e-11
"ENSG00000211651.3",65.2446104699214,11.2182077229951,1.57826147075396,7.10795259903036,1.17776992102002e-12,6.26849246262037e-11
"ENSG00000134242.15",157.285347927664,6.87257625112594,0.971302754569413,7.07562726327552,1.48774254956567e-12,7.8349220794495e-11
"ENSG00000185658.13",196.760305049373,9.61882601398489,1.36344548228784,7.05479327112124,1.7285751569663e-12,9.00839740656502e-11
"ENSG00000134056.11",164.136223553967,9.21257615780284,1.30619867251301,7.05296701923501,1.75142375372711e-12,9.03337426793479e-11
"ENSG00000164327.12",136.86019250022,10.0168592022591,1.42200714063987,7.04416941095793,1.86571039736149e-12,9.52464195714237e-11
"ENSG00000213965.3",277.797461955197,11.7971123583226,1.6767831033731,7.03556252122949,1.98458702899591e-12,9.96719894990908e-11
"ENSG00000137547.8",364.04106579892,-10.8129271636976,1.53701319689894,-7.03502558436949,1.99224444331583e-12,9.96719894990908e-11
"ENSG00000085063.14",31.5136534874706,-7.58529586154365,1.08139131954336,-7.01438574959776,2.30961366549726e-12,1.14405912559236e-10
"ENSG00000141543.9",234.157813257184,7.26369356999921,1.0405886176606,6.98037000090303,2.94403670230031e-12,1.44402113937338e-10
"ENSG00000120705.12",14.9890727194345,5.76711228096449,0.83557444097516,6.90197305967612,5.1285163141308e-12,2.49106476889285e-10
"ENSG00000110660.14",209.958467720268,7.38151486558274,1.07095884049357,6.89243562542594,5.48451138981644e-12,2.63836639262035e-10
"ENSG00000174886.12",58.3994767705435,8.91499937882435,1.29667229422584,6.87529101880513,6.18634358691268e-12,2.94764542526896e-10
