"","stage1","stage2","stage3","stage4"
"ENSG00000006451.7",477.41554055,596.1632653,625.744539536,482.71146955
"ENSG00000006453.13",0.049469112,356.6938776,0.0256410256666667,30.828255675
"ENSG00000006459.10",502.723696857,544.4489796,165.811206069333,323.56391875
"ENSG00000006530.15",106.830598477,0.020408163,285.732383673333,75.0104540185
"ENSG00000006576.16",537.7705116,1125.979592,229.105223176667,29.1251493405
"ENSG00000006607.13",616.756515215,1379.571429,116.530864211,101.235454002
"ENSG00000006625.17",0.081081081,0.142857143,0.0379867046666667,0.1998207885
"ENSG00000006634.7",247.7408277025,139.5038776,289.388070269333,171.537998805
"ENSG00000006652.13",291.542471055,1123.816327,353.531433971667,132.7968936925
"ENSG00000006695.10",32.044642855,250.1020408,97.5261158606667,8.2267025095
