hgnc_symbol,stage1,stage2,stage3,stage4
SLAMF7,211.0699301,3881.172414,11.63888889,2104.693005
BTN3A1,26.86555445,152.932069,521.2772222,79.52737981
PRKCH,117.3816184,125.2413793,409.9375,1.61698718
IFNGR1,443.7782218,1005.172414,759.4513889,260.3854167
B4GALT7,0.044955045,0.137931034,0.027777778,12.96233974
SH2D2A,0.640359641,0.586206897,235.2291667,8.278044874
VRK2,9.027987015,447.0831034,68.92618056,112.1750962
TNFRSF1B,169.0314685,346.9310345,385.9375,196.4126603
VEZT,140.8711289,8.862068966,323.0555556,480.1714743
POU2F2,1161.407592,247.5172414,341.6666667,639.0657051
BRD9,0.090909091,186.6875862,0.152777778,0.197916667
SNX1,97.83016983,0.310344828,6.243055556,168.4815705
TBPL1,266.017982,149.3448276,3.472222223,206.6778846
BCLAF1,906.4999301,1262.87069,433.3327778,2850.878622
SLC39A9,147.0044955,1.034482759,4.618055556,1036.71234
RABEP1,245.2676723,120.7996552,488.111111,739.3024359
HMGB3,10.74525475,0.413793103,27.71527778,0.285256411
NUP160,280.6638362,492.9310345,0.020833333,148
IKZF2,7.988511489,1,228.4375,6.371794874
GRN,174.5654346,155.3103448,3.798611111,80.36618588
FAM13B,104.3727273,917.2065517,532.7033333,156.8618269
ARHGAP31,0.623376624,53.03448276,74.61111111,4.746794872
SARS1,7770.625872,1288.896552,12.50694444,2152.635417
RANBP3,69.08391609,0.137931034,0.048611111,145.09375
ARID4A,250.5154845,43.62068966,1305.361111,1857.672276
EIPR1,17.64285715,100.7241379,0.027777778,0.135416667
PNPLA6,0.461038961,0.068965517,0.097222222,0.083333334
ALG1,6.992877124,0.793103448,0.555555556,860.1059937
ZCCHC8,68.26423575,216.3793103,177.9583333,44.12900641
ABCF2,7.46753247,86.86206897,0.020833333,381.6666667
CHPF2,0.032467533,0.413793103,0.020833333,17.46314904
FUT8,124.6833167,3.310344828,152.1527778,371.8469551
UBA6,783.0604394,518.7241379,2069.381944,1515.758814
ATP6V0A1,42.79220779,23.51724138,0.027777778,52.48317308
PIAS1,868.2942059,203.6551724,5514.659722,854.4679488
SLC4A7,50.73876124,407.3103448,3.923611111,1575.08734
MAP2K3,133.2177822,397.2758621,401,163.1394231
TMSB10,6491.806192,8728.413793,15304.02083,6441.167468
ASTE1,0.155844156,198.9310345,1.090833333,0.291666667
RNF19A,301.4164535,2324.277586,164.25,850.7289502
PEX3,9.14935065,0.034482759,0.020833333,167.3509615
GABARAPL2,312.5434566,1080.241379,5533.409722,1181.901442
FAM136A,971.8222477,423.8931034,402.7369444,195.5184295
VCL,118.8426574,186.3793103,155.6180556,644.2724357
DEPDC1B,0.012987013,0.068965517,0.333333333,0.010416667
DAPK2,8.357142855,0.275862069,0.027777778,69.09375
NSMAF,18.55844156,0.75862069,9.75,642.5865385
ADSS2,184.8826174,196.6551724,151.8472222,38.46314103
STAP1,506.8586414,294,3876.993056,194.8790064
TIMP2,3.600584416,0.068965517,0.416666667,0.737179488
RFC1,71.80819182,39.82758621,0.756944444,281.1746795
TBC1D23,114.1358641,0.586206897,139.4652778,335.6089743
CUL3,2309.254126,1599.665862,40.36666667,43.76504808
,528.8866134,712.9310345,0.194444444,399.3213141
RPL26L1,23.45702797,267.3296552,100.7044444,167.3392068
NSUN2,169.1433567,252.3448276,0.284722222,184.6530449
FBXO42,34.92607393,0.137931034,386.9097223,52.58012819
