"","ensembl_gene_id","X","C473","C481","LC03","RC02","RC03","LC01","R03","R02","hgnc_symbol"
"697","ENSG00000120675","ENSG00000120675.5",1,94.10416667,0.230769231,170.3125,0.307692308,260.6896552,0.416666667,57.81818182,"DNAJC15"
"698","ENSG00000120686","ENSG00000120686.11",3,1054.958333,1513.615385,42.3125,1881.076923,630.7931034,11.66666667,466.4415584,"UFM1"
"699","ENSG00000120690","ENSG00000120690.15",7,2172.414167,11231.46154,1266.375,2988.692308,4985.034483,2390.333333,8104.779091,"ELF1"
"700","ENSG00000120694","ENSG00000120694.19",4,494.2083333,5894.769231,502.375,87.92307692,1494.827586,11642.33333,355.6883117,"HSPH1"
"701","ENSG00000120699","ENSG00000120699.12",1,949.2852083,1439.461538,605.375,2,342.5862069,1107.666667,327.6714286,"EXOSC8"
"702","ENSG00000120705","ENSG00000120705.12",1,267.0625,1140.230769,132.1875,2.384615385,1850.172414,648.4166667,1100.701299,"ETF1"
"703","ENSG00000120727","ENSG00000120727.12",1,1595.747917,2621.692308,2018.148125,4569.496154,2014.62931,3103.746667,2511.64039,"PAIP2"
"704","ENSG00000120738","ENSG00000120738.7",3,10.95833333,367.8461538,0.625,748.0769231,4117.172414,24.5,1123.818182,"EGR1"
"705","ENSG00000120742","ENSG00000120742.10",1,967.9583333,6.461538462,2.3125,3.076923077,845.3448276,452.75,1528.909091,"SERP1"
"706","ENSG00000120805","ENSG00000120805.13",1,96.8125,0.230769231,3.25,0.230769231,0.793103448,0.666666667,77.8961039,"ARL1"
"707","ENSG00000120875","ENSG00000120875.8",1,2015.416667,0.923076923,734.625,0.615384615,1545.034483,1621.174167,292.5844156,"DUSP4"
"708","ENSG00000120963","ENSG00000120963.11",512,2069.457708,297.7692308,3894.37,2802.016923,2686.24069,9.5,1149.934416,"ZNF706"
"709","ENSG00000120992","ENSG00000120992.17",2,286.5625,2660.461538,0.125,0.153846154,353.3793103,2,528.1168831,"LYPLA1"
"710","ENSG00000121067","ENSG00000121067.17",2,343.4375,270.0769231,2.4375,4788.076923,767.6551724,1.916666667,1194.896104,"SPOP"
"711","ENSG00000121089","ENSG00000121089.4",3,1.857083333,0.461538462,1.684375,0.085384615,3.068275862,1.416666667,2.214025974,"NACA3P"
"712","ENSG00000121274","ENSG00000121274.12",1,6.291666667,178.6153846,588.3125,0.615384615,102.5517241,313,142.8311688,"TENT4B"
"713","ENSG00000121579","ENSG00000121579.12",9,1071.375,2,2153.625,25.30769231,931.137931,3,1479.480519,"NAA50"
"714","ENSG00000121691","ENSG00000121691.4",1,117.6666667,1027.153846,17.25,0.076923077,578.9310345,492.5833333,691.2987013,"CAT"
"715","ENSG00000121851","ENSG00000121851.12",1,26.41666667,11.38461538,151.75,0.692307692,48.10344828,2,58.71428571,"POLR3GL"
"716","ENSG00000121892","ENSG00000121892.14",1,1309.479167,132.3076923,138.0625,0.615384615,303.2413793,19.91666667,735.8051948,"PDS5A"
"717","ENSG00000121895","ENSG00000121895.7",1,435.0833333,2641.692308,311.375,0.384615385,322.7931034,0.583333333,971.1558442,"TMEM156"
"718","ENSG00000121966","ENSG00000121966.6",5,3030.75,7151.692308,7040.75,9448.307692,7926.034483,1710.916667,8287.675325,"CXCR4"
"719","ENSG00000122026","ENSG00000122026.10",38013.2,9714.455625,8457.432308,6168.921875,1028.425385,13068.85828,6646.01,14280.93195,"RPL21"
"720","ENSG00000122033","ENSG00000122033.14",2,0.604166667,0.076923077,30.16625,2.153846154,261.3344828,0.583333333,75.16844156,"MTIF3"
"721","ENSG00000122034","ENSG00000122034.14",13,1310.770833,9.076923077,804.83375,4399,1186.837931,2939.75,1221.325065,"GTF3A"
"722","ENSG00000122218","ENSG00000122218.14",2710,69.91666667,2406.769231,290,2.769230769,624.7586207,318.4166667,495.3896104,"COPA"
"723","ENSG00000122224","ENSG00000122224.17",3057,6418.875,1106.461538,1121.4375,152.3846154,3811.931034,0.666666667,6323.376623,"LY9"
"724","ENSG00000122359","ENSG00000122359.17",1,54.14583333,0.076923077,42.1875,0.384615385,0.896551724,124.5833333,163.5454545,"ANXA11"
"725","ENSG00000122406","ENSG00000122406.12",7227,6018.395,6683.151538,2669.37875,6259.370769,8616.727241,5936.798333,9547.401169,"RPL5"
"726","ENSG00000122545","ENSG00000122545.18",13,6869.3125,613.2307692,1409.375,8607.153846,6805.448276,1778.583333,5746.494156,"SEPTIN7"
"727","ENSG00000122557","ENSG00000122557.9",2,550.5625,2759,17.0625,2.153846154,232.5172414,2.25,1051.935065,"HERPUD2"
"728","ENSG00000122566","ENSG00000122566.20",18678,5377.1875,1569.615385,2811.1875,28942.15385,5602.754138,2349.416667,3949.010519,"HNRNPA2B1"
"729","ENSG00000122643","ENSG00000122643.18",12,1220.018542,4.384615385,0.4375,1.230769231,225.3658621,38.16666667,413.4487013,"NT5C3A"
"730","ENSG00000122692","ENSG00000122692.8",7450.72,2121.745625,1936.461538,1640.25,29.69230769,971,3963.166667,1088.391169,"SMU1"
"731","ENSG00000122705","ENSG00000122705.16",1,303.2708333,0.076923077,6.6875,0.307692308,119.0344828,1.916666667,50.8961039,"CLTA"
"732","ENSG00000122862","ENSG00000122862.4",23,4534.020833,69.30769231,12500.0625,3360.153846,5890.103448,10005.33333,7817.181818,"SRGN"
"733","ENSG00000123106","ENSG00000123106.10",9074.98,68.45833333,74.07692308,14.375,0.307692308,0.275862069,3.166666667,167.2179221,"CCDC91"
"734","ENSG00000123200","ENSG00000123200.16",2,357.875,1829.461538,1446,33.23076923,446.862069,126.8333333,328.7142857,"ZC3H13"
"735","ENSG00000123240","ENSG00000123240.16",1,328.8333333,1,134.25,2.076923077,309.1724138,7.083333333,180.5064935,"OPTN"
"736","ENSG00000123329","ENSG00000123329.17",1,121.4583333,1104.384615,0.1875,2259,1195.513448,1.333333333,7.714285714,"ARHGAP9"
"737","ENSG00000123349","ENSG00000123349.13",2140,2833.729167,5314.923077,1465.0625,5465.307692,2527.413793,3233.583333,3274.818182,"PFDN5"
"738","ENSG00000123358","ENSG00000123358.19",12.97,344.176875,13.45307692,0.125,1999.17,293.4844828,908.8483333,587.3612987,"NR4A1"
"739","ENSG00000123374","ENSG00000123374.10",42,243.0208333,21.46153846,113.75,133.3076923,16.86206897,6.583333333,174.961039,"CDK2"
