"","stage_I","stage_II","stage_III","stage_IV"
"ENSG00000022267.16",108.0485,0.053,0.147,55
"ENSG00000022277.12",547.5,271,504,469
"ENSG00000022840.15",779.5,258,337.7,30.4
"ENSG00000023041.11",580,609,165,869
"ENSG00000023171.16",66.24,19,187,58.05
"ENSG00000023191.16",141.8,89,130.1,462
"ENSG00000023228.13",77.97,572,115.517,416
"ENSG00000023287.12",792.5,1456,2095.5,906.5
"ENSG00000023318.7",618.15,946,996.7,420
"ENSG00000023330.14",134.4,224,0.4435,16.35
"ENSG00000023445.13",15931,11221,9324,7204
"ENSG00000023516.8",69.84,139,952.5,8.5
"ENSG00000023572.8",387.5,58,0.755,105
"ENSG00000023608.4",29.145,88,178.355,0.2
"ENSG00000023697.12",158.05,322,35.517,138
"ENSG00000023734.10",695,658,636.5,1025.5
"ENSG00000023892.10",249,58,722,118
"ENSG00000023902.13",234.5,153,43.7,71
"ENSG00000023909.9",12.29,18,0.177,12.125
"ENSG00000024048.10",553,85,38.325,160.625
"ENSG00000024862.17",687,789,809,573
"ENSG00000025039.14",5.12,0.018,0.2,0.0265
"ENSG00000025156.12",19.145,15,32.516,89.5
"ENSG00000025293.16",563.5,836,861,637
"ENSG00000025708.13",186,21,10.17,2.075
"ENSG00000025770.18",12.5325,0.14,0.017,177.5
"ENSG00000025772.7",224,55,2.79,68.5
"ENSG00000025796.13",459,689,627,425.5
"ENSG00000025800.13",772,1415,805.5,1021.5
"ENSG00000026025.15",3682.5,12981,5450,7680.5
"ENSG00000026103.21",852.5,3044,1119.5,1221
"ENSG00000026297.15",1074.5,913,303,547.5
"ENSG00000026508.17",2190,4558,2751.5,5791.5
"ENSG00000026652.13",24.516,52,3.77,0.025
"ENSG00000026751.16",41.55,274,1.71,39
"ENSG00000026950.16",512.5,539,26.565,312.4
"ENSG00000027001.9",16.0325,0.035,4.075,0.013
"ENSG00000027075.14",715,3150,415,810
"ENSG00000027697.13",525.5,849,61.43,646
