"","stage_I","stage_II","stage_III","stage_IV"
"ENSG00000140009.18",0.097,0.018,0.017,125.15
"ENSG00000140030.5",2129.5,1076,429,1961
"ENSG00000140043.11",0.0485,0.018,0.016,0.038
"ENSG00000140044.12",0.75,0.088,0.017,0.013
"ENSG00000140104.13",0.023,0.018,0.0325,1.95
"ENSG00000140105.17",184.5,12,434,178.5
"ENSG00000140153.17",532,114,296.615,127.055
"ENSG00000140157.14",129,295,219.5,275.675
"ENSG00000140199.11",67,0.51,0.265,486
"ENSG00000140259.6",386.5,491,0.5825,570
"ENSG00000140262.17",120.21,19,101.62,385
"ENSG00000140264.19",13143.5,15381,9113,12945
"ENSG00000140265.12",9.016,0.088,0.016,0.055
"ENSG00000140279.12",0.7325,0.035,0.017,0.235
"ENSG00000140280.13",81.5,451,54.5,803.5
"ENSG00000140284.10",24.695,431,0.195,0.51
"ENSG00000140287.10",13,0.035,0.0325,0.24
"ENSG00000140299.11",720.5,680,519.5,156.275
"ENSG00000140307.10",361.5,190,484.5,367.5
"ENSG00000140319.10",5389,11076,3282.5,5637.5
"ENSG00000140320.11",33.105,0.25,0.0985,50.5
"ENSG00000140332.15",1612,611,906.5,1758.5
"ENSG00000140350.15",309,288,10.5,666.5
"ENSG00000140365.15",143.15,1.1,0.0655,366
"ENSG00000140367.11",124,0.46,8.21,0.675
"ENSG00000140368.12",233,500,165.325,0.105
"ENSG00000140374.15",769,909,530,274.2
"ENSG00000140379.7",252.25,99,90.45,228.5
"ENSG00000140382.14",0.135,28,16,161.025
"ENSG00000140386.12",586,78,0.085,67.09
"ENSG00000140391.14",46.305,15,0.1725,3.1
"ENSG00000140395.8",205.15,400,68.675,0.725
"ENSG00000140396.12",250.5,507,18.085,155
"ENSG00000140398.13",0.399,0.67,27.516,0.355
"ENSG00000140400.16",0.067,202,0.0325,64
"ENSG00000140403.12",57.595,0.035,49,1255.45
"ENSG00000140406.3",20.565,7.8,297.64,29.95
"ENSG00000140416.19",3.19,332,0.1495,13
"ENSG00000140443.13",0.0325,20,0.0325,0.0265
"ENSG00000140455.16",320.55,1280,621,433.5
"ENSG00000140463.13",68.5,73,350.5,0.48
"ENSG00000140464.19",4.24,28,67.6,0.9
"ENSG00000140470.13",0.08,41,0.275,0.013
"ENSG00000140471.16",274.5,411,19.5,14.805
"ENSG00000140497.16",651,927,348.5,277.9
"ENSG00000140511.11",33.5485,139,123,81.5
"ENSG00000140521.12",459.5,147,378.5485,305.5
"ENSG00000140525.17",38.9,12,650,0.455
"ENSG00000140526.17",1.39,8.5,85.59,15.25
"ENSG00000140548.9",0.2,1.9,118.5,0.188
"ENSG00000140553.17",89,113,153.517,6.55
"ENSG00000140563.14",0.245,41,0.08,6.16
"ENSG00000140564.11",750,919,180,340.5
"ENSG00000140575.12",2129.5,5766,2825.5,2312
"ENSG00000140577.15",36.85,147,177,424.59
"ENSG00000140598.13",176.37,642,23,0.065
"ENSG00000140612.13",373.95,1231,221.355,1524.5
"ENSG00000140632.16",80.58,72,0.0655,9.1
"ENSG00000140650.11",11.175,3.5,0.016,105.055
"ENSG00000140678.16",1461.23,0.14,26.05,61
"ENSG00000140688.16",0.0485,43,0.06,0.013
"ENSG00000140694.16",106.145,432,0.175,566.25
"ENSG00000140718.20",149.016,0.07,437.5,35.025
"ENSG00000140740.10",230,1242,219.45,643
"ENSG00000140743.7",116,207,461.5,166.5
"ENSG00000140749.8",15.75,0.23,3.45,0.115
"ENSG00000140750.16",133.5,317,352.21,38.55
"ENSG00000140807.6",0.016,0.07,0.017,0.275
"ENSG00000140829.11",297,201,28.5,170
"ENSG00000140830.8",123.08,94,12.065,22.055
"ENSG00000140836.15",0.175,60,0.0505,495.5395
"ENSG00000140848.16",19.016,0.25,26.25,0.0265
"ENSG00000140853.15",604.5,643,223.5,1035
"ENSG00000140854.12",20.26,0.018,0.033,22.5
"ENSG00000140905.10",2.67,0.21,1,781.0395
"ENSG00000140931.19",471,199,348.5,1007.5
"ENSG00000140941.12",1136.5,2412,1229,1337.5
"ENSG00000140943.16",186.16,45,8.985,225
"ENSG00000140948.11",160,31,0.086,90.1
"ENSG00000140968.10",51.74,175,60.985,1.325
"ENSG00000140983.13",118.0485,6.3,213.5,29.45
"ENSG00000140987.19",159.3,42,0.396,18.5
"ENSG00000140988.15",3583,5651,4460,3259.5
"ENSG00000140990.14",998,1335,936.5,749.5
"ENSG00000140992.18",34.5,105,144.85,866
"ENSG00000140995.16",12.775,1.4,370.0485,310.85
"ENSG00000141002.19",236.7,305,127,275
"ENSG00000141027.20",1649,2259,545,3603
"ENSG00000141030.12",184.5485,196,0.725,191
"ENSG00000141068.13",20,142,279.5,50
"ENSG00000141084.10",384.85,0.82,199.5,0.19
"ENSG00000141098.12",58.5,0.75,0.017,0.1395
"ENSG00000141101.12",219,550,4.395,218
"ENSG00000141127.14",129.5,20,0.0485,0.535
"ENSG00000141219.15",0.9325,0.053,0.017,92.5
"ENSG00000141232.4",2845.5,1769,3587.5,5920.5
"ENSG00000141252.19",179.5,160,39,53.5
"ENSG00000141258.12",4.4985,6.7,0.0495,19.5
"ENSG00000141279.15",190.15,385,270,629
"ENSG00000141293.15",1424,1744,661.5,1029
"ENSG00000141298.17",258,177,73,320
"ENSG00000141349.8",15.35,76,0.05,0.6
"ENSG00000141367.11",320.8,630,7.75,532
"ENSG00000141378.14",73.8,0.56,5.145,98.35
"ENSG00000141380.13",215.75,880,2.01,762.5
"ENSG00000141384.12",55,0.95,0.98,0.09
"ENSG00000141385.9",43.095,39,20.56,0.135
"ENSG00000141404.15",0.16,0.022,0.0335,0.9
"ENSG00000141424.12",383.5,15,381,423.5
"ENSG00000141425.17",227.85,0.26,42,157.575
"ENSG00000141428.16",116.175,128,111.5,284.555
"ENSG00000141429.13",394.5,1088,6.325,260.6
"ENSG00000141446.10",273.24,688,604,404.5
"ENSG00000141452.9",461,50,175.25,3.56
"ENSG00000141456.14",70.25,192,0.016,22.025
"ENSG00000141458.12",398,88,322.5,401.5
"ENSG00000141480.17",14.5485,43,29.6,4.225
"ENSG00000141504.11",430.5,85,0.067,3.05
"ENSG00000141506.13",45.145,128,369.5,1.485
"ENSG00000141510.16",622.5,228,443.5,374
"ENSG00000141522.11",44.645,49,42.565,262.5
"ENSG00000141524.15",16.16,176,223.855,25.075
"ENSG00000141526.16",0.255,0.035,0.097,0.0395
"ENSG00000141543.9",390,1500,702.5,178.2
"ENSG00000141551.14",162.05,444,162,351.5
"ENSG00000141552.17",1461,1091,640.5,1177.5
"ENSG00000141556.20",37.805,166,0.465,50
"ENSG00000141560.14",23.855,0.18,0.31,22.5265
"ENSG00000141562.17",516.5,416,203.5,312
"ENSG00000141568.20",208.5,291,179,147.5
"ENSG00000141574.7",9.016,0.07,0.275,31.5
"ENSG00000141576.14",254,0.053,55,0.013
"ENSG00000141580.15",567,164,1.225,163.5
"ENSG00000141582.14",1.13,0.018,0.086,1.75
"ENSG00000141627.13",40.565,133,124.595,54.525
"ENSG00000141642.8",0.45,0.018,0.016,0.013
"ENSG00000141644.17",140.065,0.3,0.27,34.5
"ENSG00000141646.13",163.565,306,0.255,134.55
"ENSG00000141664.9",739.5,391,646.5,4.85
"ENSG00000141682.11",1778,6219,1572.5,3891
"ENSG00000141699.10",2.715,2.9,275.0485,19.275
"ENSG00000141741.11",135.5,412,729.5,330.5
"ENSG00000141753.6",69,0.07,0.0655,0.038
"ENSG00000141759.14",126,329,134,159
"ENSG00000141858.11",129.5,3.2,39.5325,2.15
"ENSG00000141867.17",468.5,692,1161,413
"ENSG00000141905.18",73.5,19,0.0495,3.23
"ENSG00000141933.9",0.0925,0.035,0.016,23.4
"ENSG00000141959.16",87.8,102,327.05,47.5
"ENSG00000141965.4",3.1,6.8,129.5,1.1
"ENSG00000141968.7",319.25,320,242.5,110.5
"ENSG00000141985.9",11,0.07,1.717,0.065
"ENSG00000142002.16",6.8,13,209.1,0.55
"ENSG00000142039.3",209,0.42,2.966,81.5
"ENSG00000142089.15",518.5,440,194,441
"ENSG00000142102.15",17.5485,15,48,15.375
"ENSG00000142166.12",1028.5,437,571,1150
"ENSG00000142168.14",2321,5493,1856.5,2653.5
"ENSG00000142178.7",0.567,59,3.395,0.080265
"ENSG00000142186.16",30.0485,76,53,2
"ENSG00000142188.16",476.5,197,312.5,173.175
"ENSG00000142197.12",0.11,1.7,0.017,230.63
"ENSG00000142208.15",163.5,12,36.565,723.5
"ENSG00000142227.10",650.5,1933,878.5,1265.5
"ENSG00000142230.11",1022,142,286.145,1061
"ENSG00000142252.10",99.08,578,435.5,201.5
"ENSG00000142347.16",4.585,137,203.13,119
"ENSG00000142396.10",449.5,320,554.75,459.5
"ENSG00000142405.21",0.028,0.018,0.05,0.088
"ENSG00000142409.5",0.021,8.6,0.016,343.09
"ENSG00000142444.6",28.145,49,0.46,1.205
"ENSG00000142507.9",3039.5,4046,1419.5,1443
"ENSG00000142512.14",0.1025,0.21,0.6,0.0515
"ENSG00000142534.6",6037,4777,3925.5,4704.5
"ENSG00000142541.16",9738,8255,6094,9946
"ENSG00000142546.13",530.5,997,329.14,155.5
"ENSG00000142556.18",18,0.44,116.016,0.1265
"ENSG00000142583.17",0.125,0.19,0.3425,0.38
"ENSG00000142599.17",409.5,15,235.5,2.45
"ENSG00000142634.12",22.675,226,226,39.3
"ENSG00000142655.12",1.4,37,0.05,4.255
"ENSG00000142657.20",27.725,0.19,83.21,160.5
"ENSG00000142669.14",9609,17520,3678,12889.5
"ENSG00000142676.12",3440.5,4006,2837.5,2558
"ENSG00000142684.8",18.35,183,0.017,0.365
"ENSG00000142686.7",13,0.035,74.5,0.338
"ENSG00000142687.17",1305.5,301,166.5,936
"ENSG00000142751.14",67.0485,0.053,0.016,11
"ENSG00000142765.17",24.08,0.018,35.5325,3.5
"ENSG00000142784.15",7,14,0.175,12.5
"ENSG00000142856.16",447.1,0.93,0.277,14.35
"ENSG00000142864.14",1927.5,3201,1271,2750.5
"ENSG00000142867.12",1290.5,202,554,854
"ENSG00000142875.19",249.79,1573,325,1368
"ENSG00000142892.14",173.5,65,1.6,220.62
"ENSG00000142937.11",3304,4764,4250,3512
"ENSG00000142945.12",50.016,0.61,0.033,0.0395
"ENSG00000143013.12",46.84,51,8.05,124.35
"ENSG00000143033.17",597,796,104.115,220.5
"ENSG00000143079.14",40.95,32,141.775,240.525
"ENSG00000143093.14",380.4,34,311.05,85.75
"ENSG00000143106.12",1497,365,392.97,1012.5
"ENSG00000143110.11",39.775,39,0.34,1.19
"ENSG00000143119.12",2372.5,3919,3036,2273.5
"ENSG00000143149.12",778,380,39.45,709.5
"ENSG00000143153.12",4,2.2,37.15,121.13
"ENSG00000143155.12",621.5,1030,539,1023.5
"ENSG00000143156.13",3.195,890,34.017,372.85
"ENSG00000143157.11",319,50,166.86,2.38
"ENSG00000143158.10",1056.5,2864,1.125,830
"ENSG00000143162.7",13.75,18,0.82,1007.15
"ENSG00000143164.15",440,278,20.925,907.5
"ENSG00000143179.14",276.5,166,0.235,565.5
"ENSG00000143183.16",430.8,179,497.5,1489
"ENSG00000143184.4",6.705,19,0.017,103.5
"ENSG00000143185.3",45.9,45,0.105,64.55
"ENSG00000143190.21",103,164,177.5,68.225
"ENSG00000143198.12",431.5,185,80.79,822.5
"ENSG00000143207.19",53.435,72,15,76.8
"ENSG00000143222.11",1256,1024,712,480.5
"ENSG00000143224.17",94,0.035,0.016,106.525
"ENSG00000143226.13",4.365,0.082,1.535,1.9
"ENSG00000143252.14",500.5,50,55.905,133.5
"ENSG00000143256.4",1275,1237,706,218.5
"ENSG00000143257.11",1.6,0.035,0.195,9
"ENSG00000143294.14",240.5,39,274,60
"ENSG00000143297.18",1.05,0.12,1.01,0.2265
"ENSG00000143303.11",23.145,1.3,1.445,0.08
"ENSG00000143314.12",83.6,642,32.0325,251.5
"ENSG00000143315.6",4.665,45,0.0985,0.05
"ENSG00000143319.16",120.5,284,282.5325,9.1
"ENSG00000143321.18",164.1,26,70.45,271
"ENSG00000143322.19",102.5,0.67,10.45,149.2
"ENSG00000143324.13",146.16,0.33,0.085,52.0395
"ENSG00000143333.6",58.55,111,20.115,150.765
"ENSG00000143337.18",711,549,0.76,34.6
"ENSG00000143353.11",28,209,3.05,1.475
"ENSG00000143363.15",70,700,0.016,19.45
"ENSG00000143368.9",69.15,167,0.082,124.5
"ENSG00000143373.17",3.25,0.088,0.39,0.9
"ENSG00000143374.16",21.5,0.25,0.095,1.2
"ENSG00000143375.14",0.007,0.018,0.0495,0.0265
"ENSG00000143376.12",543,175,1.825,993
"ENSG00000143379.12",85.5,0.053,0.0495,0.1905
"ENSG00000143384.12",833,1053,1178.5,344
"ENSG00000143390.17",39,37,0.44,110.85
"ENSG00000143393.16",104.26,278,459,240
"ENSG00000143401.14",11403,4129,4830,15076
"ENSG00000143418.19",122.5,83,33.585,406
"ENSG00000143420.18",305.65,360,593,403.5
"ENSG00000143429.10",2.48,0.035,32.517,0.07
"ENSG00000143436.10",190.65,99,94.7,501.5
"ENSG00000143437.20",215.5,59,186.29,217.3
"ENSG00000143442.21",917,294,627,145.4
"ENSG00000143443.9",6211.5,2714,6307,4434.5
"ENSG00000143457.10",20.5,61,138.017,7.55
"ENSG00000143458.11",224,321,0.05,477.38
"ENSG00000143486.15",268.5,176,275.5,125.575
"ENSG00000143499.13",69.645,0.16,0.05,72.5395
"ENSG00000143507.17",702,1376,246.5,1161
"ENSG00000143514.16",131,135,457,257.6
"ENSG00000143515.16",66,0.018,15.5,3.113
"ENSG00000143543.14",569.2,1423,525.7,526
"ENSG00000143549.19",6871,10065,5218,7769
"ENSG00000143553.10",69.7,182,417.26,623.2
"ENSG00000143569.18",522.5,215,429,231.5
"ENSG00000143570.17",144.5,232,47.05,411.5
"ENSG00000143575.14",95.05,284,0.355,570.6
"ENSG00000143603.18",2.25,0.21,0.2295,0.155
"ENSG00000143612.19",577.1,667,1227.5,1516
"ENSG00000143614.9",252.5,976,52.05,739.5
"ENSG00000143621.16",1359.5,2143,745.5,1074.5
"ENSG00000143622.10",842,480,139,255
"ENSG00000143624.13",0.76,12,0.05,0.061
"ENSG00000143633.12",144.5,52,190.5,614
"ENSG00000143641.9",40.145,139,0.4195,99.7
"ENSG00000143653.9",84.2,7.8,3.615,0.23
"ENSG00000143669.13",4660.5,1839,1710.5,1490.5
"ENSG00000143702.15",29.725,59,0.98,0.975
"ENSG00000143727.15",692.5,1024,594.5,1154
"ENSG00000143742.12",2013,1375,924,2058
"ENSG00000143748.17",134.5,138,145.65,208.6
"ENSG00000143751.9",95.0485,4.5,273.5,0.0395
"ENSG00000143753.12",702.5,796,408.095,424.5
"ENSG00000143756.11",88.7,175,52.085,182
"ENSG00000143761.15",2236.5,4564,1403,1509
"ENSG00000143771.11",986.5,337,790,336.5
"ENSG00000143772.9",161,518,54.017,932.5
"ENSG00000143774.16",1468,818,435.5,520.5
"ENSG00000143793.12",34.74,0.16,1.4325,284
"ENSG00000143799.12",649,1437,872.5,211
"ENSG00000143811.18",72.5,154,1.116,57.15
"ENSG00000143815.14",1883.5,2985,292,872.5
"ENSG00000143851.15",384,293,1.12,815
"ENSG00000143870.12",1231,2711,83.6,975
"ENSG00000143878.9",14.65,111,184,139.7
"ENSG00000143882.10",3.25,10,0.75,1.6
"ENSG00000143889.15",883,2035,1052,2140
"ENSG00000143891.16",691.5,1776,1103.5,687
"ENSG00000143919.14",77.85,24,0.13,138.5
"ENSG00000143924.18",5429,7956,2215,2953.5
"ENSG00000143933.16",11930.5,14836,7820.5,15661
"ENSG00000143942.4",69.485,0.053,94.74,0.17
"ENSG00000143947.13",5624,7885,3337.5,4956
"ENSG00000143951.15",0.2475,0.07,0.033,0.0645
"ENSG00000143952.19",303,115,0.8,0.155
"ENSG00000143970.16",1483,558,215.83,149.75
"ENSG00000143977.13",2266,1719,1260.5,597
"ENSG00000144021.2",355,1099,971.5,180
"ENSG00000144026.11",18.0325,618,0.016,131.0395
"ENSG00000144028.14",870,867,716.5,125.35
"ENSG00000144029.11",432,429,8.225,998.5
"ENSG00000144034.14",421.5,13,2.89,1027
"ENSG00000144048.10",365.65,949,0.295,519.025
"ENSG00000144118.13",309,0.11,67,252.5
"ENSG00000144136.10",529,1028,831.9,508.5
"ENSG00000144152.12",8.85,239,0.016,398.5
"ENSG00000144158.4",4.85,5.1,0.195,2.7
"ENSG00000144161.12",195.5,301,0.165,335.5
"ENSG00000144182.16",72.0325,0.18,0.0325,0.0395
"ENSG00000144224.16",1686,2265,2698.5,1328.5
"ENSG00000144228.8",369.675,321,0.2,242
"ENSG00000144231.10",666,296,803,197.5
"ENSG00000144233.9",99.675,0.035,0.08,0.0265
"ENSG00000144283.21",135.16,0.07,0.0655,493.395
"ENSG00000144290.16",44.516,34,0.086,96.08
"ENSG00000144306.14",0.2825,5.2,0.24,0.013
"ENSG00000144320.13",24.6,131,243.5,889.5
"ENSG00000144354.13",113,130,0.0495,31
"ENSG00000144357.16",183.5,98,595.75,4.19
"ENSG00000144381.16",1882.5,2175,1515.5,1445
"ENSG00000144401.14",11.675,14,224.465,38.8
"ENSG00000144426.18",55,95,213.55,268
"ENSG00000144445.16",0.121,76,0.295,0.195
"ENSG00000144451.18",83.175,184,0.016,34.525
"ENSG00000144468.16",300,1142,60.205,0.088
"ENSG00000144485.10",0.0535,0.18,0.017,0.85
"ENSG00000144504.15",0.014,0.088,0.0345,22.075
"ENSG00000144524.17",37.095,0.33,266.58,223.55
"ENSG00000144535.19",259.63,0.035,0.017,0.055
"ENSG00000144554.10",833,88,91.5,128.7
"ENSG00000144559.10",3.266,216,0.0325,2.25
"ENSG00000144560.14",11.485,0.23,430.55,0.265
"ENSG00000144566.10",343.5,934,194,432
"ENSG00000144567.10",341,23,30.915,214.675
"ENSG00000144579.7",144.675,24,2.65,0.145
"ENSG00000144580.13",7021,3780,1916.5,3535.5
"ENSG00000144591.18",1.766,0.035,0.0485,12.5395
"ENSG00000144597.13",4005,1931,1055,1366
"ENSG00000144619.14",0.021,0.035,0.0345,0.0265
"ENSG00000144635.8",276.5,662,0.52,720
"ENSG00000144645.13",120,0.18,0.1375,0.92
"ENSG00000144655.14",116.5,459,60,75.725
"ENSG00000144659.10",70.5,298,162,44.025
"ENSG00000144674.16",2007,1337,1481,1943.5
"ENSG00000144711.13",684,374,244.07,129.5
"ENSG00000144713.12",4491.5,6644,2430,3852.5
"ENSG00000144736.13",0.016,0.33,0.016,5.525
"ENSG00000144741.17",402.5,320,16,0.925
"ENSG00000144744.16",230.5,1370,18.275,645.6
"ENSG00000144746.6",10774.5,9171,5309.5,8078.5
"ENSG00000144747.15",1505.5,1158,808.5,309.5
"ENSG00000144749.13",125,269,0.065,19.8
"ENSG00000144785.8",66.5,5.1,0.0495,24.5
"ENSG00000144791.9",0.0765,0.58,0.07,0.0265
"ENSG00000144802.11",1728.5,798,585.25,585
"ENSG00000144815.15",35.0485,14,13.66,149.5
"ENSG00000144824.20",6.0485,0.19,0.017,0.225
"ENSG00000144827.8",55.385,5.2,0.017,166.6
"ENSG00000144837.8",0.405,1.8,0.016,0.0395
"ENSG00000144840.8",12.0485,0.39,0.26,245
"ENSG00000144843.11",0.0625,20,0.13,0.53
"ENSG00000144848.10",740.5,8.2,197.55,757
"ENSG00000144867.11",318.5,610,529,925
"ENSG00000144895.11",332.5,803,175.86,1080
"ENSG00000144909.7",77.75,237,52.585,87.5
"ENSG00000144959.9",0.044,0.018,0.0995,11.5
"ENSG00000145012.13",22.47,192,27.58,648.5
"ENSG00000145016.15",323.5,261,428,535
"ENSG00000145022.4",69,0.47,234.017,0.155
"ENSG00000145041.15",152,143,97.5,0.38
"ENSG00000145050.15",428,28,73.8,11.725
"ENSG00000145088.8",36.0485,0.82,1.315,2.65
"ENSG00000145191.12",21.16,339,34.66,1.45
"ENSG00000145216.15",375.5,208,339,129.5
"ENSG00000145220.13",68.5,545,23.775,132.875
"ENSG00000145241.10",1182,2898,850.5,456
"ENSG00000145246.13",73.25,254,0.34,297.63
"ENSG00000145247.11",1741.5,3083,1006,2944
"ENSG00000145287.10",243.5,196,0.64,484
"ENSG00000145293.15",67.76,0.19,53.065,141.525
"ENSG00000145332.13",32.725,0.035,0.1295,0.145
"ENSG00000145335.15",0.016,0.31,0.0485,0.013
"ENSG00000145337.4",619.5,1012,0.18,324
"ENSG00000145348.16",9.63,411,261.5,137.025
"ENSG00000145349.16",1166,14,271.55,209.5
"ENSG00000145354.9",984.5,1253,85.935,806.5
"ENSG00000145365.10",594.5,1491,1226,485.5
"ENSG00000145375.7",145.5325,0.018,98.017,2.3
"ENSG00000145386.9",2.755,127,28,30.15
"ENSG00000145388.14",141.5,144,121.75,300
"ENSG00000145390.11",43.095,149,88.516,5.9
"ENSG00000145391.13",107,0.018,1.067,401.5
"ENSG00000145414.8",15.2,298,0.13,6.225
"ENSG00000145416.13",7.45,0.035,0.085,0.445
"ENSG00000145425.9",9833.5,17480,6448,10368.5
"ENSG00000145439.11",441.5,0.42,5.5485,125
"ENSG00000145476.15",70.08,10,21.5,34.025
"ENSG00000145494.11",949.5,617,474,285.5
"ENSG00000145495.15",4639,2393,1090.5,5771
"ENSG00000145545.11",0.16,0.16,0.42,0.65
"ENSG00000145569.5",123.5,13,0.0345,1.7
"ENSG00000145592.13",1368,3329,1984.5,1139.5
"ENSG00000145604.15",0.2735,52,0.325,88
"ENSG00000145632.14",0.144,4.9,0.085,0.6895
"ENSG00000145649.7",4161,13101,3372.5,887.5
"ENSG00000145675.14",1489,189,296,549.5
"ENSG00000145685.13",1.85,0.018,0.0325,0.013
"ENSG00000145687.16",0.92,19,0.07,6.85
"ENSG00000145703.15",577,1192,911,462.5
"ENSG00000145715.14",387,2.5,0.25,0.5895
"ENSG00000145725.19",286,24,0.192,826
"ENSG00000145730.20",96.775,0.053,0.016,263.5
"ENSG00000145734.18",980.5,1970,2115.5,2455.5
"ENSG00000145736.14",0.35,0.035,16.016,11.6
"ENSG00000145740.18",112.5325,442,58.0485,12.625
"ENSG00000145741.15",2498,3868,2393.5,2511
"ENSG00000145779.7",984.5,2097,82.325,533.5
"ENSG00000145780.7",119,74,580.4,53
"ENSG00000145781.8",106.4,77,0.295,0.56
"ENSG00000145782.12",994,627,501.9,1910
"ENSG00000145817.16",1201.21,1770,1.24,2090.5
"ENSG00000145819.15",9.565,45,0.095,20.1
"ENSG00000145833.15",446.15,799,1392,695
"ENSG00000145860.11",98.15,33,316,87.5
"ENSG00000145868.16",18,0.28,0.0505,134.55
"ENSG00000145882.10",3.1,270,1.216,0.12
"ENSG00000145901.14",327,338,1398,353
"ENSG00000145907.14",1977.5,3114,1202.5,1600
"ENSG00000145912.8",1232,641,320,762.5
"ENSG00000145916.18",35.85,2,13.5,0.95
"ENSG00000145936.8",0.021,0.14,0.0345,0.013
"ENSG00000145979.17",165.575,217,135.245,42.75
"ENSG00000145982.11",37.58,285,735,0.29
"ENSG00000145990.10",194.35,0.16,11.5,0.75
"ENSG00000145996.11",379.5,119,8.065,197
"ENSG00000146007.10",243.65,240,92.9,330
"ENSG00000146021.14",90,0.07,0.13,0.025
"ENSG00000146066.2",947,1237,925.5,1381.5
"ENSG00000146067.15",2.96,0.39,0.177,75.055
"ENSG00000146083.11",121.21,81,150.5,122.09
"ENSG00000146085.7",480.95,0.053,0.9825,0.225
"ENSG00000146094.13",0.85,0.053,0.0485,0.17
"ENSG00000146109.4",130.3,1123,110.675,631.4
"ENSG00000146112.11",163,774,257.55,88
"ENSG00000146143.17",16.35,0.32,21.25,0.0265
"ENSG00000146192.14",26,0.32,39.1,0.425
"ENSG00000146223.14",662.5,600,354.5,1713.5
"ENSG00000146232.15",0.47,0.25,0.8345,0.063
"ENSG00000146243.13",1.96,1.8,0.767,0.043
"ENSG00000146247.13",808.5,1844,1196,416
"ENSG00000146263.11",36.016,101,42.0485,467.5
"ENSG00000146278.10",1873,3821,1386,1029.5
"ENSG00000146281.5",13.514,0.82,0.0655,0.14
"ENSG00000146282.17",195.5,205,193.5485,9.685
"ENSG00000146285.13",297.5325,136,407.5,113.375
"ENSG00000146350.13",10.645,0.018,45.5325,0.0265
"ENSG00000146376.10",128.75,274,1.767,1055.5
"ENSG00000146386.7",3623.5,1236,1488,4228
"ENSG00000146409.10",192.007,2.9,154.5,0.038
"ENSG00000146414.15",140.595,202,183,148.5
"ENSG00000146416.17",0.755,0.32,0.07,0.0895
"ENSG00000146425.10",1821.5,604,647.5,2657
"ENSG00000146426.17",39.225,0.018,30.0345,65
"ENSG00000146433.8",610.5,482,16.55,0.18
"ENSG00000146457.14",5764,3928,4255,3673.5
"ENSG00000146463.11",100.016,0.68,209.5,37
"ENSG00000146476.10",26.5325,0.018,418.6,68.5
"ENSG00000146535.13",292,197,236.516,117.5
"ENSG00000146540.14",385.5,13,4.1,91
"ENSG00000146556.14",2.015,0.19,24,1.4
"ENSG00000146574.15",265,115,4.1845,12.65
"ENSG00000146576.12",18.516,87,0.566,13.5
"ENSG00000146587.17",22.645,43,530,0.4395
"ENSG00000146670.9",0.021,0.51,26.516,0.0645
"ENSG00000146676.8",972.5,340,0.135,0.33
"ENSG00000146677.7",24.95,14,6.05,12.5
"ENSG00000146701.11",607,1949,610.5,979
"ENSG00000146707.14",0.007,0.018,92.5,0.013
"ENSG00000146729.9",436,528,978,421.5
"ENSG00000146731.10",1986.5,1667,860.5,1422.5
"ENSG00000146733.13",6.3,16,1.305,9.05
"ENSG00000146757.13",1.7485,511,11,3.355
"ENSG00000146828.17",0.014,0.035,92.5,0.238
"ENSG00000146830.9",211,23,98,323
"ENSG00000146833.15",152.095,481,3.6,67.5
"ENSG00000146834.13",120,42,0.995,659
"ENSG00000146842.16",740,0.67,334.57,162.625
"ENSG00000146859.6",347.5,12,0.2,135.5
"ENSG00000146872.17",170.84,235,13.45,177.5
"ENSG00000146909.7",33.08,0.11,40,0.0265
"ENSG00000146918.19",6.065,15,0.185,273.4
"ENSG00000146963.17",435.5,1212,397.6,634
"ENSG00000147010.17",1898,3412,659,3162
"ENSG00000147036.11",0.59,0.47,0.46,16.95
"ENSG00000147044.20",726.5,65,1.016,58.325
"ENSG00000147050.14",475.5,708,552.5,113.05
"ENSG00000147065.16",2365.5,1865,1280.5,1423
"ENSG00000147099.19",549,0.035,0.16,150.525
"ENSG00000147118.11",4.666,0.018,0.405,80.5
"ENSG00000147119.3",0.217,0.018,0.16,66.05
"ENSG00000147121.15",182,0.035,4.865,403
"ENSG00000147123.10",1001.5,1901,90.855,640.5
"ENSG00000147130.14",22.5,65,168.5,0.18
"ENSG00000147133.15",100.516,817,13.66,256.065
"ENSG00000147140.15",735,1011,855,3465
"ENSG00000147155.10",892.5,865,443.345,1143.5
"ENSG00000147162.13",2808.5,2645,962,2589.5
"ENSG00000147164.11",0.6,80,94.05,3.4
"ENSG00000147168.12",6226,6418,3234.5,8950
"ENSG00000147174.11",0.16,0.07,0.086,0.12
"ENSG00000147202.17",27,46,0.165,0.12
"ENSG00000147224.10",135.5485,195,500.5,47.25
"ENSG00000147231.13",0.5985,0.035,0.017,0.6265
"ENSG00000147251.15",422.5,215,236.517,90
"ENSG00000147274.14",1514.5,1953,739,1560.5
"ENSG00000147316.12",237.5,61,0.1025,735
"ENSG00000147324.10",326.565,280,1262,874.5
"ENSG00000147364.16",85.115,728,116.5,286
"ENSG00000147400.8",29,441,93.5,179.05
"ENSG00000147403.16",10444.5,12155,4408.5,5992.5
"ENSG00000147408.14",0.093,4.1,0.277,393
"ENSG00000147416.10",130.5,356,279.05,345.525
"ENSG00000147419.17",128.75,190,178,17.05
"ENSG00000147421.17",61.016,191,249.5,190.65
"ENSG00000147443.12",331.5,158,0.065,379.5
"ENSG00000147454.13",260.0485,299,174.8,10.35
