"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CENPL",137.077822919935,10.7002773185804,2.66682011530412,4.01237310952267,6.0111391866866e-05,0.00544821466239158
"CCL3",213.600210748112,-6.57346536836379,1.63952195734086,-4.00937928213252,6.08785657974261e-05,0.00544821466239158
"KLHL18",245.98577123329,5.81984934939255,1.4538484302858,4.00306471304474,6.25271899616861e-05,0.00552013691918507
"SMG1P4",133.969957232481,-9.1438279441468,2.29699611759394,-3.98077640362962,6.86905400222819e-05,0.00590681781955857
"AHCTF1",379.646296463084,-6.26639193363371,1.57419735752889,-3.98069016166462,6.87154682820223e-05,0.00590681781955857
"GCFC2",175.2125682715,6.47550882368811,1.63851871650368,3.95205056766501,7.74843612670453e-05,0.00657409522282607
"SNHG17",130.832494708271,9.22834782450937,2.33795447283796,3.94718884893743,7.90741838190321e-05,0.00662296978063765
"CLIC5",137.568582986183,-9.08957854105649,2.3312932407517,-3.89894260497476,9.66136700058812e-05,0.00798958362213192
"MON2",449.135317918101,-5.99014920282438,1.54657494140649,-3.87317099381992,0.000107428398394978,0.00877287158392989
"OAS2",142.807483765041,-10.6461754164048,2.75236762922687,-3.86800633147806,0.000109728816505927,0.00885010318806443
"CCDC86",136.197928119586,-9.16886878034502,2.37265167242435,-3.86439732680035,0.000111363820464789,0.00887243706215206
"SLC7A6",263.001395756839,-6.67299347349479,1.73552323083528,-3.84494621272409,0.000120578884172777,0.00949086566627411
"YJU2",102.261709592428,10.2776071817131,2.67701709306629,3.83920117967607,0.00012343525926792,0.00960003034282527
"LGALSL",122.772085950802,9.13742116959455,2.38712089654426,3.82779991697212,0.000129293790852175,0.00993736865455596
"PCGF1",93.7107932093722,-10.0384115774778,2.6301684886733,-3.81664202149323,0.000135280221299903,0.0102765777413055
"CD274",95.2685221057507,-10.0616285535601,2.64382079668018,-3.80571503416358,0.000141395106266687,0.0106176348188536
"CYP1B1",137.329514798829,-10.5892348637648,2.78690592088995,-3.79963843931383,0.000144907346001052,0.0107577237661918
"SLC4A10",136.810058887245,-10.5837668083624,2.78843931555251,-3.79558800126346,0.000147293934766756,0.0108120368070924
"CDKN2AIP",87.0498086249193,-9.93198900177935,2.66190118952039,-3.73116366636015,0.000190597344299088,0.0138352494478438
"IQCG",139.585852754666,9.32498078091304,2.51032590013377,3.71464947257092,0.000203485563197207,0.0146084745534874
"CALCOCO1",81.7761652354879,9.95470716120039,2.68377007791621,3.7092250350036,0.000207894593259541,0.0147627758452672
"CCDC144A",118.005193498849,10.4841211933611,2.82913334745588,3.70577131077581,0.000210748394987808,0.01480450821995
"PPP2CB",84.2014318812198,-9.88358499989497,2.67933299738801,-3.68882293075559,0.00022529394081382,0.015511138707362
"UBA5",87.5432572471203,-9.93962260556993,2.69474039542228,-3.68852696254339,0.00022555612692475,0.015511138707362
"FARSB",112.575593487635,-8.79645198581866,2.38809302055426,-3.68346287607217,0.000230086806130596,0.0156578865046999
"PALB2",90.7791049695466,-9.99194123510858,2.72159152213826,-3.67135962683271,0.000241263576562746,0.0162492262441693
"LIMS1",224.549232777738,-5.89674911088663,1.60882300306565,-3.66525658798404,0.000247090725757181,0.0164718746058333
