,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IDI2,96.44091122,8.790050711,2.47649509,3.549391536,0.000386122,0.022127529
STAT4,204.3816619,-5.674999387,1.608297637,-3.528575344,0.000417803,0.023734843
PTGER2,106.1621601,-10.21781776,2.902892208,-3.519875017,0.00043175,0.024315724
SLC44A1,183.1701411,-6.575369739,1.872017827,-3.512450387,0.000443995,0.024343726
EIF2B2,84.11902115,-9.881986548,2.813718328,-3.512073845,0.000444624,0.024343726
EIF2B1,101.8647622,7.279956714,2.073090723,3.511644056,0.000445344,0.024343726
HPF1,290.854643,5.855861688,1.668067311,3.510566779,0.000447152,0.024343726
ACTR10,190.6166765,5.966645935,1.702170826,3.505315591,0.000456066,0.024623812
YIF1B,90.01152862,8.690118968,2.482408176,3.500680932,0.000464071,0.024850627
VPS45,88.22779654,-9.950793105,2.845250585,-3.497334526,0.000469932,0.024959892
ZFAND1,71.35538201,9.758242681,2.795282741,3.490968029,0.000481274,0.025356145
POC5,135.1057052,6.427778138,1.844513056,3.484810323,0.000492486,0.025739289
TACO1,76.42588238,9.856778895,2.838895077,3.47204762,0.000516505,0.026588246
UAP1,391.2646563,5.819509131,1.67703894,3.470109723,0.000520246,0.026588246
ZNF708,303.4180841,-7.108360093,2.048665183,-3.469751989,0.000520939,0.026588246
TTPAL,73.67110643,9.804524717,2.858439543,3.430026968,0.000603521,0.030564375
CPD,151.6493081,9.523903341,2.786373181,3.418028643,0.000630765,0.031224287
DYRK2,91.02851171,-7.542334871,2.206857286,-3.417681296,0.00063157,0.031224287
CSTF3,232.3210745,6.288228066,1.84068391,3.416245468,0.00063491,0.031224287
AGTPBP1,69.22528771,-9.601263754,2.81143991,-3.415069879,0.000637657,0.031224287
NAIF1,91.06551346,10.11028121,2.961522661,3.413879401,0.000640449,0.031224287
OR2A20P,140.2047943,6.151239001,1.810591162,3.397364977,0.000680382,0.032925427
TNFRSF18,68.26698508,-9.581243142,2.828768906,-3.387071712,0.000706429,0.033934573
BET1,88.80832791,-8.553208163,2.527795072,-3.383663595,0.000715256,0.034107783
CDC23,72.22320701,9.775899432,2.893723771,3.378311203,0.000729325,0.034394573
C11orf1,67.39924876,9.676062686,2.864961419,3.377379752,0.000731799,0.034394573
HSD17B12,529.854672,4.295364409,1.277255959,3.362962904,0.000771107,0.035983169
LINC00667,68.62135761,-9.588867633,2.857645056,-3.355513875,0.000792177,0.036704193
CYBC1,165.3948116,-5.430722988,1.624905273,-3.342178204,0.000831237,0.038201707
ADCY3,146.090047,6.516927786,1.950867542,3.340528071,0.000836192,0.038201707
URB1,71.1332622,-9.640815474,2.88790861,-3.338338146,0.000842811,0.038236703
GOLGA7,153.639757,-6.545447273,1.965638865,-3.329933788,0.000868666,0.038994516
CXCL8,165.9770027,-6.707352672,2.016326579,-3.326520982,0.000879374,0.038994516
LINC00869,178.3283758,-6.180074421,1.858311065,-3.325640437,0.000882156,0.038994516
GOLPH3L,64.27256114,9.607470132,2.889246747,3.325250826,0.00088339,0.038994516
WDR66,100.1486009,7.94335077,2.398861964,3.311299646,0.000928637,0.040716687
BTN3A2,271.3071979,-5.471699149,1.655179853,-3.305803378,0.000947045,0.041246975
TWNK,63.91071557,-9.486046615,2.879427991,-3.294420505,0.000986248,0.042500313
NOTCH2NLA,136.594477,-6.643371655,2.017989116,-3.292075068,0.000994511,0.042500313
CD302,70.54659364,-9.628108433,2.924840075,-3.291840985,0.000995339,0.042500313
MICALL1,68.97509129,-9.595618065,2.916745536,-3.289837234,0.001002454,0.042526161
ALCAM,122.3778719,-6.813418203,2.087426248,-3.264028232,0.001098402,0.046295881
MT2A,284.0201297,-6.603136257,2.025759912,-3.259584819,0.001115754,0.046693282
DNAJC17,94.86014596,-7.734861144,2.374135667,-3.257969311,0.001122125,0.046693282
TNK2,67.38133216,9.675797023,2.972766688,3.254812112,0.001134674,0.046916618
MKRN2,137.8914445,6.433539303,1.980769915,3.247999303,0.001162196,0.047752349
GOLGA5,69.06136702,-9.597401757,2.959830498,-3.24255114,0.001184647,0.048370612
SMAD5,209.9524932,-5.976261466,1.848327714,-3.233334337,0.001223543,0.049648478
TMEM62,59.91038047,9.506116273,2.959944263,3.211586242,0.001320043,0.053233603
UTP18,395.6372781,-4.758780947,1.48579139,-3.202859419,0.001360704,0.05428007
NT5DC2,58.88644508,9.481167396,2.960592344,3.20245623,0.00136261,0.05428007
CUL4A,204.3907348,-4.998652023,1.564237026,-3.195584773,0.001395478,0.055252464
THAP6,573.9943885,-6.765434974,2.121720261,-3.188655497,0.001429361,0.056253109
IL7R,487.3819133,-5.170291229,1.624729367,-3.182247662,0.001461368,0.057168365
SLC25A44,62.00930839,-9.442045012,2.974613307,-3.174209229,0.001502453,0.058286114
ZNF252P,63.92024711,-9.485796814,2.989663278,-3.172864611,0.001509429,0.058286114
STOM,112.6856379,-6.143978218,1.937266356,-3.171467981,0.001516706,0.058286114
SRSF8,242.1829952,-5.604024909,1.772381324,-3.16186186,0.001567639,0.059692994
MFSD11,104.8095503,-6.090191298,1.926587492,-3.161128848,0.00157159,0.059692994
CARMIL1,551.9517138,-5.442652147,1.724737278,-3.155641276,0.001601457,0.060475826
GNPTAB,407.5717894,-5.069698906,1.609555589,-3.14975074,0.001634098,0.06115513
C1orf162,463.2493414,5.547122141,1.761536953,3.149023999,0.001638167,0.06115513
DDX60,104.2775813,-7.004963815,2.226864638,-3.145662155,0.001657113,0.061510907
TNIK,86.18587175,6.929481513,2.210089995,3.135384319,0.001716291,0.063347623
CLN8,78.49208887,-8.37733832,2.678220081,-3.127949932,0.001760302,0.064471829
TAPBPL,105.1401908,-8.677202951,2.775000985,-3.126918873,0.001766487,0.064471829
TRMT1L,133.6015625,-6.339584936,2.028558974,-3.125166691,0.001777043,0.064496799
RBM7,554.5115935,-4.656813584,1.491103411,-3.123065475,0.001789779,0.064600155
LINC00476,57.46825358,-9.332439196,2.995235888,-3.11576101,0.001834709,0.065857989
NKIRAS2,56.58965937,-9.310286543,2.996751575,-3.106792909,0.001891288,0.067517962
LFNG,61.78898426,-9.436857388,3.042277343,-3.101905685,0.001922792,0.068269569
NDUFS4,200.26825,-5.475369914,1.766440039,-3.099663614,0.001937405,0.068416592
TBC1D25,81.33160569,-6.738897717,2.175448707,-3.097704715,0.001950256,0.068500137
C1orf198,155.1113579,-6.131509315,1.982891323,-3.092206438,0.001986746,0.069159914
DUSP16,141.4694158,-7.442155658,2.407148971,-3.09168886,0.001990213,0.069159914
RRP7BP,201.3727219,-5.509140045,1.785096339,-3.0861864,0.002027417,0.070079969
MAP2K1,236.8755181,-5.726772793,1.859904002,-3.079069021,0.002076486,0.071398321
RFC3,67.35078858,-9.561988046,3.107203505,-3.077361373,0.00208842,0.071432695
TWF2,74.47275829,-7.24937156,2.362120498,-3.069010055,0.002147694,0.073077513
POR,95.28921546,-6.873410721,2.243767884,-3.063334122,0.002188855,0.07397763
GPR107,109.9757023,-6.654936698,2.173217558,-3.062250566,0.002196795,0.07397763
NAB1,99.06824443,6.94853142,2.273644358,3.056120626,0.00224221,0.075119794
LIN37,67.87845605,8.28577749,2.717018368,3.049584644,0.00229158,0.076050321
