"","stage1","stage2","stage3","stage4"
"ANAPC16",637,2091,1217,1645
"ANAPC4",0,0,46,185
"ANAPC5",214,220,507,161
"ANG",57,0,0,214
"ANGEL2",44,7,0,3
"ANGPTL3",1,0,0,0
"ANK1",0,152,0,62
"ANK3",0,0,8,54
"ANKFY1",0,0,0,26
"ANKH",21,0,801,115
"ANKHD1",535,293,730,709
"ANKHD1-EIF4EBP3",1,2,3,111
"ANKIB1",412,9,2,318
"ANKLE2",122,208,3,588
"ANKMY1",0,0,0,2
"ANKMY2",0,0,0,0
"ANKRA2",14,0,78,5
"ANKRD10",2451,603,518,1527
"ANKRD11",1832,860,694,923
"ANKRD12",2168,1321,4528,3583
"ANKRD13A",861,958,437,367
"ANKRD13C",49,0,128,265
"ANKRD16",0,17,5,0
"ANKRD17",108,416,215,330
"ANKRD19P",0,0,0,1
"ANKRD23",0,0,0,24
"ANKRD26",0,34,3,107
"ANKRD27",18,0,48,217
"ANKRD28",69,1,34,476
"ANKRD33B",100,295,613,207
"ANKRD36",265,498,343,539
"ANKRD36B",403,51,163,259
"ANKRD36BP1",17,12,0,0
"ANKRD36BP2",22,0,1,0
"ANKRD36C",270,30,797,450
"ANKRD37",88,251,566,213
"ANKRD39",23,0,0,104
"ANKRD40",748,2787,1493,1408
"ANKRD42",26,121,0,250
"ANKRD44",1422,178,1267,4869
"ANKRD49",183,687,90,277
"ANKRD54",358,319,0,63
"ANKS6",0,0,0,46
"ANKZF1",442,115,24,241
"ANO6",49,1,0,69
"ANO9",13,154,0,0
"ANP32A",86,1882,414,215
"ANP32B",1085,86,1382,946
"ANP32BP1",1,0,1,1
"ANP32E",4562,10119,1273,5802
"ANPEP",0,0,0,0
"ANTXR2",89,0,131,143
"ANXA1",46,143,2881,2135
"ANXA11",261,0,14,251
"ANXA2",364,150,1746,902
"ANXA2P2",3,1,18,8
"ANXA2R",1,1,33,62
"ANXA4",57,0,0,23
"ANXA5",297,198,1284,220
"ANXA6",200,0,8,141
"ANXA7",735,3,1255,709
"AOAH",0,1,0,63
"AP1AR",56,231,182,28
"AP1B1",638,1139,41,214
"AP1G1",937,748,184,1365
"AP1G2",115,683,167,149
"AP1M1",62,156,0,18
"AP1S2",209,357,711,412
"AP2A1",0,0,0,1
"AP2A2",4,1,18,7
"AP2B1",75,304,480,59
"AP2M1",402,783,58,402
"AP2S1",21,309,79,81
"AP3B1",170,781,25,534
"AP3D1",18,1,319,203
"AP3M1",51,37,68,28
"AP3M2",168,170,2,14
"AP3S1",286,2288,432,1046
"AP3S2",0,0,0,24
"AP4B1",162,0,0,269
"AP4E1",62,60,0,372
"AP5M1",274,925,22,115
"APAF1",1,1,0,19
"APBA2",0,0,0,0
"APBA3",0,0,15,10
"APBB1",0,0,0,59
"APBB1IP",546,38,542,361
"APBB2",2,62,0,0
"APC",196,610,71,282
"APEX1",674,0,79,660
"APEX2",0,157,340,0
"APH1A",11,0,0,5
"APH1B",0,0,0,42
"API5",141,370,775,309
"API5P1",0,2,1,1
"APIP",43,0,310,142
"APLP2",553,2260,253,543
"APMAP",7,1,95,397
"APOA1",20,1,0,0
"APOA2",119,5,6,0
"APOB",1,0,0,0
"APOBEC3A",0,1,77,0
"APOBEC3B",0,0,0,0
"APOBEC3C",2741,3335,700,1669
"APOBEC3D",241,23,8,455
"APOBEC3F",4,0,0,8
