hgnc_symbol,C473,C481,LC03,RC02,RC03,LC01,R03,R02
ACOT9,591.8666667,166.4814815,1.107526882,0.692307692,1031.810811,59.40816327,115.8888889,343.5357143
ACOX1,25.53333333,3.685185185,120.4516129,0.538461538,0.297297297,5.734693878,79.2962963,29.125
ACP1,465.4666667,1063.907407,1267.88172,4.692307692,338.7837838,1484.102041,430.6666667,228.7458929
ACSL1,1266.6,4.759259259,185.8817204,298.1538462,66.72972973,384.4693878,59.18518519,78.57142857
ACSL3,278.8,584.7962963,0.946236559,0.153846154,386.4324324,378.122449,0.555555556,154.5892857
ACSL4,1.933333333,83.72222222,58.01075269,0.230769231,647.2972973,0.408163265,415.3333333,37.23214286
ACTB,7350,25935.97852,21714.14172,14001.23077,31058.74108,35450.03061,9297.37037,22890.89304
ACTBP2,0.6,2.392222222,0.902258065,0.307692308,0.675675676,0.959183673,0.185185185,2.689107143
ACTG1,1537.733333,4611.743889,3520.106559,5813.538462,9626.042703,10516.17347,3800.296296,2284.371964
ACTN1,0.266666667,0.462962963,0.559139785,0.076923077,0.189189189,0.163673469,0.037037037,0.071428571
ACTN4,180.9333333,177.805,3.215053763,0.538461538,0.027027027,0.204081633,0.074074074,0.071428571
ACTR1A,0.733333333,12.18518519,4.913978495,0.076923077,0.054054054,0.12244898,0.777777778,58.69642857
ACTR2,535.6666667,916.7812963,3556.866022,167.2307692,893.8648649,5756.531633,405.5555556,2003.655
ACTR3,1317,1447.888889,635.5483871,3931.153846,810.8108108,1518.571429,252.9259259,1010.375
ACTR6,0.133333333,4.37037037,139.6236559,2.153846154,0.27027027,1.612244898,4.962962963,286.6071429
ADA2,0.333333333,0.333333333,301.2043011,0.461538462,13.51351351,0.081632653,0.259259259,7.464285714
ADAM10,233.1333333,235.7592593,388.5053763,8.846153846,695.0540541,39.48979592,18.40740741,198.7857143
ADAM17,2.118,282.5433333,125.7419355,43.97,116.5981081,182.0944898,23.04407407,115.8432143
ADAM19,4.533333333,427.2962963,1375.172043,161.4615385,1734.324324,423.5102041,18.96296296,548.4285714
ADAM28,854.4666667,2489.12963,3841.688172,3485.923077,3834.810811,1520.938776,4319.62963,1815.196429
ADAM8,33.06666667,0.259259259,0.021505376,0.153846154,154.4324324,0.326530612,428,0.017857143
ADAR,202.8,2612.537037,175.9677419,0.153846154,260.7567568,423.0816327,453.3333333,576.875
ADD1,523.2666667,288.0555556,176.1397849,0.538461538,6.783783784,804.244898,2.740740741,14.55357143
ADGRE5,128.8666667,466.2942593,178.4516129,0.538461538,167.1621622,163.165102,749.8192593,313.2032143
ADI1,27.13333333,1195.50963,199.4646237,0.076923077,2325.452162,128.4126531,1.444444444,409.0428571
ADIPOR1,947.3333333,628.4259259,92.95698925,3184.769231,624.4054054,305.0408163,2.407407407,347.25
ADK,117.3333333,2110.257963,1018.864624,0.076923077,76.62702703,1908.591837,0.037037037,989.2475
ADNP,319.5333333,756.0185185,5502.666667,1875,4800.513514,1003.204082,2812.851852,943.2857143
ADNP2,387.8666667,81.72222222,75.23655914,0.153846154,0.027027027,0.081632653,6.703703704,29.35714286
ADPGK,766.4666667,617.5740741,203.9987097,322.7576923,502.2972973,631.755102,24.37037037,358.3510714
ADRM1,420.9266667,265.1627778,397.4112903,664.0430769,46.05405405,100.9257143,0.111111111,215.6323214
ADSL,73.13333333,323.7222222,0.086021505,27.61538462,0.243243243,15.95918367,0.555555556,54.25
ADSS2,584.6,81.81481481,351.9784946,0.076923077,667.4594595,27.46938776,1,290.1964286
AEBP2,334.4666667,932.537037,3592.075269,46.61538462,2415.540541,639.1428571,1690.851852,569.875
AFDN,280.1333333,0.166666667,0.075268817,0.307692308,0.216216216,7.448979592,737.2592593,1.464285714
AFF1,148.0666667,319.3333333,160.3548387,262.2307692,46.62162162,0.387755102,166.8518519,61.80357143
AFF3,16.13333333,306,48.20430108,2.230769231,895.5135135,245.7346939,1.407407407,41.42857143
AFF4,294.6,127.1481481,575.8172043,1492.923077,490.2702703,931.3265306,1.851851852,252.8571429
AFG3L2,6.6,259.2364815,103.343871,0.692307692,0.027027027,479.0518367,8.666666667,34.1775
AFMID,9.733333333,676.7587037,674.5913978,133.7692308,2200.432432,1473.855306,413.7407407,119.6901786
AFTPH,1.6,973.462963,172.3010753,196.2307692,42.89189189,898.5714286,58.62962963,139.3928571
AGBL5,0.400666667,0.333333333,58.59494624,20.61615385,0.974864865,5.190408163,1.632592593,12.75089286
AGFG1,128.4666667,210.3703704,62.70967742,30.61538462,553.0540541,517.5918367,0.037037037,79.32142857
AGK,0.2,2.537037037,147.483871,21.92307692,0.054054054,0.020408163,835.0740741,213.6071429
AGO1,347.4666667,90.05555556,272.1827957,4344.230769,1.567567568,190.4489796,1321.222222,172.7321429
AGO2,1115.733333,1789.851852,4602.086022,3368.692308,3606.405405,3646.979592,1681.518519,1019.321429
AGO3,9.666666667,6.62962963,252.2580645,4.461538462,22.18918919,0.387755102,2.148148148,144.125
AGPAT5,1088.133333,129.2222222,95.69892473,202.6153846,134.0810811,0.408163265,0.037037037,769.1607143
AHCTF1,601.0393333,388.8451852,471.1702151,2765.141538,1.27027027,1.428571429,1.814814815,33.58107143
AHCYL1,2.333333333,474.7962963,188.3978495,0.461538462,744.8918919,77.12244898,0.222222222,30.875
AHI1,90.6,379.7222222,368.8709677,142.3076923,84.7027027,256.9591837,211.3333333,7.5
