hgnc_symbol,stage1,stage2,stage3,stage4
AMD1,366.558639,1431.871224,1185.350997,667.8151135
NCOA3,1436.004585,2893.77551,1567.22697,1178.890382
ATP5F1E,1602.520647,3107.245306,2348.138651,1548.068423
SRSF6,5376.798567,4584.571429,2736.467616,9837.896527
RNF114,1467.80695,878.3877551,289.1188984,748.046595
BCAS4,60.11868485,157.0081633,37.48043495,48.00060932
USP9X,988.2355214,95.44897959,1095.25565,510.5600359
SNRPC,232.8733108,37.18367347,1288.96207,524.504779
SOX4,49.30912162,1458.102041,275.1848053,322.0074672
SSR1,381.5284749,308.2857143,819.048623,568.9647551
AHNAK,196.3407336,90.08163265,828.0850902,328.7750896
IRF1,170.7497442,360.4322449,241.899189,1050.383309
NDUFA1,711.2444981,861.4953061,941.2377966,1179.046034
THOC2,366.9008205,868.3673469,501.8138177,1214.729265
SNRPB,691.2864383,1232.141429,737.6414055,1056.935484
SNRPB2,360.9765927,888.7959184,888.8157644,414.4336918
DYNLRB1,131.8045367,499.1428571,40.26001898,329.5158304
EVI2A,499.7603161,94.26877551,173.1148984,615.7707765
BCL11B,46.38175676,1.897959184,65.01595441,466.1747312
HP1BP3,355.0460907,959.5510204,349.3411206,917.0471923
ATF4,301.8265854,917.9759184,2581.267075,1070.102975
EMC4,886.7614673,1689.521224,685.4043135,1009.931036
SNRPN,830.8479754,1193.239388,93.3434169,918.7500179
ARPP19,566.7444499,2492.77551,1746.734473,869.4859618
SPCS3,534.9888996,347.4081633,443.2736942,363.9321983
MIS18BP1,1443.714286,2751.387755,1209.001519,1084.374851
DAD1,560.7249035,1245.77551,473.7460589,991.8419954
REEP5,378.0069981,1033.306122,658.9050333,218.3841577
LSM7,1681.037886,1413.877551,1125.497056,857.4865594
ARPC1B,1209.683576,1637.747143,451.1077018,398.4400658
LSP1,260.7013103,244.1014286,285.8439506,683.1837634
SH3BGRL,1160.502172,1913.142857,882.2611586,1198.739546
PPT1,138.4512838,804.5573469,355.490642,241.5933005
ANKHD1,534.6725097,292.9636735,729.5996201,708.6471476
SNRPA1,412.0853644,89.53061224,167.575094,703.1017264
RAN,5492.561759,1885.637347,4039.743438,7308.345738
NXT1,418.5212356,676.4897959,155.1608737,1065.846476
NASP,503.574807,488.9795918,2157.322716,938.0692949
SERINC3,990.3556952,202.1836735,174.1340931,866.4462366
CCDC59,419.7419474,571.9367347,622.8334282,353.4620669
SWAP70,2134.691603,2359.979592,3730.184615,3047.233871
MRPS36,734.8590732,1380.081633,141.6412156,645.4605138
ARL8B,26.8769305,217.9795918,176.9137702,528.8557348
PTPN22,852.7876446,561.755102,387.2894587,1052.92951
PPHLN1,416.6525097,598.1632653,378.1137702,702.7403285
RPS15A,1620.02826,1752.471429,3033.916268,2096.285544
RBM17,436.1233108,513.2040816,1085.94359,1121.889486
TUT4,709.2027027,2214.77551,1057.805508,1173.506572
TMEM258,230.6264479,586.3877551,951.8940172,788.9835723
ANXA1,46.00361969,143.4081633,2880.588034,2135.271506
CEMIP2,393.1532336,6.081632653,25.1365622,612.4716249
ISCA1,268.519334,630.6687755,745.2826001,1216.605132
ADAM19,1141.376448,423.5102041,61.6526116,901.2341697
