"","stage1","stage2","stage3","stage4"
"HSPA4",356.5764961,241.4081633,291.1160494,865.2093787
"HSPA5",1404.531306,3095.442857,572.7689117,1536.282638
"IL10RA",31.28836873,10.93877551,417.0672364,297.5250896
"ISG15",1196.831564,1455.163265,64.70066476,1047.411589
"KAT5",56.87511824,33.61122449,214.3263324,264.1389188
"KRR1",1236.418075,2123.953878,266.6781482,1239.176517
"LCK",532.9382239,885.0408163,98.03950618,241.655914
"LSM3",604.8741458,496.554898,149.4154264,713.9284349
"LSM5",261.6508205,139.6122449,633.0748339,560.5283752
"LSM6",143.0769787,84.44897959,457.4611586,183.7413381
"LSM7",1681.037886,1413.877551,1125.497056,857.4865594
"MAX",373.9034073,518.2653061,18.55023742,717.9222521
"MON1B",5.634411199,3.265306122,31.13427161,200.5313561
"MRPL1",149.1013514,240.4897959,19.58955365,75.40710873
"MRPL24",109.1925676,88.79591837,0.060208927,313.4677419
"MRPL4",56.61651785,111.9655102,0.066666667,61.59555854
"MT-ND3",1153.911921,1339.346939,5022.128205,1397.326762
"NDUFA1",711.2444981,861.4953061,941.2377966,1179.046034
"NDUFA11",734.4778837,801.9989796,10.28774929,579.8890771
"NDUFB9",352.9435763,1392.830612,297.619548,634.9238321
"NDUFC1",577.4032095,925.1428571,77.03038938,254.2697133
"NDUFS6",308.1906371,1166.244898,319.3669516,130.8019714
"NDUFS7",389.7369402,451.3706122,0.856790123,372.9251404
"NDUFV1",154.8351834,348.7142857,1.353466287,133.4193549
"NHP2",320.7140468,382.7587755,367.7276619,949.4026944
"NSMCE2",216.1438224,179.1632653,0.101234568,13.65023895
"NUDT2",10.99155405,3.673469388,99.13618233,0.00925926
"NUP107",210.1385135,329.5102041,24.03760684,57.83303465
"NUP153",150.0967664,194.7346939,11.62905983,557.3216846
"NUP62",420.6858108,1010.163265,10.8640076,108.4761052
"PABPN1",92.4115396,59.59020408,389.1894967,155.1211709
"PCF11",453.0191361,336.2718367,1160.440332,860.945708
"PCNA",10.8559363,29.36734694,0.503703704,283.8909797
"PFDN4",183.5371622,151.4897959,568.9511871,472.0412187
"PFKP",52.03788609,33.36734694,0.165432099,28.58900837
"PHC1",9.914934848,23.83346939,1.238034188,21.84312127
"PIAS1",531.2330406,1029.101224,112.7068471,781.2956989
"PIAS2",184.449807,111.4081633,3.528964862,165.1027479
"PIM1",758.445946,715.7346939,19.84862298,279.2365591
"PKM",788.1332047,1002.428571,102.3853751,966.5675032
"POLR1D",288.1662645,228.1020408,17.55270655,194.405914
"POLR2G",267.1522684,1866.44898,1106.977778,499.0866189
"POLR2I",103.6916023,161.2040816,5.289392212,206.1423686
"POLR2K",302.3110522,627.9183673,61.37701804,313.6589008
"PPP3CB",68.60279921,28.34693878,0.246153846,311.3856034
"PRDX1",1142.171134,777.7993878,2710.947696,1031.197877
"PRKCD",42.22852317,19.69387755,402.9213674,71.15890084
"PRPF3",292.9717664,211.5510204,0.111111111,69.27299881
"PSMA1",547.626723,402.4559184,2192.894072,961.223226
"PSMA2",1065.206462,1651.243469,949.4613486,928.2033185
"PSMB6",1807.605454,3405.183673,1951.266476,1528.964755
"PSMB7",551.0904923,296.2244898,31.15669516,554.4770012
"PSMC6",287.2806468,178.0612245,895.1960114,427.1029451
"PSMD12",476.0518823,663.244898,58.65944919,1148.937276
"PSMD14",368.1959459,822.5918367,1.161443495,1110.265831
"PSMD8",341.6583012,945.2653061,661.3021844,508.0337515
"RAB7A",591.4816603,1698.877551,319.6178537,620.3300478
"RBM28",112.5002413,225.5918367,1.784615385,255.7987575
"RBM5",484.3874518,812.6830612,80.15612537,584.4185723
"RPL10A",3218.294457,6106.28551,2772.404912,3151.62411
"RPL8",3518.105454,6300.795918,3138.529155,4454.128136
"RPS10-NUDT3",426.1153451,625.0704082,3.773667617,207.7058543
"RPSA",2485.422433,6596.505102,5137.726765,2830.930911
"SEC11A",940.3272199,472.1632653,14.26115859,249.6466547
"SENP6",54.97224904,20.36734694,719.0085469,287.7798686
"SF3B5",24.33421815,30.36734694,290.6917379,89.77927119
"SLC25A5",3451.71576,6630.481224,478.5942867,3970.504785
"SLC39A6",101.5407819,109.755102,634.940171,200.8482676
"SMG7",8.866312742,6.530612245,134.6079772,47.21565114
"SNRNP200",83.7647201,110.1836735,453.8448243,701.7912187
"SNRPA1",412.0853644,89.53061224,167.575094,703.1017264
"SNRPB2",360.9765927,888.7959184,888.8157644,414.4336918
"SNRPN",830.8479754,1193.239388,93.3434169,918.7500179
"SNU13",2424.859073,3224.204082,389.0041785,1994.114994
"SOCS3",38.60545367,55.08163265,0.346058879,59.57198327
"SOD1",759.1737452,1752.979592,1005.168471,522.2715054
"SOD2",234.5279899,735.514898,281.2920684,342.1101613
"SPEN",398.8197394,222.5714286,1732.481291,1202.60902
"SRP68",77.89792472,181.8163265,0.222222222,1.994922342
"SRPRB",269.7138031,188,1180.0566,436.8900836
"SRSF5",2370.210184,5683.612245,722.0296296,3101.759558
"SRSF6",5376.798567,4584.571429,2736.467616,9837.896527
"SSRP1",784.1872587,543.5687755,24.82640076,148.6336261
