"","ensembl_gene_id","chromosome_name","hgnc_symbol","hgnc_id"
"147","ENSG00000038382","5","TRIO","HGNC:12303"
"148","ENSG00000039319","5","ZFYVE16","HGNC:20756"
"149","ENSG00000040633","17","PHF23","HGNC:28428"
"150","ENSG00000041802","3","LSG1","HGNC:25652"
"151","ENSG00000042286","10","AIFM2","HGNC:21411"
"152","ENSG00000042429","11","MED17","HGNC:2375"
"153","ENSG00000043143","5","JADE2","HGNC:22984"
"154","ENSG00000044012","1","GUCA2B","HGNC:4683"
"155","ENSG00000044115","5","CTNNA1","HGNC:2509"
"156","ENSG00000044574","9","HSPA5","HGNC:5238"
"157","ENSG00000047230","X","CTPS2","HGNC:2520"
"158","ENSG00000047315","4","POLR2B","HGNC:9188"
"159","ENSG00000047365","4","ARAP2","HGNC:16924"
"160","ENSG00000047410","1","TPR","HGNC:12017"
"161","ENSG00000047579","6","DTNBP1","HGNC:17328"
"162","ENSG00000047849","3","MAP4","HGNC:6862"
"163","ENSG00000047932","6","GOPC","HGNC:17643"
"164","ENSG00000048028","11","USP28","HGNC:12625"
"165","ENSG00000048392","8","RRM2B","HGNC:17296"
"166","ENSG00000048405","7","ZNF800","HGNC:27267"
"167","ENSG00000048471","16","SNX29","HGNC:30542"
"168","ENSG00000048544","6","MRPS10","HGNC:14502"
"169","ENSG00000049449","11","RCN1","HGNC:9934"
"170","ENSG00000049759","18","NEDD4L","HGNC:7728"
"171","ENSG00000050130","14","JKAMP","HGNC:20184"
"172","ENSG00000050405","12","LIMA1","HGNC:24636"
"173","ENSG00000051009","11","FAM160A2","HGNC:25378"
"174","ENSG00000051382","3","PIK3CB","HGNC:8976"
"175","ENSG00000051596","5","THOC3","HGNC:19072"
"176","ENSG00000051620","6","HEBP2","HGNC:15716"
"177","ENSG00000052723","1","SIKE1","HGNC:26119"
"178","ENSG00000052749","10","RRP12","HGNC:29100"
"179","ENSG00000052802","4","MSMO1","HGNC:10545"
"180","ENSG00000053371","1","AKR7A2","HGNC:389"
"181","ENSG00000053372","1","MRTO4","HGNC:18477"
"182","ENSG00000053770","14","AP5M1","HGNC:20192"
"183","ENSG00000053900","4","ANAPC4","HGNC:19990"
"184","ENSG00000054116","1","TRAPPC3","HGNC:19942"
"185","ENSG00000054523","1","KIF1B","HGNC:16636"
"186","ENSG00000054611","22","TBC1D22A","HGNC:1309"
"187","ENSG00000054983","14","GALC","HGNC:4115"
"188","ENSG00000055070","1","SZRD1","HGNC:30232"
"189","ENSG00000055163","5","CYFIP2","HGNC:13760"
"190","ENSG00000055332","2","EIF2AK2","HGNC:9437"
"191","ENSG00000055950","10","MRPL43","HGNC:14517"
"192","ENSG00000056050","4","HPF1","HGNC:26051"
"193","ENSG00000056558","9","TRAF1","HGNC:12031"
"194","ENSG00000056586","9","RC3H2","HGNC:21461"
"195","ENSG00000057252","1","SOAT1","HGNC:11177"
"196","ENSG00000057757","1","PITHD1","HGNC:25022"
"197","ENSG00000058063","3","ATP11B","HGNC:13553"
"198","ENSG00000058272","12","PPP1R12A","HGNC:7618"
"199","ENSG00000058729","5","RIOK2","HGNC:18999"
"200","ENSG00000058799","1","YIPF1","HGNC:25231"
"201","ENSG00000058804","1","NDC1","HGNC:25525"
"202","ENSG00000059377","7","TBXAS1","HGNC:11609"
"203","ENSG00000059378","7","PARP12","HGNC:21919"
"204","ENSG00000059573","10","ALDH18A1","HGNC:9722"
"205","ENSG00000059588","1","TARBP1","HGNC:11568"
"206","ENSG00000059758","12","CDK17","HGNC:8750"
"207","ENSG00000059769","9","DNAJC25","HGNC:34187"
"208","ENSG00000060069","18","CTDP1","HGNC:2498"
"209","ENSG00000060138","12","YBX3","HGNC:2428"
"210","ENSG00000060688","1","SNRNP40","HGNC:30857"
"211","ENSG00000060971","3","ACAA1","HGNC:82"
"212","ENSG00000061794","12","MRPS35","HGNC:16635"
"213","ENSG00000061936","12","SFSWAP","HGNC:10790"
"214","ENSG00000061938","3","TNK2","HGNC:19297"
"215","ENSG00000061987","12","MON2","HGNC:29177"
"216","ENSG00000062282","11","DGAT2","HGNC:16940"
"217","ENSG00000062485","12","CS","HGNC:2422"
"218","ENSG00000062598","20","ELMO2","HGNC:17233"
"219","ENSG00000062716","17","VMP1","HGNC:29559"
"220","ENSG00000062725","17","APPBP2","HGNC:622"
"221","ENSG00000063244","19","U2AF2","HGNC:23156"
"222","ENSG00000063322","19","MED29","HGNC:23074"
"223","ENSG00000063587","X","ZNF275","HGNC:13069"
"224","ENSG00000063601","X","MTMR1","HGNC:7449"
"225","ENSG00000063978","4","RNF4","HGNC:10067"
"226","ENSG00000064012","2","CASP8","HGNC:1509"
"227","ENSG00000064102","12","INTS13","HGNC:20174"
"228","ENSG00000064313","8","TAF2","HGNC:11536"
"229","ENSG00000064490","19","RFXANK","HGNC:9987"
"230","ENSG00000064547","19","LPAR2","HGNC:3168"
"231","ENSG00000064607","19","SUGP2","HGNC:18641"
"232","ENSG00000064666","19","CNN2","HGNC:2156"
"233","ENSG00000064703","1","DDX20","HGNC:2743"
"234","ENSG00000064726","15","BTBD1","HGNC:1120"
"235","ENSG00000064933","2","PMS1","HGNC:9121"
"236","ENSG00000065000","19","AP3D1","HGNC:568"
"237","ENSG00000065029","6","ZNF76","HGNC:13149"
"238","ENSG00000065150","13","IPO5","HGNC:6402"
"239","ENSG00000065154","10","OAT","HGNC:8091"
"240","ENSG00000065183","1","WDR3","HGNC:12755"
"241","ENSG00000065268","19","WDR18","HGNC:17956"
"242","ENSG00000065308","6","TRAM2","HGNC:16855"
"243","ENSG00000065413","2","ANKRD44","HGNC:25259"
"244","ENSG00000065518","3","NDUFB4","HGNC:7699"
"245","ENSG00000065526","1","SPEN","HGNC:17575"
"246","ENSG00000065600","1","PACC1","HGNC:25593"
"247","ENSG00000065613","10","SLK","HGNC:11088"
"248","ENSG00000065615","6","CYB5R4","HGNC:20147"
"249","ENSG00000065675","10","PRKCQ","HGNC:9410"
"250","ENSG00000065802","2","ASB1","HGNC:16011"
"251","ENSG00000065882","4","TBC1D1","HGNC:11578"
"252","ENSG00000065883","7","CDK13","HGNC:1733"
"253","ENSG00000065989","19","PDE4A","HGNC:8780"
"254","ENSG00000066027","1","PPP2R5A","HGNC:9309"
"255","ENSG00000066084","12","DIP2B","HGNC:29284"
"256","ENSG00000066117","12","SMARCD1","HGNC:11106"
"257","ENSG00000066135","1","KDM4A","HGNC:22978"
"258","ENSG00000066136","1","NFYC","HGNC:7806"
"259","ENSG00000066294","1","CD84","HGNC:1704"
"260","ENSG00000066336","11","SPI1","HGNC:11241"
"261","ENSG00000066379","6","ZNRD1","HGNC:13182"
"262","ENSG00000066422","3","ZBTB11","HGNC:16740"
"263","ENSG00000066427","14","ATXN3","HGNC:7106"
"264","ENSG00000066455","14","GOLGA5","HGNC:4428"
"265","ENSG00000066583","5","ISOC1","HGNC:24254"
"266","ENSG00000066651","6","TRMT11","HGNC:21080"
"267","ENSG00000066697","9","MSANTD3","HGNC:23370"
"268","ENSG00000066739","14","ATG2B","HGNC:20187"
"269","ENSG00000066855","8","MTFR1","HGNC:29510"
"270","ENSG00000067048","Y","DDX3Y","HGNC:2699"
"271","ENSG00000067057","10","PFKP","HGNC:8878"
"272","ENSG00000067113","5","PLPP1","HGNC:9228"
"273","ENSG00000067225","15","PKM","HGNC:9021"
"274","ENSG00000067248","5","DHX29","HGNC:15815"
"275","ENSG00000067596","17","DHX8","HGNC:2749"
"276","ENSG00000067715","12","SYT1","HGNC:11509"
"277","ENSG00000067829","X","IDH3G","HGNC:5386"
"278","ENSG00000067955","16","CBFB","HGNC:1539"
"279","ENSG00000067992","X","PDK3","HGNC:8811"
"280","ENSG00000068028","3","RASSF1","HGNC:9882"
"281","ENSG00000068079","17","IFI35","HGNC:5399"
"282","ENSG00000068305","15","MEF2A","HGNC:6993"
"283","ENSG00000068308","X","OTUD5","HGNC:25402"
"284","ENSG00000068354","X","TBC1D25","HGNC:8092"
"285","ENSG00000068366","X","ACSL4","HGNC:3571"
"286","ENSG00000068383","10","INPP5A","HGNC:6076"
"287","ENSG00000068394","X","GPKOW","HGNC:30677"
"288","ENSG00000068400","X","GRIPAP1","HGNC:18706"
"289","ENSG00000068438","X","FTSJ1","HGNC:13254"
"290","ENSG00000068650","13","ATP11A","HGNC:13552"
"291","ENSG00000068745","3","IP6K2","HGNC:17313"
"292","ENSG00000068784","2","SRBD1","HGNC:25521"
"293","ENSG00000068831","11","RASGRP2","HGNC:9879"
"294","ENSG00000068878","2","PSME4","HGNC:20635"
