Ensembl_ID,C473,C481,LC03,RC02,RC03,LC01,R03,R02
ENSG00000005700.14,1,679.7708333,0,508.75,0.384615385,451.8275862,0.083333333,104.2987013
ENSG00000005801.16,0,70.10416667,4.230769231,0.0625,817.77,2.310344828,0.166666667,30.09090909
ENSG00000005810.17,0,874.65875,3141.479231,1890.26625,7709.307692,2113.773793,1785.138333,1166.995844
ENSG00000005812.10,0,164.774375,310.3846154,0.125,5,1.172413793,1030.75,142.5568831
ENSG00000005844.17,0,16.20833333,0.307692308,1.6875,0.153846154,913.6551724,0,100.9220779
ENSG00000005882.11,0,0.166666667,0,0,0,0.448275862,0,0.051948052
ENSG00000005884.17,0,0.0625,0,0,11.53846154,0.034482759,0.083333333,0.025974026
ENSG00000005889.15,0,1214.020833,192.3846154,223.875,20.38461538,634.9310345,873.1666667,645.038961
ENSG00000005893.15,1187,643.9375,0.076923077,316.125,1.307692308,3.034482759,365.0833333,227.8311688
ENSG00000005961.17,0,0,0,0,0,0,0,0
ENSG00000005981.12,0,0,0,0,0,0,0,0
ENSG00000006007.11,6,413.0691667,0.230769231,0.4375,0.461538462,0.743793103,0.083333333,144.625974
ENSG00000006015.17,1,0.166666667,0,0,0.076923077,117.3448276,0.333333333,449.4025974
ENSG00000006016.10,0,0.693333333,0,0,0,0,0,1.427402597
ENSG00000006025.11,0,0.020833333,0,0,0,0,0.083333333,0.038961039
ENSG00000006042.11,0,0.020833333,0,0,0.153846154,0,0,0.012987013
ENSG00000006047.12,0,0,0,0,0,0,0,0
ENSG00000006059.3,0,0,0,0,0,0,0,0
ENSG00000006062.14,0,87.83333333,0.076923077,0,1.307692308,0,0,0.051948052
ENSG00000006071.12,0,0,0,0,0,0,0,0
ENSG00000006116.3,0,0,0,0,0,0,0,0
ENSG00000006118.14,0,0,0,0,0,0,0,0
ENSG00000006125.17,5,140.7708333,406,8,1.384615385,142.8275862,2.666666667,163.2207792
ENSG00000006128.11,0,0,0,0,0,0,0,0
ENSG00000006194.9,1,0,0,0,0,317.9596552,0,114.6753247
ENSG00000006210.6,0,0.020833333,0,0,0,0,0,0
ENSG00000006282.20,0,0,0,0,0.153846154,0.517241379,0,0.298701299
ENSG00000006283.17,0,0,0,0,0,0.034482759,0,0
ENSG00000006327.13,0,0.104166667,0,0,0,0.24137931,0,3.857142857
ENSG00000006377.10,0,0,0,0,0,0,0,0
ENSG00000006432.15,0,0.208333333,6.153846154,5.1875,0.538461538,0.551724138,0.666666667,1.194805195
ENSG00000006451.7,1,1073.395833,0.384615385,2663.9375,1.615384615,551.2068966,859.4141667,867.038961
ENSG00000006453.13,0,26.35416667,0,0,0.076923077,0.034482759,0,48.50649351
ENSG00000006459.10,0,55.22916667,125.6923077,0.0625,0.153846154,2.103448276,0.333333333,171.8961039
ENSG00000006468.13,0,0,0,0,0,0,0,0
ENSG00000006530.15,0,323.1041667,1678.076923,1.75,20.15384615,412.2068966,431,106.2987013
