node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
DDX24,726001.0,0.47747,18.0,21.0,34.882,4.0,0.19924,213.88333,6.28035,2699.13354,27056.0,0.30952,
CD63,83.0,0.32239,11.0,12.0,17.761,2.0,0.16604,204.01667,6.19512,801.27819,7596.0,0.28788,
LAMP2,770.0,0.33783,14.0,16.0,17.543,1.0,0.19924,202.25,6.1705,915.04032,8310.0,0.25,
TGOLN2,257.0,0.30852,18.0,19.0,12.224,1.0,0.19924,203.61667,6.16292,1843.41894,13282.0,0.24561,
M6PR,211.0,0.45814,11.0,12.0,8.369,1.0,0.19924,189.83333,5.97921,426.14541,3436.0,0.40909,
PRPF39,3992526.0,0.58332,16.0,16.0,31.122,2.0,0.16604,192.33333,5.99057,239.87993,2666.0,0.54167,
HSPA4,9.59069727E8,0.28642,66.0,67.0,68.867,9.0,0.19924,266.73333,6.75762,13089.69444,148434.0,0.16056,
RPF1,1211161.0,0.82122,15.0,16.0,30.945,1.0,0.19924,198.65,6.0758,65.52006,1300.0,0.68333,
SRSF10,2.616308247986E12,0.74383,25.0,25.0,46.666,2.0,0.16604,207.4,6.1705,415.62131,5894.0,0.59,
CHD4,600.0,0.30118,18.0,20.0,23.597,2.0,0.19924,213.21667,6.27467,1610.49754,15902.0,0.22105,
H2AFV,1521.0,0.25052,42.0,43.0,36.111,8.0,0.19924,234.53333,6.44512,7385.74407,72170.0,0.15947,
GNG5,852.0,0.42441,12.0,12.0,18.657,1.0,0.19924,197.38333,6.1061,695.08584,16566.0,0.43939,
DNTTIP2,443522.0,0.8484,11.0,13.0,28.485,1.0,0.19924,190.68333,5.97921,62.04307,878.0,0.64103,
TRAT1,8.0,0.37893,4.0,4.0,3.663,1.0,0.16604,164.38333,5.58527,7.45871,116.0,0.66667,
SLC25A3,35554.0,0.45444,20.0,20.0,32.898,1.0,0.19924,210.91667,6.25194,746.68765,11144.0,0.38947,
NGLY1,47.0,0.43905,7.0,10.0,11.271,2.0,0.19924,184.2,5.92429,454.07729,4244.0,0.26667,
SREK1,422.0,0.42441,12.0,12.0,24.332,1.0,0.16604,189.63333,5.97353,73.78334,1012.0,0.43939,
RUNX3,40425.0,0.31934,20.0,21.0,28.048,5.0,0.19924,221.18333,6.39209,1796.56803,19812.0,0.24762,
BRD2,126.0,0.43905,7.0,9.0,11.03,1.0,0.16604,188.7,5.96974,323.40318,3008.0,0.33333,
ADAR,41172.0,0.42179,16.0,18.0,24.691,2.0,0.19924,211.93333,6.27845,2354.01912,19812.0,0.30719,
DCP1A,363162.0,0.44895,19.0,19.0,39.179,2.0,0.19924,213.51667,6.28224,605.70237,12332.0,0.39181,
TUBA1B,856.0,0.4242,11.0,15.0,26.446,2.0,0.19924,213.91667,6.3258,1414.10514,14904.0,0.2381,
MDH2,923694.0,0.60543,26.0,26.0,40.949,1.0,0.19924,212.85,6.25383,680.24842,10206.0,0.47385,
FOSL2,21.0,0.38039,6.0,7.0,8.669,2.0,0.16604,184.65,5.93375,1067.67236,9766.0,0.38095,
ARIH2,363600.0,0.81806,10.0,10.0,10.558,1.0,0.16604,181.08333,5.87125,7.71115,144.0,0.91111,
UBE2N,403408.0,0.29621,33.0,37.0,43.368,10.0,0.19924,242.78333,6.59285,7924.92434,76152.0,0.16967,
MAF,86.0,0.3366,12.0,12.0,14.845,1.0,0.16604,201.7,6.16482,542.00956,6580.0,0.34848,
MRPS36,121.0,0.64826,5.0,6.0,7.422,1.0,0.16604,153.66667,5.33148,15.36046,62.0,0.66667,
AP2M1,162.0,0.39905,10.0,14.0,8.37,3.0,0.16604,191.18333,5.99057,1201.68051,8134.0,0.21978,
VIM,22.0,0.45378,5.0,9.0,16.738,1.0,0.19924,204.25,6.22732,392.73497,3916.0,0.19444,
U2AF1L4,9.223372036854777E13,0.895,31.0,32.0,54.159,2.0,0.19924,216.5,6.26709,974.19485,9840.0,0.61895,
HLA-F,40328.0,0.61853,10.0,10.0,8.327,1.0,0.16604,183.1,5.89777,70.17901,832.0,0.68889,
RGS1,26.0,0.36588,7.0,9.0,5.972,1.0,0.16604,170.08333,5.6383,427.60529,2934.0,0.27778,
FNBP1,129.0,0.47564,7.0,10.0,7.564,1.0,0.19924,190.43333,6.01709,511.85045,3704.0,0.28889,
SMC4,168.0,0.38319,13.0,15.0,19.018,1.0,0.16604,197.68333,6.08338,578.54407,5358.0,0.28571,
MYH9,39.0,0.29929,10.0,13.0,19.574,1.0,0.19924,206.28333,6.23111,718.98991,8458.0,0.19231,
ANXA1,1148.0,0.31335,22.0,22.0,23.898,1.0,0.19924,208.7,6.21217,1505.22347,17450.0,0.25974,
EXOSC8,213.0,0.39514,12.0,13.0,26.907,1.0,0.19924,194.33333,6.0436,562.122,7030.0,0.34615,
IRF8,41489.0,0.33199,25.0,26.0,18.717,1.0,0.19924,212.18333,6.24815,2762.07613,23198.0,0.24308,
RNF181,2.0,0.0,1.0,2.0,3.372,1.0,0.16604,170.3,5.733,2.54705,24.0,0.0,
GPR183,744.0,0.52506,9.0,9.0,6.895,1.0,0.16604,171.21667,5.66671,56.17891,1060.0,0.61111,
GLTSCR2,766639.0,0.66409,16.0,17.0,32.017,1.0,0.19924,201.03333,6.11368,262.60071,3068.0,0.54412,
CYLD,22.0,0.19953,10.0,12.0,11.884,4.0,0.19924,203.45,6.19512,1630.13709,11256.0,0.15152,
POLR2G,9.223372036854777E13,0.5754,38.0,41.0,58.56,3.0,0.19924,240.35,6.53793,4889.55561,49978.0,0.34024,
PELI1,3.0,0.0,1.0,3.0,5.376,1.0,0.16604,171.01667,5.72921,101.68913,1024.0,0.0,
ARHGAP25,6.0,0.46346,3.0,3.0,3.327,1.0,0.16604,155.41667,5.40724,0.0,0.0,1.0,
CD48,318.0,0.39597,13.0,13.0,7.703,1.0,0.19924,182.1,5.85231,197.1035,2020.0,0.39744,
CD2,334.0,0.32048,15.0,17.0,10.136,3.0,0.19924,199.6,6.12504,1540.12287,12866.0,0.23529,
TBCA,124.0,0.43905,7.0,7.0,17.365,1.0,0.16604,191.23333,6.05118,19.13148,332.0,0.57143,
TNFRSF1B,40342.0,0.4054,14.0,18.0,22.047,1.0,0.19924,208.3,6.23868,1569.44498,17182.0,0.24183,
UBE2B,363643.0,0.43715,17.0,22.0,19.329,3.0,0.19924,211.21667,6.24247,2181.07122,16648.0,0.23377,
PAK2,40352.0,0.69213,9.0,16.0,21.631,1.0,0.19924,204.08333,6.19512,927.90373,12522.0,0.31667,
CBLB,363604.0,0.81806,10.0,13.0,11.384,1.0,0.16604,190.6,6.00194,540.17849,3982.0,0.55128,
BCAS4,3.0,0.30779,2.0,3.0,1.401,1.0,0.14232,138.44286,5.00761,28.14125,138.0,0.33333,
IGLL5,32.0,0.2927,7.0,13.0,7.417,3.0,0.19924,190.38333,5.99436,982.6181,7538.0,0.16667,
ILF2,4.9546601E7,0.50845,40.0,43.0,64.687,5.0,0.19924,234.88333,6.46406,4741.90272,58338.0,0.299,
ZFR,2.0,0.0,1.0,2.0,5.348,1.0,0.16604,162.16667,5.55307,72.80072,576.0,0.0,
DDX3X,8582.0,0.42129,23.0,23.0,44.382,1.0,0.19924,215.05,6.27656,537.51615,7092.0,0.34387,
SKIL,3.0,0.0,1.0,3.0,4.273,1.0,0.16604,172.36667,5.73489,80.39055,1080.0,0.0,
SATB1,26.0,0.36588,7.0,7.0,11.376,1.0,0.16604,188.31667,5.96406,103.85711,1368.0,0.47619,
PTP4A1,7.0,0.30779,2.0,7.0,12.391,2.0,0.19924,195.35,6.1061,850.82917,6512.0,0.04762,
TANK,3.0,0.30779,2.0,3.0,3.116,1.0,0.16604,161.78333,5.55118,16.34761,142.0,0.33333,
POLE3,43.0,0.31026,9.0,12.0,15.464,2.0,0.19924,199.61667,6.11557,578.61496,6312.0,0.21212,
RSRC1,6.746782479E9,0.58306,31.0,32.0,55.521,1.0,0.19924,217.48333,6.27277,1212.29904,16924.0,0.40323,
ARAP2,9.0,0.37893,4.0,5.0,4.944,1.0,0.16604,174.91667,5.79928,233.35211,1938.0,0.4,
CORO1A,32.0,0.34989,8.0,12.0,10.247,1.0,0.16604,196.25,6.10421,1164.08958,8510.0,0.18182,
IKZF3,38.0,0.40246,7.0,7.0,7.725,1.0,0.19924,186.41667,5.97163,57.54043,1050.0,0.52381,
CRBN,12.0,0.46346,3.0,9.0,6.995,1.0,0.19924,182.38333,5.89209,403.47847,2870.0,0.08333,
PRKDC,130.0,0.19323,22.0,24.0,37.738,2.0,0.19924,230.71667,6.49815,4096.6759,39474.0,0.13406,
HECTD1,362881.0,0.85919,9.0,10.0,8.621,1.0,0.16604,180.25,5.8561,88.19324,466.0,0.8,
HLA-B,40339.0,0.49759,12.0,15.0,15.344,1.0,0.16604,201.0,6.13641,1079.81511,8428.0,0.33333,
IST1,129.0,0.64826,5.0,11.0,12.254,1.0,0.19924,195.51667,6.09853,726.88577,4914.0,0.23636,
TMF1,5.0,0.0,1.0,5.0,5.782,2.0,0.16604,176.93333,5.83148,795.62285,5090.0,0.0,
UFD1L,247.0,0.34999,16.0,17.0,23.057,1.0,0.19924,200.8,6.12315,704.44117,8070.0,0.28676,
LMAN2,6.0,0.2842,4.0,4.0,5.442,1.0,0.19924,170.93333,5.71784,50.40987,518.0,0.5,
RHOF,229.0,0.44117,11.0,12.0,8.705,2.0,0.19924,182.76667,5.87315,1230.23376,13542.0,0.39394,
MIS18BP1,8.0,0.46346,3.0,5.0,7.051,1.0,0.16604,173.08333,5.72353,69.83862,540.0,0.4,
OAZ1,40321.0,0.8164,8.0,9.0,18.18,2.0,0.19924,183.81667,5.92429,161.64587,1990.0,0.77778,
CCAR1,9.223372036854777E13,1.06322,25.0,26.0,48.331,2.0,0.16604,207.56667,6.16671,543.91659,5884.0,0.77846,
UBE2J1,363678.0,0.55082,15.0,15.0,17.085,1.0,0.19924,197.26667,6.08906,331.78506,4064.0,0.52381,
NABP1,2.0,0.30779,2.0,2.0,6.118,1.0,0.16604,163.1,5.5758,0.0,0.0,1.0,
CCND2,47.0,0.29929,10.0,11.0,13.763,1.0,0.16604,202.03333,6.18186,343.44288,4582.0,0.27273,
RAP1A,134.0,0.33413,9.0,15.0,15.523,1.0,0.19924,214.76667,6.33527,1722.19582,14986.0,0.15238,
SYNE2,24.0,0.56839,4.0,4.0,7.648,1.0,0.16604,174.25,5.75572,0.0,0.0,1.0,
FKBP1A,40.0,0.36588,7.0,16.0,18.936,2.0,0.19924,209.36667,6.26141,2172.88143,19026.0,0.11667,
SDHD,1.63724524E8,0.78398,19.0,21.0,27.944,2.0,0.19924,194.06667,6.00004,1292.85201,13464.0,0.55714,
S100A11,242.0,0.66569,6.0,8.0,8.078,2.0,0.16604,181.61667,5.88262,1107.50635,9376.0,0.5,
CHCHD7,7.0,0.30898,3.0,6.0,8.905,3.0,0.16604,177.01667,5.79739,1577.80929,16316.0,0.13333,
VAPA,130.0,0.22782,19.0,23.0,24.38,1.0,0.19924,217.96667,6.33717,2460.25738,21632.0,0.13834,
ACIN1,290.0,0.55399,8.0,8.0,21.952,1.0,0.16604,185.25,5.91103,7.6534,184.0,0.67857,
PRKCH,7.0,0.46346,3.0,4.0,4.118,1.0,0.16604,161.78333,5.53413,27.46678,546.0,0.5,
RNF114,362880.0,0.85919,9.0,9.0,9.086,1.0,0.16604,178.78333,5.83716,0.0,0.0,1.0,
C14orf2,95760.0,0.81447,11.0,11.0,18.924,1.0,0.19924,178.63333,5.80686,4.84068,168.0,0.87273,
NPC2,146.0,0.61814,6.0,8.0,12.159,1.0,0.16604,195.51667,6.10421,85.43318,916.0,0.5,
RAB30,24.0,0.56839,4.0,4.0,4.277,1.0,0.16604,161.76667,5.52277,0.0,0.0,1.0,
DDX17,9.2700525E7,0.42529,40.0,41.0,58.875,1.0,0.19924,233.48333,6.43944,2568.53654,30026.0,0.27439,
SLA,5.0,0.30898,3.0,4.0,3.738,1.0,0.16604,165.16667,5.60231,170.67877,1030.0,0.33333,
LARP4B,22.0,0.29157,8.0,8.0,20.208,1.0,0.19924,195.85,6.10042,146.99764,1806.0,0.35714,
TNRC6B,80.0,0.4082,8.0,11.0,14.187,1.0,0.16604,192.6,6.00194,512.54904,3894.0,0.29091,
HIGD1A,4.0,0.30779,2.0,4.0,6.729,1.0,0.16604,177.66667,5.83906,158.20878,1164.0,0.16667,
PPP6R3,4.0,0.30779,2.0,4.0,11.739,1.0,0.16604,184.4,5.94133,275.67842,1940.0,0.16667,
ANKRD44,3.0,0.0,1.0,3.0,3.268,1.0,0.16604,158.73333,5.49057,65.44298,338.0,0.0,
AEBP2,3.0,0.0,1.0,3.0,3.193,2.0,0.16604,161.46667,5.51709,377.3566,1778.0,0.0,
WAC,1453.0,0.57279,9.0,10.0,21.984,1.0,0.16604,188.41667,5.95269,96.50801,1164.0,0.53333,
MIA3,9.0,0.46346,3.0,6.0,6.845,1.0,0.16604,177.95,5.83527,150.10887,1118.0,0.26667,
ZCCHC11,12.0,0.47366,4.0,4.0,15.154,1.0,0.16604,181.33333,5.87504,2.29353,52.0,0.83333,
SAFB,7962.0,0.42179,16.0,16.0,32.396,1.0,0.16604,199.83333,6.10232,375.00442,4612.0,0.39167,
CSNK1A1,40329.0,0.52601,11.0,14.0,21.572,1.0,0.19924,208.68333,6.26141,538.39463,5932.0,0.34066,
PDHB,129650.0,0.69785,18.0,20.0,32.118,1.0,0.19924,207.2,6.19891,442.16628,5760.0,0.5,
TAF9,14.0,0.33284,6.0,6.0,12.088,1.0,0.16604,174.63333,5.76898,145.90995,1760.0,0.46667,
APRT,38.0,0.24879,12.0,14.0,24.266,2.0,0.19924,209.08333,6.25951,1699.00355,16024.0,0.18681,
GZMB,517.0,0.3238,22.0,23.0,19.804,2.0,0.19924,219.6,6.36747,2954.10417,29374.0,0.24506,
TWISTNB,443702.0,0.55049,17.0,19.0,32.227,1.0,0.19924,213.23333,6.28224,1032.07873,10704.0,0.39766,
TERF2IP,26.0,0.56839,4.0,6.0,11.383,1.0,0.19924,194.53333,6.08338,145.03956,1926.0,0.46667,
DYNLRB1,6.0,0.30779,2.0,6.0,13.27,1.0,0.19924,186.05,5.96216,187.1166,1666.0,0.13333,
HSPB11,5.0,0.30898,3.0,4.0,5.128,1.0,0.16604,168.61667,5.67618,30.89117,266.0,0.33333,
UTRN,5.0,0.30779,2.0,5.0,4.99,1.0,0.16604,175.25,5.78792,269.96282,1876.0,0.1,
PDCD10,3.0,0.30779,2.0,3.0,5.597,1.0,0.19924,171.73333,5.74057,71.86902,760.0,0.33333,
STRN3,30.0,0.56839,4.0,10.0,16.589,4.0,0.16604,186.9,5.96216,3486.1039,45368.0,0.13333,
EVL,8.0,0.2842,4.0,6.0,3.864,3.0,0.16604,165.16667,5.58527,2109.07084,20014.0,0.2,
CMC2,3.0,0.30779,2.0,3.0,6.338,1.0,0.16604,169.2,5.68565,61.6917,1408.0,0.33333,
PDE4B,9.0,0.46346,3.0,6.0,5.239,1.0,0.16604,172.26667,5.73678,218.94432,1322.0,0.2,
ATP6AP2,11.0,0.46346,3.0,7.0,10.005,1.0,0.16604,179.01667,5.83527,485.85033,3332.0,0.2381,
PEBP1,115.0,0.32657,14.0,15.0,28.584,1.0,0.19924,215.96667,6.34853,700.06862,9460.0,0.27619,
ARPP19,2.0,0.0,1.0,2.0,1.245,2.0,0.14232,135.10952,4.94511,1050.0,8864.0,0.0,
ENSA,1.0,0.0,1.0,1.0,1.054,1.0,0.12453,107.06548,3.95079,0.0,0.0,0.0,
CYSTM1,10.0,0.46346,3.0,7.0,5.052,1.0,0.16604,175.41667,5.75572,678.3845,5860.0,0.14286,
FAM60A,3.0,0.30779,2.0,3.0,4.688,1.0,0.19924,167.71667,5.69322,55.86814,420.0,0.33333,
CNN2,3.0,0.30779,2.0,3.0,5.393,1.0,0.16604,162.95,5.55686,58.79748,522.0,0.33333,
HINT1,10491.0,0.37871,21.0,24.0,36.991,2.0,0.19924,226.03333,6.43944,1775.81118,20758.0,0.24638,
CEP57,3.0,0.30779,2.0,3.0,2.923,1.0,0.16604,161.75,5.57012,69.31869,452.0,0.33333,
YPEL5,5.0,0.30779,2.0,5.0,5.734,2.0,0.16604,167.0,5.61936,1180.24562,11286.0,0.1,
NT5C3A,14.0,0.38896,5.0,7.0,4.876,2.0,0.16604,161.98333,5.53034,193.612,1680.0,0.28571,
SVIP,12.0,0.46346,3.0,6.0,5.275,1.0,0.16604,168.96667,5.68186,134.95051,1128.0,0.4,
NFE2L2,213.0,0.47886,10.0,11.0,16.856,1.0,0.19924,205.45,6.22542,537.90232,6092.0,0.43636,
USP9X,18.0,0.23775,6.0,13.0,13.296,2.0,0.19924,201.53333,6.16482,867.28416,6914.0,0.08974,
SETX,39.0,0.25938,10.0,11.0,20.94,1.0,0.19924,210.93333,6.30118,649.57167,7208.0,0.23636,
KLRB1,150.0,0.54881,7.0,7.0,5.602,1.0,0.19924,168.66667,5.65156,10.8343,130.0,0.71429,
TMX1,7.0,0.30779,2.0,7.0,11.677,2.0,0.19924,186.83333,5.95648,896.86822,8898.0,0.09524,
LSM14A,91.0,0.32239,11.0,12.0,22.15,1.0,0.19924,194.23333,6.06254,157.41864,2492.0,0.28788,
IKZF1,168.0,0.22979,22.0,24.0,17.631,8.0,0.19924,214.63333,6.28792,4670.43906,35900.0,0.15942,
SFPQ,1.0032718E7,0.51376,32.0,34.0,52.356,2.0,0.19924,227.41667,6.39967,1968.82985,26194.0,0.33155,
UBE2L3,749.0,0.30405,14.0,15.0,19.632,1.0,0.19924,210.75,6.28035,694.05703,8306.0,0.25714,
USP8,21.0,0.23866,9.0,10.0,11.979,1.0,0.16604,192.21667,6.04171,444.81113,3554.0,0.22222,
PPP1R16B,2.0,0.0,1.0,2.0,6.491,1.0,0.19924,176.33333,5.85042,2.73162,82.0,0.0,
HIST2H2AA3,759.0,0.41286,17.0,18.0,15.923,4.0,0.19924,204.23333,6.1705,1026.94119,12180.0,0.33333,
NOL7,3.0,0.0,1.0,3.0,7.073,1.0,0.16604,168.75,5.67997,14.96829,202.0,0.0,
STMN1,17.0,0.33284,6.0,9.0,11.982,1.0,0.19924,200.98333,6.17618,323.90361,3370.0,0.19444,
TTC1,11.0,0.46346,3.0,8.0,12.452,1.0,0.19924,198.2,6.14777,295.37948,3190.0,0.10714,
EDF1,13.0,0.37893,4.0,9.0,19.35,1.0,0.19924,197.38333,6.11747,174.29525,2214.0,0.16667,
NAP1L4,26.0,0.45378,5.0,9.0,16.28,2.0,0.19924,198.06667,6.12883,637.48803,8202.0,0.30556,
LCP1,51.0,0.31924,10.0,11.0,9.697,1.0,0.19924,192.95,6.05497,783.76413,6214.0,0.29091,
USP15,11.0,0.37893,4.0,7.0,6.839,1.0,0.16604,181.43333,5.88262,175.87546,1350.0,0.2381,
ENSG00000173575,24.0,0.56839,4.0,4.0,6.358,1.0,0.16604,165.08333,5.57201,0.0,0.0,1.0,
TECR,38.0,0.47549,6.0,10.0,11.958,8.0,0.16604,185.26667,5.91292,4200.57053,38686.0,0.22222,
HFE,49.0,0.58344,5.0,6.0,8.121,1.0,0.16604,180.06667,5.83906,97.34499,998.0,0.6,
GADD45B,7.0,0.46346,3.0,4.0,2.398,1.0,0.16604,154.5,5.39019,128.38477,940.0,0.5,
SLK,4.0,0.0,1.0,4.0,6.256,1.0,0.19924,180.91667,5.91482,345.63404,2430.0,0.0,
MTPN,4.0,0.0,1.0,4.0,4.415,3.0,0.16604,170.31667,5.71784,458.41038,3548.0,0.0,
UFM1,28.0,0.26253,9.0,13.0,17.041,1.0,0.16604,204.3,6.19133,908.82645,8802.0,0.15385,
ETFA,94591.0,0.54276,19.0,20.0,30.756,1.0,0.19924,208.21667,6.21785,1047.23697,11536.0,0.42632,
THUMPD1,4.0,0.30779,2.0,4.0,8.804,1.0,0.16604,177.7,5.81822,101.90364,938.0,0.16667,
CAPG,56.0,0.34989,8.0,10.0,9.664,1.0,0.19924,190.01667,6.01898,538.03164,3970.0,0.26667,
DGUOK,726.0,0.71324,6.0,9.0,11.511,1.0,0.19924,175.2,5.76141,194.83759,1902.0,0.5,
DNAJC9,5.0,0.30779,2.0,5.0,7.735,1.0,0.16604,178.81667,5.83527,77.5164,960.0,0.1,
UBXN4,38.0,0.40246,7.0,7.0,7.896,1.0,0.16604,175.13333,5.77656,132.45496,968.0,0.52381,
REEP5,16.0,0.25611,7.0,9.0,7.899,2.0,0.16604,188.45,6.00383,1247.23481,8630.0,0.19444,
HNRNPH3,25736.0,0.57085,15.0,15.0,34.864,1.0,0.19924,202.63333,6.15345,127.85636,1946.0,0.54286,
BTF3,362888.0,0.66175,11.0,11.0,26.708,1.0,0.16604,195.25,6.06065,23.75104,472.0,0.70909,
FUBP1,15499.0,0.5923,16.0,21.0,35.293,2.0,0.19924,210.05,6.23489,2080.15131,18304.0,0.31905,
KLF6,2.0,0.0,1.0,2.0,2.273,1.0,0.16604,152.8,5.36936,22.05476,174.0,0.0,
WDR26,2.0,0.0,1.0,2.0,2.992,1.0,0.16604,146.05,5.18186,10.2098,82.0,0.0,
BCLAF1,47534.0,0.64095,15.0,15.0,32.801,1.0,0.19924,202.63333,6.15156,67.41076,1744.0,0.60952,
C14orf166,19577.0,0.43582,23.0,24.0,42.121,2.0,0.19924,219.13333,6.34664,1186.33528,13674.0,0.32609,
FKBP3,24.0,0.18665,11.0,13.0,25.534,1.0,0.19924,208.71667,6.2633,856.8568,8832.0,0.14103,
ANXA5,6524.0,0.32674,30.0,30.0,34.936,1.0,0.19924,229.2,6.44512,3589.72503,37888.0,0.24368,
APOBEC3C,121.0,0.64826,5.0,6.0,8.867,1.0,0.19924,175.81667,5.78224,112.5936,878.0,0.66667,
SMEK1,6.0,0.0,1.0,6.0,6.407,1.0,0.16604,180.71667,5.88072,261.89566,2084.0,0.0,
SOX4,8.0,0.25931,5.0,5.0,9.227,1.0,0.16604,190.36667,6.04171,69.04497,1064.0,0.4,
PHPT1,7.0,0.46346,3.0,4.0,6.978,1.0,0.16604,171.46667,5.72163,29.37099,298.0,0.5,
TES,1.0,0.0,1.0,1.0,1.243,1.0,0.14232,124.15238,4.59094,0.0,0.0,0.0,
ZCCHC10,3.0,0.30779,2.0,3.0,8.696,1.0,0.16604,172.53333,5.73489,21.43195,280.0,0.33333,
SLAMF7,120.0,0.64826,5.0,5.0,3.728,1.0,0.19924,166.25,5.62693,0.0,0.0,1.0,
GPR29,115.0,0.52483,8.0,9.0,9.22,1.0,0.19924,182.51667,5.89019,88.46115,1144.0,0.5,
KIAA0226,144.0,0.61814,6.0,6.0,4.981,1.0,0.16604,166.81667,5.60231,22.35015,296.0,0.86667,
DOCK8,70.0,0.33919,10.0,12.0,9.811,3.0,0.16604,193.7,6.05307,980.02607,7602.0,0.25758,
TTC3,3.0,0.30779,2.0,3.0,7.338,1.0,0.16604,181.83333,5.92618,5.88107,102.0,0.33333,
PIP4K2A,4.0,0.0,1.0,4.0,2.684,2.0,0.16604,161.21667,5.52655,1151.18857,6954.0,0.0,
ARL6IP4,1.0,0.0,1.0,1.0,1.045,1.0,0.14232,122.17143,4.53223,0.0,0.0,0.0,
ING3,11.0,0.25931,5.0,8.0,7.234,2.0,0.16604,172.11667,5.69322,976.10732,10420.0,0.14286,
SAR1A,17.0,0.25611,7.0,10.0,12.501,2.0,0.19924,195.75,6.11936,958.65929,8884.0,0.15556,
TRMT10C,3.0,0.0,1.0,3.0,6.152,1.0,0.16604,169.68333,5.66292,155.55326,1086.0,0.0,
KDM5A,40371.0,0.8164,8.0,15.0,25.042,1.0,0.19924,205.53333,6.19891,2116.231,25436.0,0.3619,
PDCD4,54.0,0.26343,12.0,14.0,25.831,1.0,0.19924,214.33333,6.32391,1631.52041,16882.0,0.1978,
CHURC1,1.0,0.0,1.0,1.0,1.209,1.0,0.14232,130.70952,4.80306,0.0,0.0,0.0,
RSRC2,6.0,0.2842,4.0,4.0,10.327,1.0,0.16604,171.46667,5.69512,1.62385,36.0,0.5,
ETV6,5.0,0.30779,2.0,5.0,6.527,4.0,0.16604,183.63333,5.92618,2030.45291,13746.0,0.1,
KPNA6,142.0,0.35915,10.0,10.0,24.364,1.0,0.19924,209.13333,6.28792,88.59137,2268.0,0.4,
MAPK1IP1L,1.0,0.0,1.0,1.0,2.248,1.0,0.16604,146.96667,5.24057,0.0,0.0,0.0,
BRD4,180.0,0.39905,10.0,12.0,13.714,1.0,0.19924,199.65,6.1402,924.40701,10038.0,0.30303,
HSBP1,4.0,0.30779,2.0,4.0,8.432,3.0,0.16604,183.1,5.93565,2108.27253,17956.0,0.16667,
DDIT4,19.0,0.38039,6.0,7.0,11.601,1.0,0.16604,191.48333,6.03603,104.0561,1134.0,0.38095,
ANKRD40,2.0,0.0,1.0,2.0,2.128,1.0,0.16604,147.01667,5.24814,28.53915,102.0,0.0,
TAGLN2,140.0,0.35765,13.0,13.0,17.498,1.0,0.19924,201.66667,6.16671,480.37065,5708.0,0.35897,
PPHLN1,2.0,0.0,1.0,2.0,3.743,1.0,0.16604,162.41667,5.58716,74.75948,904.0,0.0,
LYST,7.0,0.30779,2.0,7.0,5.44,3.0,0.16604,179.65,5.87504,1797.41472,10066.0,0.09524,
FNBP4,193.0,0.62199,7.0,8.0,17.913,1.0,0.16604,182.81667,5.8883,118.79494,1128.0,0.60714,
SWAP70,1.0,0.0,1.0,1.0,2.055,1.0,0.16604,147.15,5.24625,0.0,0.0,0.0,
TMEM120B,1.0,0.0,1.0,1.0,1.302,1.0,0.16604,133.36667,4.87882,0.0,0.0,0.0,
ADIPOR1,3.0,0.0,1.0,3.0,5.18,2.0,0.19924,176.63333,5.85421,1093.08798,6956.0,0.0,
RNF10,1.0,0.0,1.0,1.0,1.179,1.0,0.16604,131.16667,4.85988,0.0,0.0,0.0,
TACC1,1.0,0.0,1.0,1.0,1.739,1.0,0.16604,149.81667,5.27087,0.0,0.0,0.0,
YTHDF2,3.0,0.30779,2.0,3.0,7.003,1.0,0.16604,162.58333,5.53413,8.74926,130.0,0.33333,
TARS,15268.0,0.61467,12.0,14.0,35.456,1.0,0.19924,211.63333,6.29739,284.85731,5362.0,0.46154,
DARS,27.0,0.45378,5.0,6.0,15.868,1.0,0.16604,181.71667,5.89398,13.91246,228.0,0.46667,
TBRG1,1.0,0.0,1.0,1.0,1.386,1.0,0.14232,136.90952,5.00951,0.0,0.0,0.0,
RGS2,1.0,0.0,1.0,1.0,1.632,1.0,0.14232,133.47619,4.8542,0.0,0.0,0.0,
VMP1,27.0,0.56839,4.0,7.0,4.435,1.0,0.16604,170.23333,5.69512,672.68795,4464.0,0.28571,
BCL11B,8.0,0.25931,5.0,5.0,7.011,1.0,0.16604,185.06667,5.9508,80.0508,1658.0,0.4,
TMEM33,8.0,0.46346,3.0,5.0,7.412,1.0,0.16604,179.1,5.86557,35.46918,408.0,0.3,
ARL8B,3.0,0.0,1.0,3.0,3.918,1.0,0.16604,162.65,5.53981,110.02916,718.0,0.0,
CCDC186,2.0,0.0,1.0,2.0,1.259,1.0,0.14232,136.75952,4.98299,16.42246,86.0,0.0,
CEP350,5.0,0.0,1.0,5.0,3.483,1.0,0.16604,164.18333,5.60042,590.54194,3854.0,0.0,
BRWD1,3.0,0.0,1.0,3.0,3.02,1.0,0.16604,157.78333,5.46784,112.60632,738.0,0.0,
ANP32B,5.0,0.30779,2.0,5.0,4.647,1.0,0.19924,173.38333,5.76709,129.69558,1018.0,0.1,
TMEM14B,3.0,0.0,1.0,3.0,5.973,1.0,0.16604,171.18333,5.72921,60.11054,588.0,0.0,
COX20,2.0,0.0,1.0,2.0,2.75,1.0,0.16604,139.83333,5.01898,6.2423,26.0,0.0,
