node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
NDUFA13,2.39511727E8,0.7713,18.0,19.0,26.52,3.0,0.19924,201.95,6.14398,924.122,8442.0,0.61404,
NDUFA3,4.79001648E8,0.93332,16.0,16.0,23.61,1.0,0.19924,186.16667,5.89966,29.24703,696.0,0.86667,
SNRPA1,9.223372036854777E13,0.7011,42.0,43.0,65.027,2.0,0.19924,233.76667,6.44512,2031.23951,28718.0,0.44629,
SNRPB2,9.223372036854777E13,0.9115,32.0,33.0,58.197,1.0,0.19924,219.05,6.2955,608.05799,9338.0,0.625,
PSMB9,3870770.0,0.51703,22.0,24.0,29.433,4.0,0.19924,219.6,6.35232,1565.74264,16440.0,0.3587,
PSMD6,3871235.0,0.48748,25.0,30.0,40.049,8.0,0.19924,234.01667,6.5133,3242.36407,30042.0,0.26667,
PSMB10,3870853.0,0.63656,19.0,20.0,28.516,2.0,0.19924,211.26667,6.2633,552.15857,6556.0,0.5,
ATP5J,6.03274875E8,0.69686,27.0,28.0,37.715,5.0,0.19924,215.96667,6.29171,1038.86493,15920.0,0.5,
ATP5E,4.39230975E8,0.72071,22.0,23.0,30.584,3.0,0.19924,203.55,6.13641,1347.18138,11998.0,0.54545,
SNRPB,9.223372036854777E13,0.6803,43.0,45.0,63.557,8.0,0.19924,234.01667,6.43944,2269.90491,27900.0,0.41212,
SNRPC,9.223372036854777E13,0.82972,34.0,34.0,59.928,1.0,0.19924,218.13333,6.28035,419.31059,7286.0,0.59358,
RPL8,2.528586613E10,0.49246,58.0,58.0,71.264,1.0,0.19924,254.85,6.64967,3948.43619,76372.0,0.29643,
NDUFB10,6.02416804E8,0.70269,24.0,24.0,29.237,1.0,0.19924,193.85,5.96785,391.80518,5432.0,0.56522,
RAN,2.040434843E9,0.43539,47.0,48.0,67.782,13.0,0.19924,253.86667,6.67997,4596.2474,64012.0,0.26862,
NUTF2,384.0,0.52506,9.0,19.0,30.976,1.0,0.19924,221.46667,6.40156,1676.03566,17090.0,0.18129,
ATP5H,6.0342281E8,0.57404,37.0,37.0,43.127,1.0,0.19924,225.38333,6.37315,1656.2653,25228.0,0.3994,
