node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
PRPF39,3992526,0.58332,16,16,33.593,1,0.16604,192.33333,5.99057,239.87993,2666,0.54167
LAMP2,770,0.33783,14,16,17.698,1,0.19924,202.25,6.1705,915.04032,8310,0.25
TRAM1,6.71E+09,0.84358,16,16,37.347,1,0.19924,196.31667,6.04739,76.39111,1616,0.78333
PPP1CA,37,0.2864,9,16,25.904,2,0.19924,219.01667,6.38073,1608.56865,15720,0.10833
RHOG,292,0.34102,16,16,13.084,2,0.19924,200.68333,6.13451,962.23626,11030,0.31667
MRPS6,6747,0.57479,13,16,26.01,2,0.16604,198.26667,6.0758,1464.05974,24092,0.375
NDUFC1,2.79E+08,0.95127,16,16,22.53,1,0.19924,180.96667,5.81065,7.75018,170,0.88333
BAZ1B,449,0.40059,15,16,20.932,1,0.16604,199.3,6.08338,795.87762,7172,0.33333
NDUFA3,4.79E+08,0.93332,16,16,27.056,1,0.19924,186.16667,5.89966,29.24703,696,0.86667
KDM5A,40371,0.8164,8,15,23.334,3,0.19924,205.53333,6.19891,2116.231,25436,0.3619
BCLAF1,47534,0.64095,15,15,37.541,1,0.19924,202.63333,6.15156,67.41076,1744,0.60952
HNRNPH3,25736,0.57085,15,15,35.553,1,0.19924,202.63333,6.15345,127.85636,1946,0.54286
UBE2L3,749,0.30405,14,15,21.172,4,0.19924,210.75,6.28035,694.05703,8306,0.25714
PEBP1,115,0.32657,14,15,28.745,2,0.19924,215.96667,6.34853,700.06862,9460,0.27619
RAP1A,134,0.33413,9,15,19.598,5,0.19924,214.76667,6.33527,1722.19582,14986,0.15238
UBE2J1,363678,0.55082,15,15,15.765,2,0.19924,197.26667,6.08906,331.78506,4064,0.52381
HLA-B,40339,0.49759,12,15,14.322,3,0.16604,201,6.13641,1079.81511,8428,0.33333
SMC4,168,0.38319,13,15,18.977,2,0.16604,197.68333,6.08338,578.54407,5358,0.28571
TUBA1B,856,0.4242,11,15,30.275,3,0.19924,213.91667,6.3258,1414.10514,14904,0.2381
CACYBP,40382,0.40059,15,15,28.054,1,0.19924,212.81667,6.31065,403.63082,5356,0.38095
SET,80,0.25037,15,15,28.875,1,0.19924,221.55,6.41292,1386.47603,17342,0.2381
OPTN,240,0.33049,15,15,14.733,2,0.19924,196.18333,6.07391,899.81198,7170,0.31429
SMN1,46349,0.5518,14,15,34.035,1,0.19924,203.53333,6.17618,552.49916,6192,0.46667
ATG12,1062,0.42062,15,15,14.003,1,0.19924,195.3,6.05686,465.28182,5428,0.4
TOMM20,1018,0.4726,13,15,29.168,1,0.19924,208.41667,6.24815,891.01658,10346,0.35238
RNF7,363652,0.61311,13,15,13.463,1,0.19924,193.65,6.03982,537.57504,4496,0.45714
TARS,15268,0.61467,12,14,32.543,2,0.19924,211.63333,6.29739,284.85731,5362,0.46154
PDCD4,54,0.26343,12,14,26.648,6,0.19924,214.33333,6.32391,1631.52041,16882,0.1978
APRT,38,0.24879,12,14,22.453,3,0.19924,209.08333,6.25951,1699.00355,16024,0.18681
CSNK1A1,40329,0.52601,11,14,25.423,1,0.19924,208.68333,6.26141,538.39463,5932,0.34066
AP2M1,162,0.39905,10,14,8.626,1,0.16604,191.18333,5.99057,1201.68051,8134,0.21978
RHEB,741,0.30655,13,14,14.418,2,0.19924,198.83333,6.11368,1120.49797,10342,0.26374
RTN4,26,0.33284,6,14,15.412,3,0.16604,214.46667,6.33906,1792.64819,14520,0.12088
NXT1,403494,0.66441,14,14,32.349,1,0.19924,201.03333,6.14777,70.07305,1338,0.64835
ATP1A1,137,0.5012,9,14,17.649,1,0.19924,206.73333,6.22921,1575.54116,12278,0.24176
STAT2,41336,0.54053,14,14,14.871,2,0.19924,199.86667,6.13451,472.66213,6140,0.52747
G3BP1,129,0.35765,13,14,30.701,1,0.19924,208.75,6.25383,643.12661,7602,0.30769
GNAI2,799,0.42151,13,14,10.055,2,0.16604,183.78333,5.84853,1288.34925,17056,0.36264
GNG2,864,0.37162,14,14,18.405,1,0.19924,202.38333,6.16292,881.5106,19944,0.36264
TAGLN2,140,0.35765,13,13,15.815,3,0.19924,201.66667,6.16671,480.37065,5708,0.35897
FKBP3,24,0.18665,11,13,25.857,4,0.19924,208.71667,6.2633,856.8568,8832,0.14103
UFM1,28,0.26253,9,13,16.056,2,0.16604,204.3,6.19133,908.82645,8802,0.15385
