ensembl_gene_id,logFC,logCPM,PValue,qval,chromosome_name,hgnc_symbol
ENSG00000168291,3.951183502,6.374431042,3.08E-05,2.24E-05,3,PDHB
ENSG00000150637,-4.1896448,4.237011983,3.07E-05,2.24E-05,18,CD226
ENSG00000188690,4.39660099,3.848967474,3.09E-05,2.25E-05,10,UROS
ENSG00000114796,-3.94132285,6.497839776,3.16E-05,2.30E-05,3,KLHL24
ENSG00000107614,-8.420725428,1.733965398,3.21E-05,2.33E-05,10,TRDMT1
ENSG00000196074,-8.420725428,1.733965398,3.21E-05,2.33E-05,20,SYCP2
ENSG00000157837,-8.420725428,1.733965398,3.21E-05,2.33E-05,12,SPPL3
ENSG00000110060,8.407348392,1.799321775,3.21E-05,2.33E-05,11,PUS3
ENSG00000006757,8.407348392,1.799321775,3.21E-05,2.33E-05,X,PNPLA4
ENSG00000068308,-8.420725428,1.733965398,3.21E-05,2.33E-05,X,OTUD5
ENSG00000233308,-8.420725428,1.733965398,3.21E-05,2.33E-05,3,OSTN-AS1
ENSG00000258441,-3.977521391,5.705086594,3.21E-05,2.33E-05,14,LINC00641
ENSG00000257704,-8.420725428,1.733965398,3.21E-05,2.33E-05,19,INAFM1
ENSG00000225492,-8.420725428,1.733965398,3.21E-05,2.33E-05,1,GBP1P1
ENSG00000164896,-8.420725428,1.733965398,3.21E-05,2.33E-05,7,FASTK
ENSG00000173065,-8.420725428,1.733965398,3.21E-05,2.33E-05,17,FAM222B
ENSG00000117419,8.407348392,1.799321775,3.21E-05,2.33E-05,1,ERI3
ENSG00000139624,8.407348392,1.799321775,3.21E-05,2.33E-05,12,CERS5
ENSG00000132964,-8.420725428,1.733965398,3.21E-05,2.33E-05,13,CDK8
ENSG00000137343,8.407348392,1.799321775,3.21E-05,2.33E-05,6,ATAT1
ENSG00000108839,-8.420725428,1.733965398,3.21E-05,2.33E-05,17,ALOX12
ENSG00000166847,4.046161829,4.874914341,3.25E-05,2.36E-05,16,DCTN5
ENSG00000115392,4.584107579,3.076678816,3.36E-05,2.43E-05,2,FANCL
ENSG00000084693,-4.645231047,3.223562275,3.36E-05,2.43E-05,2,AGBL5
ENSG00000112304,3.976611125,5.726041018,3.45E-05,2.49E-05,6,ACOT13
ENSG00000155975,-5.787707355,2.187622815,3.56E-05,2.56E-05,8,VPS37A
ENSG00000018699,5.614227833,2.245113423,3.56E-05,2.56E-05,2,TTC27
ENSG00000241973,-5.787707355,2.187622815,3.56E-05,2.56E-05,22,PI4KA
ENSG00000037757,5.614227833,2.245113423,3.56E-05,2.56E-05,19,MRI1
ENSG00000101246,5.614227833,2.245113423,3.56E-05,2.56E-05,20,ARFRP1
ENSG00000181007,8.341957676,1.740194587,3.63E-05,2.61E-05,19,ZFP82
ENSG00000184436,8.341957676,1.740194587,3.63E-05,2.61E-05,22,THAP7
ENSG00000198879,-8.384307497,1.700191303,3.63E-05,2.61E-05,10,SFMBT2
ENSG00000052749,8.341957676,1.740194587,3.63E-05,2.61E-05,10,RRP12
ENSG00000264501,-8.384307497,1.700191303,3.63E-05,2.61E-05,1,RN7SL731P
ENSG00000198799,8.341957676,1.740194587,3.63E-05,2.61E-05,1,LRIG2
ENSG00000127528,-8.384307497,1.700191303,3.63E-05,2.61E-05,19,KLF2
ENSG00000170049,8.341957676,1.740194587,3.63E-05,2.61E-05,17,KCNAB3
ENSG00000044012,8.341957676,1.740194587,3.63E-05,2.61E-05,1,GUCA2B
ENSG00000185442,-8.384307497,1.700191303,3.63E-05,2.61E-05,15,FAM174B
ENSG00000248019,8.341957676,1.740194587,3.63E-05,2.61E-05,4,FAM13A-AS1
ENSG00000168405,-8.384307497,1.700191303,3.63E-05,2.61E-05,6,CMAHP
ENSG00000175416,8.375023485,1.770065856,3.63E-05,2.61E-05,5,CLTB
ENSG00000168615,-8.384307497,1.700191303,3.63E-05,2.61E-05,8,ADAM9
ENSG00000106443,-3.983061155,5.429569324,3.66E-05,2.63E-05,7,PHF14
ENSG00000158050,-3.913367542,5.984388856,3.69E-05,2.65E-05,2,DUSP2
ENSG00000152404,-3.890120361,6.681902979,3.70E-05,2.66E-05,11,CWF19L2
ENSG00000005075,5.02244986,2.567600014,3.74E-05,2.68E-05,7,POLR2J
ENSG00000071537,3.928106263,5.880375821,3.77E-05,2.70E-05,14,SEL1L
ENSG00000132329,3.957308496,5.433827134,3.77E-05,2.70E-05,2,RAMP1
ENSG00000149308,-3.895647448,6.418654149,3.76E-05,2.70E-05,11,NPAT
ENSG00000163935,4.098876693,4.449384373,3.78E-05,2.71E-05,3,SFMBT1
ENSG00000163832,4.172659296,4.205041654,3.78E-05,2.71E-05,3,ELP6
ENSG00000163281,-3.930040745,5.753229837,3.86E-05,2.76E-05,4,GNPDA2
ENSG00000114383,5.590819459,2.223777334,3.90E-05,2.79E-05,3,TUSC2
ENSG00000162739,5.590819459,2.223777334,3.90E-05,2.79E-05,1,SLAMF6
ENSG00000059915,5.590819459,2.223777334,3.90E-05,2.79E-05,10,PSD
ENSG00000179115,5.590819459,2.223777334,3.90E-05,2.79E-05,19,FARSA
