,ensembl_gene_id,logFC,logCPM,PValue,qval,chromosome_name,hgnc_symbol
2684,ENSG00000156232,4.691877242,2.267848058,0.000124843,8.15E-05,15,WHAMM
1008,ENSG00000107890,8.004332234,1.438616087,0.000126293,8.24E-05,10,ANKRD26
2349,ENSG00000144579,8.004332234,1.438616087,0.000126293,8.24E-05,2,CTDSP1
4647,ENSG00000242612,-8.007090585,1.355162599,0.000126293,8.24E-05,16,DECR2
2113,ENSG00000138614,8.004332234,1.438616087,0.000126293,8.24E-05,15,INTS14
239,ENSG00000057935,-8.007090585,1.355162599,0.000126293,8.24E-05,2,MTA3
1885,ENSG00000134265,8.004332234,1.438616087,0.000126293,8.24E-05,18,NAPG
1493,ENSG00000122335,-8.007090585,1.355162599,0.000126293,8.24E-05,6,SERAC1
3727,ENSG00000182310,8.004332234,1.438616087,0.000126293,8.24E-05,19,SPACA6
818,ENSG00000103047,-8.007090585,1.355162599,0.000126293,8.24E-05,16,TANGO6
1168,ENSG00000112365,-8.007090585,1.355162599,0.000126293,8.24E-05,6,ZBTB24
4850,ENSG00000258405,-8.007090585,1.355162599,0.000126293,8.24E-05,19,ZNF578
4175,ENSG00000204138,-3.663577858,4.783985618,0.000128514,8.38E-05,1,PHACTR4
650,ENSG00000099860,-3.553903395,6.634797529,0.000128789,8.39E-05,19,GADD45B
290,ENSG00000065526,-3.5282249,7.590163606,0.000130337,8.49E-05,1,SPEN
2984,ENSG00000164258,-3.76513039,4.198207972,0.000130371,8.49E-05,5,NDUFS4
4302,ENSG00000213722,-5.399613217,1.828755493,0.000132109,8.59E-05,6,DDAH2
