,stage1,stage2
ENSG00000017797.12,209.777751,0.448979592
ENSG00000018189.12,0.170366796,1494.510204
ENSG00000018280.16,0.008928572,0.020408163
ENSG00000018408.14,13.67167471,24.41673469
ENSG00000018510.13,0.017857143,249.8367347
ENSG00000018610.13,38.0492278,0.142857143
ENSG00000018699.11,3.473214286,61.87755102
ENSG00000019582.14,120672.2951,138856.5714
ENSG00000019995.6,78.52544643,249.2334694
ENSG00000020129.15,0.026785715,0.020408163
ENSG00000020426.10,161.0456081,0.244897959
ENSG00000020577.13,11.25892857,0.020408163
ENSG00000020633.18,756.9580118,679.3061224
ENSG00000020922.12,246.7157336,0.428571429
ENSG00000021355.12,130.4362934,260.3673469
ENSG00000021574.11,0.017857143,110.3877551
ENSG00000021776.10,293.0605695,55.69387755
ENSG00000022277.12,133.8086873,181.2857143
ENSG00000022840.15,166.082529,471.244898
ENSG00000023041.11,207.1813296,0.265306122
ENSG00000023191.16,39.08614865,39.53061224
ENSG00000023228.13,180.3378378,43.46938776
ENSG00000023287.12,217.7726834,286.1020408
ENSG00000023318.7,452.179778,792.8367347
ENSG00000023330.14,5.882963321,833.7755102
ENSG00000023445.13,13059.66651,12633.16327
ENSG00000023516.8,805.1708493,2405.244898
ENSG00000023572.8,26.1059363,0.163265306
ENSG00000023608.4,241.9211487,323.8065306
ENSG00000023697.12,129.5185811,0.285714286
ENSG00000023734.10,1834.039817,702.3265306
ENSG00000023892.10,88.10593628,0.081632653
ENSG00000023902.13,63.34797295,54.83673469
ENSG00000023909.9,539.0248553,0.06122449
ENSG00000024048.10,174.2097008,163.9183673
ENSG00000024862.17,572.418195,0.448979592
ENSG00000025156.12,23.45535715,0.020408163
ENSG00000025293.16,422.9618726,1314.244898
ENSG00000025708.13,168.1025579,107.6718367
ENSG00000025770.18,150.0900097,0.06122449
ENSG00000025772.7,22.45439189,0.040816327
ENSG00000025796.13,83.3925,223.4877551
ENSG00000025800.13,395.1657215,748.1689796
ENSG00000026025.15,809.0024856,5256.864286
ENSG00000026103.21,51.88787404,1.632653061
ENSG00000026297.15,428.1503258,2734.530612
ENSG00000026508.17,2540.653716,3939.387755
ENSG00000026751.16,241.0019305,1488.938776
ENSG00000026950.16,42.58928572,13.91836735
ENSG00000027075.14,0.507239383,2.285714286
ENSG00000027697.13,602.632722,28.10204082
ENSG00000027869.11,3.886100386,0.224489796
ENSG00000028116.16,98.73907821,4.102040816
ENSG00000028137.18,59.65878379,2258.102041
ENSG00000028203.17,873.1624033,788.1020408
ENSG00000028277.21,130.0950772,104.6326531
ENSG00000028310.17,82.27586633,8.367346939
ENSG00000028528.14,80.56056948,1.326530612
ENSG00000028839.9,444.2620656,0.489795918
ENSG00000029363.16,1501.175563,781.8720408
ENSG00000029364.11,7.063223936,118.3673469
ENSG00000029534.19,0.133928572,151.9795918
ENSG00000029639.10,160.8419402,225.6326531
ENSG00000029725.16,268.3361197,550.6734694
ENSG00000029993.14,0.17953668,41.30612245
ENSG00000030066.13,1.9375,45.26530612
ENSG00000030419.16,0.688706564,73.32653061
ENSG00000030582.17,222.4971043,25.02040816
ENSG00000031003.10,124.5726134,562.3877551
ENSG00000031698.12,868.2664093,3.551020408
ENSG00000032219.18,911.7531372,586.2040816
ENSG00000032389.12,12.25892857,0.489795918
ENSG00000032444.15,5.478523165,0.020408163
ENSG00000033011.11,174.463808,0.040816327
ENSG00000033030.13,125.4821429,237.3265306
ENSG00000033050.7,18.84869691,77.75510204
ENSG00000033100.16,0.013513514,0.040816327
ENSG00000033170.16,19.47611004,35.8244898
ENSG00000033178.12,382.6240348,2143.061224
ENSG00000033800.13,531.2330406,1029.101224
ENSG00000033867.16,66.06708497,435.9591837
ENSG00000034053.14,0.008928572,0.020408163
ENSG00000034152.18,72.53523165,12.2244898
ENSG00000034510.5,6781.927124,8709.142857
ENSG00000034533.11,92.84640203,0.142857143
ENSG00000034677.12,133.5428668,36.26857143
ENSG00000034693.14,14.91143823,1
ENSG00000034713.7,887.2413127,1631.204082
ENSG00000035115.21,96.41964285,0.040816327
ENSG00000035141.7,83.20728763,468.8477551
ENSG00000035403.17,0.347531371,74.10204082
ENSG00000035499.12,0.017857143,0.040816327
ENSG00000035664.11,3.107866796,0.020408163
ENSG00000035681.7,19.13030888,0.06122449
ENSG00000035687.9,478.8279441,27.46938776
ENSG00000035720.7,1409.929295,1479.387755
ENSG00000035862.12,0.026785715,0.020408163
ENSG00000035928.15,571.3134653,54.55102041
ENSG00000036054.12,52.76833976,0.87755102
ENSG00000036257.12,173.1464576,1060.848163
ENSG00000036549.12,48.0777027,76.65306122
ENSG00000037241.7,84.91915783,294.8428571
ENSG00000037474.14,327.4860039,1195.408163
ENSG00000037637.10,434.5793919,182.0204082
