"","B_P_Matrix.Ensembl_ID","C473_Exp_ave","C481_Exp_ave","LC03_Exp_ave","RC02_Exp_ave","RC03_Exp_ave","LC01_Exp_ave","R03_Exp_ave","R02_Exp_ave"
"12455","ENSG00000168830.7",0,0,0,0,0,0,0,0
"12456","ENSG00000168843.13",0,0,0,0,0,0,0,0
"12457","ENSG00000168852.12",0,0,0,0,0,0.102040816326531,0,0.135535714285714
"12458","ENSG00000168872.16",0.266666666666667,8.73037037037037,166.343440860215,0.0769230769230769,3.82810810810811,0.130204081632653,148.925925925926,108.273928571429
"12459","ENSG00000168874.12",0,0,0,0,0,0,0,0
"12460","ENSG00000168875.2",0,0,0,0,0,0,0,0
"12461","ENSG00000168876.8",71.2666666666667,406,148.827956989247,0.538461538461538,148.27027027027,686.897959183673,198.259259259259,217.982142857143
"12462","ENSG00000168878.16",0,0,0,0,0,0,0,0.0178571428571429
"12463","ENSG00000168883.19",1,391.981481481481,66.3118279569892,89.9230769230769,488.72972972973,122.571428571429,0.481481481481481,65.7857142857143
"12464","ENSG00000168884.14",0.2,309.518518518519,0.010752688172043,0.0769230769230769,129.540540540541,0.0204081632653061,33.2592592592593,0.160714285714286
"12465","ENSG00000168887.10",0.666666666666667,172.851851851852,186.483870967742,189.384615384615,141.162162162162,467.877551020408,138.259259259259,27.7321428571429
"12466","ENSG00000168890.13",0,0.148148148148148,0.010752688172043,0,0.27027027027027,0,0,0
"12467","ENSG00000168894.9",1.6,157.666666666667,173.129032258065,1.15384615384615,366.324324324324,582.163265306122,13.5925925925926,333.410714285714
"12468","ENSG00000168899.4",221,1.46296296296296,27.8709677419355,0.230769230769231,0.918918918918919,29.1224489795918,0.333333333333333,143.607142857143
"12469","ENSG00000168903.8",0.0666666666666667,0,0,0,0.027027027027027,0,0,0
"12470","ENSG00000168904.14",0.2,0.333333333333333,0.0967741935483871,0.769230769230769,0.297297297297297,0.0408163265306122,0,0.0357142857142857
"12471","ENSG00000168906.12",852.563333333333,1419.07296296296,561.104946236559,145.71,3.72810810810811,257.367959183673,157.943703703704,331.517678571429
"12472","ENSG00000168907.13",0,0,0,0,0,0,0,0
"12473","ENSG00000168913.6",0,0,0,0,0,0,0,0
"12474","ENSG00000168916.15",0,0.0740740740740741,0,0,6.54054054054054,17.9387755102041,0,1.42857142857143
"12475","ENSG00000168917.8",0,0.0925925925925926,0.032258064516129,0,0.0810810810810811,0,0,0.0178571428571429
"12476","ENSG00000168918.13",16.6666666666667,1162.11111111111,545.010752688172,908,1040.83783783784,1221.61224489796,478.888888888889,186.071428571429
"12477","ENSG00000168924.14",0.4,945.907407407407,1187.52688172043,3513,2415.48648648649,711.65306122449,1144.51851851852,132.75
"12478","ENSG00000168925.10",0,0,0,0,0,0,0,0
"12479","ENSG00000168928.12",0,0,0,0,0,0.0204081632653061,0,0
"12480","ENSG00000168930.13",0,0,0,0,0,0,0,0
"12481","ENSG00000168936.10",6.13333333333333,5.90740740740741,0,0,0.027027027027027,0,0,0
"12482","ENSG00000168938.5",0,0,0,0,0.189189189189189,0,0,0
"12483","ENSG00000168939.11",0.0333333333333333,0,0.010752688172043,0,0,0,0,0
"12484","ENSG00000168939.11_PAR_Y",0.0333333333333333,0,0.010752688172043,0,0,0,0,0
"12485","ENSG00000168944.15",191.6,11.4259259259259,289.47311827957,0,0.324324324324324,11.0612244897959,3.74074074074074,7.46428571428571
"12486","ENSG00000168952.15",0,0.0740740740740741,0,0,0.0540540540540541,0,0.037037037037037,0
"12487","ENSG00000168955.3",0.0666666666666667,0,0,0,0,0,0,0
"12488","ENSG00000168958.19",8.66666666666667,14.6481481481481,0.247311827956989,0.230769230769231,0.405405405405405,225.775510204082,26.7407407407407,316.321428571429
"12489","ENSG00000168959.14",0,0,0,0,0,0,0,0
"12490","ENSG00000168961.16",0.2,516.768333333333,0.182795698924731,0.153846153846154,407.162162162162,0.0612244897959184,0,25.8078571428571
"12491","ENSG00000168967.14",0,0,0,0,0,0,0,0
"12492","ENSG00000168970.22",0.0666666666666667,0.0185185185185185,31.6689247311828,0,0,0,0.037037037037037,0.0178571428571429
"12493","ENSG00000168992.4",0,0,0,0,0,0,0,0
"12494","ENSG00000168993.14",0,0,0,0,0.108108108108108,0,0,0
"12495","ENSG00000168994.13",1.86666666666667,0.592592592592593,122.870967741935,1.84615384615385,110.945945945946,0.0204081632653061,199.777777777778,108.214285714286
"12496","ENSG00000168995.13",0,0,0,0,0.0540540540540541,0.0408163265306122,0,0
"12497","ENSG00000169006.6",0,0,0,0,0,0,0,0
"12498","ENSG00000169016.16",0,35.8518518518519,0.0537634408602151,0,0.027027027027027,2.04081632653061,0,41.7191071428571
"12499","ENSG00000169018.5",0.666666666666667,1.81481481481481,44.989247311828,0,0.324324324324324,4.53061224489796,1.03703703703704,112.214285714286
"12500","ENSG00000169019.10",1545.26666666667,129.851851851852,0.473118279569892,0,1.13513513513514,701.387755102041,0.0740740740740741,395.446428571429
"12501","ENSG00000169020.9",615.933333333333,414.092592592593,530.924731182796,932.615384615385,1328.91891891892,1797.97959183673,954.037037037037,290.746071428571
"12502","ENSG00000169021.5",1056.37733333333,517.542222222222,777.988924731183,0,1865.88702702703,2571.34265306122,0.888888888888889,501.32375
"12503","ENSG00000169026.12",0,0,0,0,0,0,0.148148148148148,0
"12504","ENSG00000169031.18",0,10.2777777777778,95.3763440860215,0,0.0810810810810811,0,2.55555555555556,30.6071428571429
