Names	total	elements
		CD72
		KAT5
		IMPDH1P10
		ZNF480
		NUTM2B-AS1
		OSTN
		NPIPA5
		SOCS4
		SDR39U1
		SLC16A11
		PARVB
		CSRNP1
		PPP6R2
		ELL
		TBCCD1
		NDC80
		AREG
		C2orf69
		CCDC14
		MAN2C1
		SF3B5
		SGO1
		TRMT2B
		KCTD2
		MYC
		NR4A3
		DNAAF5
		DECR2
		YJEFN3
		SOCS3
		UNKL
		ZNF839
		POP4
		CCNA2
		IL10RB
		IGLV1-40
		CGRRF1
		RUVBL2
		GATD3A
		E2F7
		VAV3-AS1
		VPS50
		GPR160
		COCH
		THEMIS2
		RAVER1
		RDH11
		LZTS3
		RN7SKP80
		SH3GL1
		KIF1B
		ABHD14B
		TNFAIP3
		PIGT
		FOXO1
		MRPL37
		KLHDC2
		BLK
		PANK3
		GBP4
		PSMA5
		WDR82
		APOM
		TRIP10
		PIAS1
		TESK1
		TMEM134
		TSEN54
		ZNF611
		CFAP20
		CEP104
		NCOA6
		ZNF3
		GCLC
		OTUD6B-AS1
		HMGXB4
		ABI3
		RBMXL1
		SEC61A1
		UPF1
		DDX50
		ZNF75D
		RPP30
		LINC00662
		BLVRB
		GTPBP2
		SETD3
		GALNT10
		SLAMF6
		MORC2-AS1
		MKKS
		SMURF2
		UBE2QL1
		CR1
		FAM13A
		HMBS
		EBP
		TOR1A
		SLC25A24
		KLHDC1
		AVL9
		TCTN3
		TRIM24
		PABPN1
		GBA2
		FBRS
		SLC22A5
		FMNL1
		CHTOP
		GNLY
		USP38
		ZDHHC17
		NDE1
		QSOX2
		PPARD
		URB2
		IGLV1-51
		ANXA2
		PHAX
		SMG1P5
		STK24
		TBC1D24
		STK10
		DIPK2A
		ARMT1
		ABCD3
		RHOQP1
		PARVG
		H2BC12
		FIG4
		FAM20B
		IGHMBP2
		FAM215B
		FAM3C
		DCTN4
		EIF2AK2
		AP1S3
		NUTF2
		SLC23A1
		SLC12A7
		MRM2
		THAP4
		ZNF84
		OGFRL1
		PPP1R15A
		C12orf49
		PCED1B
		OCEL1
		ATP11B
		ALOX12
		ASH1L-AS1
		POLR3A
		RPE
		TMBIM1
		TCHP
		TRMT1
		WDR70
		SLC35F5
		ZFAND1
		RINT1
		SPAG5
		DUSP28
		BRCA2
		ACADM
		XPO6
		PIK3C2B
		FMR1
		CCDC117
		DUSP3
		ANKMY1
		KDM7A
		C7orf50
		ZPR1
		SLC31A1
		HACL1
		ACY1
		GFOD1
		ST7L
		RNASEH2C
		CNTD1
		COMMD1
		BLMH
		MYO9A
		SH3BP2
		RNF167
		CEP290
		PRMT5
		CNPY3
		ZSCAN12P1
		TFB1M
		ETV3
		PDLIM1
		TLR10
		APBB3
		RNF126
		CLIC4
		DPM1
		HIC1
		ANKH
		C5orf51
		C19orf18
		THUMPD3
		ELP6
		SAMHD1
		OCLN
		EPC2
		SPRY1
		FAM117A
		MYSM1
		TRIM4
		TMEM38A
		SNX18
		NLK
		SDF4
		FASTKD5
		SNHG15
		EFHD2
		RAB2B
		CYB5B
		TESPA1
		ZC3H8
		NDRG1
		FBXO9
		APPL2
		FARP2
		MRPL13
		RASGEF1B
		RAB6A
		PACS1
		PRKD2
		CHML
		PUS3
		CYSLTR1
		CAPN2
		TMX3
		TIAM2
		INTS6-AS1
		FZD5
		EMC10
		NR4A1
		WDR74
		ZNF763
		PCNP
		DNPEP
		PURA
		TRAPPC11
		FANCM
		LNPK
		RMDN1
		CEACAM5
		MXRA7
		GLT8D1
		CFL2
		RASA2
		STAG1
		PIF1
		LPIN2
		IGKV1-27
		RBSN
		FCF1
		UFD1
		ERP27
		RN7SL306P
		DIABLO
		SMARCA4
		TGFBRAP1
		CENPW
		GPATCH3
		AGL
		ZBTB21
		CCNB1IP1
		CCL3L1
		TMEM43
		TTL
		ATP6V0C
		SGTA
		STAT5B
		PRPF8
		PSMD6
		FKBP3
		NUDT19
		SKI
		ADGRG2
		PLEKHB2
		IPCEF1
		OAS2
		ZNF544
		TRIM11
		BIN2
		TMEM50B
		UBOX5
		HM13
		ATXN7L3
		G6PD
		SZT2
		SMIM26
		KLF5
		APOLD1
		TNFSF8
		DNAJC5B
		PDE5A
		EIF3J
		LINC00869
		TMEM167A
		MFN1
		RTCA
		FOXI1
		BCKDHA
		FARSA
		SCLT1
		PPP1R3E
		HCFC2
		RBBP7
		ABL1
		CMAS
		TXNRD1
		ABCA11P
		TAZ
		DAXX
		MBTD1
		FUT11
		RGS13
		PPP1CB
		NRDC
		FAM184A
		C15orf39
		ERBIN
		MPLKIP
		SCIMP
