Ensembl_ID,C473,C481,LC03,RC02,RC03,LC01,R03,R02
ENSG00000005882.11,23.6,46.87037037,0,0,12.72972973,0.020408163,0,0.071428571
ENSG00000005884.17,0,0.018518519,0.182795699,0,0,0,0.037037037,0.035714286
ENSG00000005889.15,65.06666667,632.7407407,1469.892473,3185.846154,861.4324324,3163.163265,979.1111111,304.0714286
ENSG00000005893.15,42.86666667,286.537037,753.827957,520,2.189189189,1205.77551,0.962962963,505.8392857
ENSG00000005961.17,0,0,0,0,0,0,0.074074074,0.017857143
ENSG00000005981.12,0,0,0,0,0,0,0,0
ENSG00000006007.11,421.3333333,12.97277778,10.92473118,0.076923077,0.054054054,11.73469388,1698.448148,98.64732143
ENSG00000006015.17,0.4,167.2222222,184.7419355,0.076923077,0.108108108,0.204081633,6.148148148,184.4821429
ENSG00000006016.10,0,0.741296296,17.02021505,0,0,0.022244898,0,1.498035714
ENSG00000006025.11,0,0,0,0,0,0,0.037037037,0
ENSG00000006042.11,0,0,0.032258065,0,0.081081081,0,0,0
ENSG00000006047.12,0,0.018518519,0,0,0,0.020408163,0,0
ENSG00000006059.3,0,0,0,0,0,0,0,0
ENSG00000006062.14,0.133333333,0.425925926,43.23655914,1.076923077,115.1621622,0.020408163,0.074074074,6.798392857
ENSG00000006071.12,0,0,0,0,0,0,0,0
ENSG00000006116.3,0,0,0,0,0,0,0.037037037,0
ENSG00000006118.14,0,0,0,0,0,0,0.037037037,0
ENSG00000006125.17,1244.066667,58.77777778,59.96774194,0,47.97297297,303.9591837,196.962963,101.4642857
ENSG00000006128.11,0,0,0,0,0,0,0,0
ENSG00000006194.9,0.466666667,0.037037037,71.3655914,0,0.027027027,0.265306122,0.148148148,0.035714286
ENSG00000006210.6,0,0,0,0,0.027027027,0,0,0
ENSG00000006282.20,0,0.018518519,0,0.076923077,0.027027027,0.653061224,36.22222222,1.482142857
ENSG00000006283.17,0.066666667,0,0,0,0,0,0,0
ENSG00000006327.13,0,9.981481481,14.08602151,0,0,0.612244898,0.037037037,16.10714286
ENSG00000006377.10,0,0,0,0,0,0,0,0
ENSG00000006432.15,0,0.055555556,139.6129032,0,0.378378378,1.755102041,0.148148148,22.67857143
ENSG00000006451.7,1140.666667,673.7777778,291.6451613,3.307692308,670.0810811,596.1632653,733.2592593,284.75
ENSG00000006453.13,0,56.12962963,5.52688172,0.076923077,0.081081081,356.6938776,0,0.017857143
ENSG00000006459.10,0.2,457.4074074,189.7204301,0.307692308,1003.108108,544.4489796,496.9259259,2.339285714
ENSG00000006468.13,0.133333333,0,0,0,0,0,0,0
ENSG00000006530.15,0.2,2.537037037,147.483871,21.92307692,0.054054054,0.020408163,835.0740741,213.6071429
ENSG00000006534.15,0,0.018518519,0.311827957,0,0,0.020408163,0,0
ENSG00000006555.10,0,0,0.010752688,0,0,368.122449,0,0
ENSG00000006576.16,547.4666667,0.981481481,57.2688172,119.9230769,921.5945946,1125.979592,19.92592593,153.9464286
ENSG00000006606.8,0,0,0,0,0,0,0,0
ENSG00000006607.13,0.333333333,0.203703704,202.2672043,0,1201.459459,1379.571429,349.2592593,32.05357143
ENSG00000006611.15,0,0,0,0,0,0,0,0
ENSG00000006625.17,0,0.388888889,0.010752688,0.076923077,0.162162162,0.142857143,0.037037037,0
ENSG00000006634.7,587.988,92.81481481,250.2611828,0.307692308,1.405405405,139.5038776,279.8685185,494.07625
ENSG00000006638.11,0,0.037037037,0,0,0,0,0.037037037,0
ENSG00000006652.13,181.9333333,3.185185185,262.4086022,873.8461538,36.51351351,1123.816327,4.814814815,546.5714286
ENSG00000006659.12,0,0,0,0,0,0,0,0
ENSG00000006695.10,0.666666667,6.388888889,10.06451613,1.615384615,0,250.1020408,290.2962963,64.08928571
ENSG00000006704.10,0,0.018518519,0,0,0,0,0,0
ENSG00000006712.14,17.6,175.6111111,678.3978495,1181.384615,333.1621622,578.1836735,372.1481481,179
ENSG00000006715.15,106.2666667,50.5,5.591397849,0,293.1351351,0.673469388,677.5925926,209.2857143
ENSG00000006740.16,0,0,0,0,0,0,0,0
ENSG00000006744.18,0.933333333,77.66666667,0.107526882,478.3846154,0.027027027,0.12244898,0.111111111,154.625
ENSG00000006747.14,0.066666667,113.962963,77.70967742,0,0,0,0,0.017857143
ENSG00000006756.15,0,0.018518519,98.09677419,0,0.054054054,0,0,0.089285714
ENSG00000006757.11,0,0.981481481,0,0,0.135135135,44.7755102,0,0.107142857
ENSG00000006788.13,0,0,0,0,0,0,0,0
ENSG00000006831.9,118.5333333,114.1296296,5.483870968,0,0.135135135,0.285714286,0.148148148,198.3928571
ENSG00000006837.11,0.066666667,0,0,0,0,0.020408163,0,0
ENSG00000007001.12,0,0,0,0,0,0,0,0
ENSG00000007038.10,0,0.018518519,0.010752688,0,0,0.020408163,0,0.035714286
ENSG00000007047.14,0.2,0,0.021505376,0,0.108108108,0,0,19.78571429
ENSG00000007062.11,0.066666667,0,0.010752688,0,0,0,0,0
ENSG00000007080.10,0.266666667,203.3703704,452.172043,0,2.297297297,7.632653061,4.185185185,138.8035714
ENSG00000007129.17,0.266666667,0.12962963,14.35483871,0,0,0,0.074074074,0.017857143
ENSG00000007168.12,0.8,771.6311111,827.6129032,814.6923077,2.243243243,403.0204082,324.5925926,247.3410714
ENSG00000007171.16,0,0,0,0,0,0,0,0
ENSG00000007174.17,0,0,0,0,0,0,0,0
ENSG00000007202.14,0.066666667,13.68518519,45.58064516,0,0.027027027,0.081632653,0.074074074,0.107142857
ENSG00000007216.14,0,0,0,0,0,0.020408163,0,0
ENSG00000007237.18,0,9.388888889,0.47311828,0,31.48648649,0.326530612,0.037037037,0
ENSG00000007255.10,0.2,136.8703704,325.483871,0,161.6486486,567.244898,0.074074074,254.9821429
ENSG00000007264.14,0.066666667,0.055555556,0,0,0,0.020408163,0.444444444,0
ENSG00000007306.14,0,0.055555556,246.7741935,0.076923077,0,158.1428571,0,0.017857143
ENSG00000007312.12,1589.933333,271.5,694.344086,346.8461538,1138.081081,1121.44898,16.40740741,488.2857143
ENSG00000007314.12,0,0,0,0,0,0,0,0
ENSG00000007341.18,380.6,0.185185185,2.419354839,0,208.9516216,63.69387755,0.037037037,0.424821429
ENSG00000007350.16,0.066666667,0.222222222,0.279569892,0,0,0.020408163,0,0.089285714
ENSG00000007372.21,0.066666667,0.055555556,0,0,0.027027027,0,0,0
ENSG00000007376.7,0.066666667,1.777777778,0,0,0,0.06122449,0.481481481,0
ENSG00000007384.15,0,0.055555556,0,0,0,0,0,0
ENSG00000007392.16,500.2,227.6111111,76.41935484,1127.615385,0.108108108,1.244897959,13.77777778,300.0714286
ENSG00000007402.11,0,0,0,0,0,0,0,0
ENSG00000007516.13,0,0.018518519,4.644731183,0,0.056486486,3.884897959,0,56.01214286
ENSG00000007520.3,0.066666667,8.685185185,2.92516129,0,46.45702703,896.482449,0.407407407,0.452142857
ENSG00000007541.16,144.4,0.037037037,0,0,0,0.408163265,0,0.071428571
ENSG00000007545.15,0,0.333333333,21.66666667,0,0,219.4285714,58.07407407,171.1607143
ENSG00000007866.19,0,0,0,0,0,0,0,0
ENSG00000007908.15,0,0,0,0,0,0,0,0
ENSG00000007923.15,0.2,25.6337037,4.247311828,0.561538462,0.027027027,2.102040816,0.111111111,39.08928571
ENSG00000007933.12,0,0,0,0,0.405405405,0,0,0
ENSG00000007944.14,37.8,160.7592593,0.827956989,0.538461538,372.2162162,325.6326531,776.6296296,52.57142857
ENSG00000007952.17,0,0,0,0,0,0,0,0
ENSG00000007968.6,0.066666667,0.037037037,0,0,0.081081081,0,0,0.017857143
ENSG00000008018.8,2262.666667,1857.833333,1096.44086,4129.615385,1848.837838,2590.061224,560.8888889,848.3035714
ENSG00000008056.13,0,0,0,0,0,0,0,0
ENSG00000008083.13,151,1352.925926,191.688172,1464.615385,68.05405405,373.6734694,13.85185185,21.96428571
ENSG00000008086.11,0.133333333,0.111111111,0,0.153846154,0.027027027,1.346938776,0.111111111,86.91071429
ENSG00000008118.9,0,0,0,0.153846154,0,0,0,0
ENSG00000008128.22,519.444,195.625,1057.290645,74.08846154,381.8405405,672.6402041,470.7855556,205.535
ENSG00000008130.15,181.7333333,27.96296296,0.376344086,0,1141.621622,0.326530612,0.111111111,0.107142857
ENSG00000008196.12,0,0,0,0,0.027027027,0,0,0
ENSG00000008197.4,0,0,0,0,0,0,0,0
ENSG00000008226.19,0,0.068888889,0,0,0.027027027,0.17,0,0.0625
ENSG00000008256.15,0.066666667,8.925925926,0.021505376,0.076923077,0,2.285714286,0.37037037,0.035714286
ENSG00000008277.14,136.3333333,0,0,0,0,0,0,0
ENSG00000008282.8,836.0666667,404.462963,118.2795699,0,1961.864865,151.8367347,2518.925926,616.9107143
ENSG00000008283.15,0.066666667,0.277777778,0.032258065,0.153846154,0.027027027,0,0.111111111,0.053571429
ENSG00000008294.20,1,203.8703704,124.483871,432.4615385,493.2972973,633.3061224,1752.222222,0.089285714
ENSG00000008300.16,0.133333333,0.018518519,0,0,0.027027027,0.040816327,0,25.94642857
ENSG00000008311.14,0,0.074074074,272.8387097,0,1.783783784,0.020408163,0,184.3392857
ENSG00000008323.15,0,0,0,0,0,0,0,0
ENSG00000008324.11,946.9333333,708.3888889,873.6451613,73.23076923,2020.783784,313.4489796,1120.851852,884.125
ENSG00000008382.15,0,0,0,0,0.027027027,0.081632653,0,0
ENSG00000008394.12,0.266666667,0.037037037,0.666666667,0,3.378378378,0.040816327,0,0
ENSG00000008405.11,0.466666667,0.648148148,134.2688172,0.076923077,0.027027027,1.326530612,0.259259259,6.625
ENSG00000008438.4,0,0,0,0,0,0,0,0
ENSG00000008441.16,0.066666667,0,0,0,0,0,0,0
ENSG00000008513.14,191.6666667,659.4444444,150.6129032,1.307692308,389.5135135,0.530612245,118.5555556,58.875
ENSG00000008516.16,0,0,0,0.076923077,0,0,0,0.017857143
ENSG00000008517.16,657.4,1131.518519,159.0752688,1083.692308,139.3243243,258.8979592,803.037037,51.76785714
ENSG00000008710.19,0,0.018518519,0.010752688,0.096153846,0.054594595,0.064897959,50.48703704,0.16125
ENSG00000008735.13,0.066666667,0,0,0,0,0,0,0
ENSG00000008838.19,277.1333333,0.111111111,12.88172043,0.615384615,0.027027027,0.551020408,0.037037037,0.892857143
ENSG00000008853.16,0,0,0,0,0.027027027,0,0,0
ENSG00000008869.11,125.0666667,22.24074074,32.25806452,0,657.9189189,0,340.2222222,11.51785714
ENSG00000008952.16,1530.2,4107.148148,1534.258065,43.61538462,881.4594595,2645.938776,2196.074074,901.8035714
ENSG00000008988.9,5584.066667,2845.576852,6974.425914,9139.037692,5471.211892,13569.55673,3336.806667,4704.121786
ENSG00000009307.15,2617.133333,2005.648148,1711.494624,937.6923077,1679.837838,1323.632653,1956.888889,1443.625
ENSG00000009335.17,91.53333333,36.74074074,17.89247312,1082,25.75675676,0.183673469,74.33333333,178.1607143
ENSG00000009413.15,191,1610.203704,1129.236559,96,106.4864865,821.7346939,3097.242593,638.4764286
ENSG00000009694.13,0.066666667,0.055555556,0,5.307692308,0.054054054,0,0.407407407,0.053571429
ENSG00000009709.11,0.066666667,0,0,0,0,0,0,0
ENSG00000009724.16,0,0.037037037,0,0.153846154,2.297297297,0,0,0
ENSG00000009765.14,0.133333333,0,0,0,0.027027027,0,0,0.017857143
ENSG00000009780.15,0.466666667,7.833333333,777.0430108,0.076923077,436.6486486,1009,745.962963,260.1071429
ENSG00000009790.14,1.133333333,0.444444444,91.51612903,15.46153846,189.1621622,0.12244898,203.1125926,215.4101786
ENSG00000009830.11,2,0,0,0.076923077,0,0,0,0
ENSG00000009844.15,1807.2,554.2037037,553.8602151,0.769230769,10.67567568,2940.22449,0.259259259,412.125
ENSG00000009950.15,0,0.037037037,0.021505376,0,0.108108108,0,0,0
ENSG00000009954.10,1009,442.462963,713.2688172,494.4615385,0.864864865,727.8979592,87.2962963,72.25
ENSG00000010017.12,0.8,2.961481481,71.00473118,0.307692308,1.129459459,116.7142857,0.111111111,55.23142857
ENSG00000010030.13,0,0.277777778,33.27956989,0,0.027027027,0.040816327,0,61.89285714
ENSG00000010072.15,0,0.148148148,0.086021505,0.076923077,480.3243243,52.20408163,0,10.42857143
ENSG00000010165.19,0,0.037037037,0.021505376,0,0.378378378,0.040816327,4.592592593,0.017857143
ENSG00000010219.13,0.266666667,4.277777778,110.1127957,0.076923077,90.90513514,0.020408163,0.074074074,0.160714286
ENSG00000010244.18,71.73333333,725.6390741,803.3719355,2610.230769,906.0005405,2649.660816,819.3333333,301.8171429
ENSG00000010256.10,448.4666667,974.7037037,422.311828,4.461538462,2.189189189,1476.938776,0.074074074,440.3928571
ENSG00000010270.13,0.733333333,292.7222222,580.5591398,168.9230769,0.297297297,1187.959184,0,196.6964286
ENSG00000010278.12,18.86666667,351.1296296,0.107526882,77.38461538,0.243243243,1.244897959,0.888888889,342.25
ENSG00000010282.14,0,0.018518519,0,0,0,0,0,0
ENSG00000010292.12,724.5333333,0.685185185,247.6511828,0,22.56756757,29.18367347,0.037037037,0.035714286
ENSG00000010295.19,0.266666667,0.018518519,0.021505376,0,0.081081081,0.081632653,0,22.71428571
ENSG00000010310.8,0.066666667,0.074074074,156.827957,0,0.027027027,0,0.481481481,0
ENSG00000010318.20,0,19.44444444,0.204301075,0,0,0,0,0.017857143
ENSG00000010319.6,0,0,0,0,0,0,0,0
ENSG00000010322.15,581.1333333,0.185185185,15.29032258,17.46153846,14.35135135,0.020408163,518.8888889,19.76785714
ENSG00000010327.10,0.066666667,0.037037037,0,0,0.216756757,0,0.037037037,0
ENSG00000010361.13,0,0,0,0,0,0,0,0
ENSG00000010379.15,0,0,0,0,0,0,0,0
ENSG00000010404.17,5477.687333,1423.470741,966.0425806,898.3846154,1305.607838,546.3404082,1391.930741,1328.378571
ENSG00000010438.16,0,0.055555556,21.59139785,0,0,0,0,0
ENSG00000010539.11,0,0.444444444,0.053763441,0,0,1.693877551,0,26.23214286
ENSG00000010610.9,0.133333333,0.648148148,40.48387097,0.153846154,216.8378378,1.142857143,1.074074074,0.321428571
ENSG00000010626.14,0,0,0,0,0,0,0,0.017857143
ENSG00000010671.15,0,456.4259259,80.49462366,2220.076923,476.2972973,77.93877551,1568.888889,67.30357143
ENSG00000010704.18,0,0.018518519,0.032258065,0,0.027027027,0,0,0
ENSG00000010803.16,0,0.203703704,0,2.461538462,0,0,0,1.375
ENSG00000010810.17,641.5333333,585.0740741,318.1612903,2.076923077,587.3783784,5.285714286,2474.296296,1.303571429
ENSG00000010818.9,2867.154667,207.962963,314.0703226,3752.076923,109.6756757,195.5246939,288.3703704,350.9598214
ENSG00000010932.16,0,0,0,0,0,0,0,0
ENSG00000011007.12,421.9333333,966.7305556,574.3763441,6.846153846,31.08108108,1.673469388,1.407407407,266.4201786
ENSG00000011009.10,70.66666667,418.1851852,0.075268817,0,23.13513514,0.265306122,0.037037037,23.71428571
ENSG00000011021.21,0,306.2407407,114.7096774,0.076923077,0.189189189,7.959183673,0,72.98196429
ENSG00000011028.13,0.133333333,0,0.010752688,0,0,0,0.037037037,0
ENSG00000011052.21,0.404,140.4914815,0.147634409,0.266923077,0.125675676,20.29469388,0.093703704,0.746607143
ENSG00000011083.8,0,0,0,0,0,0,0,0
ENSG00000011105.12,0,0,0,0,0,0,0,0
ENSG00000011114.14,0.2,0.444444444,5.741935484,33.76923077,0.297297297,189.4285714,253.4074074,101.0714286
ENSG00000011132.11,43.93333333,0.12962963,19.21505376,0,0.432432432,0.020408163,0,0
ENSG00000011143.16,0.066666667,0,0.010752688,0,0,0,0,0.017857143
ENSG00000011198.7,2.266666667,0.074074074,35.39784946,0,0.054054054,0.020408163,0.592592593,89.48982143
ENSG00000011201.11,0,0,0,0,0,0,0,0
ENSG00000011243.17,67.94733333,0.185185185,204.9569892,0,0,0.020408163,0,20.16071429
