hgnc_symbol,stage1,stage2,stage3,stage4
TTC19,0.291264479,559.5714286,1.37037037,63.78046593
PTBP1,70.36751929,283.4897959,5.965811966,25.4874552
PIK3C2A,51.441361,0.06122449,69.21272554,7.498506571
PLAUR,5.660472975,3.918367347,535.42868,175.8885902
RABGAP1,36.98407336,0.06122449,3.666666667,27.09318996
CEP68,16.91512066,0.163265306,0.160493827,0.670549582
ZBTB32,13.36607143,196.5714286,118.2271605,81.32945039
TYROBP,27.21549228,1.734693878,0.421652422,0.928614098
TMEM159,392.895029,849.3265306,52.21766382,193.3434887
ERCC1,186.2350386,104.2634694,293.0300095,195.7151075
CD22,110.7898166,317.755102,66.96638178,332.9483273
ELOVL5,205.3400097,881.6326531,375.7504273,587.18638
ALOX5,156.6276545,0.142857143,339.6649571,182.8031661
CALCOCO1,165.6660232,169.2244898,0.066666667,0.205794505
UBR7,52.31595077,962.122449,247.3963438,36.36504182
MAP4K5,13.25482626,258.877551,293.5920228,222.203405
PSMC4,126.1942568,452.4489796,618.3616333,500.1929511
MAN2B2,106.4333977,211.877551,210.5358025,0.093189964
SLC25A39,57.31491313,495.5510204,179.4712251,68.32108723
MVP,2.201013514,41.85714286,0.175118709,185.1430705
NUB1,297.4989431,211.3877551,281.6115859,254.2760156
PGM3,0.569317085,0.306122449,0.095726496,28.9983393
CLK1,2835.055261,3700.142857,3609.094967,1163.827957
RNF14,16.47466216,1.040816327,0.279012346,96.92861409
DDX11,0.223214286,459.7318367,47.47609875,1.443010753
GPRC5A,0.035714286,0.081632653,0.024691358,174
CD6,0.380791506,0.408163265,0.877872745,31.80286738
TACC3,11.1155888,615.4081633,268.0339981,293.7132617
UFL1,146.9423262,11.2244898,181.1703704,294.3390084
CAPN1,3.946911197,0.285714286,0.066666667,13.35961768
MDH1,687.5839769,398.7755102,839.9018043,1454.923835
SLC30A9,217.8088803,23.36734694,48.68983856,314.5412187
COX15,0.138754826,145.3061224,293.2098765,113.0349462
CCDC88C,38.91578185,4.591836735,170.1707502,164.0949821
YAF2,1140.099421,35.14285714,440.2360874,372.4336918
ZMYND11,42.26472008,1.183673469,26.87654321,40.50298686
WAS,10.99107143,37.44897959,2.454700855,12.50567503
BID,679.4934846,833.7142857,584.1306741,356.119773
MATR3,1435.486803,1407.628776,654.9099335,2154.599761
RGPD5,898.0436342,209.2189796,101.328321,724.3641039
NUDCD3,0.076254826,122.8979592,28.06666667,84.57974912
CHDH,0.054054054,0.081632653,0.024691358,0.021505377
GLT8D1,0.040540541,14.28571429,3.219183286,83.2037037
ATP2C1,355.2218895,177.6734694,43.49290597,1.486230586
